I_ACTION
Evento_lema	Frecuencia
ask	114
look	94
call	79
try	25
help	23
speak	22
approach	21
mean	20
attempt	19
agree	18
allow	15
choose	14
seek	13
promise	13
offer	12
intend	12
avoid	12
suggest	11
face	11
prevent	10
propose	10
plead	10
show	9
declare	9
serve	9
wonder	9
assure	9
touch	8
accept	8
rule	8
conclude	8
urge	6
press	6
recommend	6
explain	6
fail	6
persuade	5
send	5
establish	5
name	5
decline	5
state	5
clear	4
order	4
invite	4
permit	4
compel	4
claim	4
effort	4
delay	4
extend	3
point	3
pronounce	3
demand	3
deal	3
manage	3
estimate	3
mount	2
note	2
request	2
describe	2
hail	2
limit	2
bar	2
complain	2
announce	2
doubt	2
attribute	2
brim	2
deny	2
assist	2
regain	2
guard	2
approve	2
approaching	1
burn	1
accord	1
direct	1
run	1
pray	1
question	1
warn	1
organize	1
applaud	1
postpone	1
overcome	1
arrange	1
assume	1
forbid	1
aim	1
blame	1
reason	1
disclose	1
block	1
handle	1
support	1
speculate	1
cope	1
push	1
elect	1
appeal	1
resist	1
catch	1
engage	1
explore	1
