I_STATE
Evento_lema	Frecuencia
think	229
know	135
seem	126
want	79
become	56
like	48
appear	45
believe	31
suppose	25
expect	23
wonder	22
consider	15
hope	15
stand	12
surprise	12
help	12
fear	12
concern	9
obtain	8
sufficient	8
allow	8
meet	5
regret	5
commit	5
stay	4
need	4
prepare	4
face	4
understand	3
view	3
require	3
plan	3
suspect	3
find	2
close	2
able	2
will	2
aware	2
enable	2
fail	2
mean	2
seemed	1
agree	1
listen	1
anticipate	1
involve	1
run	1
yield	1
rain	1
suffer	1
foresee	1
cry	1
constrain	1
agreement	1
suggest	1
shock	1
anxiou	1
owe	1
afraid	1
mine	1
blame	1
feel	1
estimate	1
perceive	1
account	1
subject	1
