OCCURRENCE
Evento_lema	Frecuencia
go	463
come	382
do	217
take	205
make	194
get	154
stand	137
look	113
find	109
turn	99
know	98
give	90
walk	88
sit	88
pass	84
meet	84
wish	82
return	77
wait	68
reach	67
left	64
show	61
put	61
bring	60
feel	56
speak	54
live	52
leave	50
carry	49
move	46
write	45
marry	44
lose	44
forget	43
run	42
talk	42
follow	42
draw	42
rise	41
cry	41
let	40
fall	40
change	38
grow	37
send	36
answer	36
set	35
hold	34
mind	34
close	33
wear	31
proceed	31
observe	31
form	31
throw	31
watch	30
buy	30
pause	30
care	30
shake	29
work	29
sell	29
learn	29
read	28
murmur	28
arrive	28
call	28
used	28
bear	28
stay	28
perceive	27
round	25
pull	25
lay	24
decide	24
drive	24
settle	24
lead	24
regard	24
die	24
shut	23
break	23
inquire	23
discover	23
cause	22
happen	22
disappear	22
love	22
receive	21
act	21
reveal	21
cross	20
save	19
catch	19
sing	19
hang	19
remember	19
afford	19
drink	19
glance	18
fill	18
strike	18
bend	18
repeat	18
play	17
drop	17
search	17
descend	17
become	17
part	17
whisper	16
treat	16
lean	16
occupy	16
dress	16
gather	16
layer	16
place	15
pay	15
smile	15
thank	15
advance	15
hand	15
admit	15
oblige	15
utter	14
understand	14
nod	14
open	14
swear	14
suffer	14
resolve	14
arise	14
notice	14
lie	14
arrange	14
forgive	14
discern	13
knock	13
laugh	13
join	13
rest	13
spread	13
prove	13
lend	12
fix	12
fling	12
lift	12
exclaim	12
reflect	12
engage	12
disturb	12
remove	12
listen	12
recognize	12
seize	12
mean	12
assume	11
travel	11
float	11
light	11
respond	11
withdraw	11
gaze	11
stretch	11
lower	11
behold	11
enter	11
build	11
raise	11
direct	11
jump	11
address	11
guess	11
enjoy	10
sleep	10
desire	10
depart	10
hurt	10
bound	10
departure	10
render	10
ascend	10
request	10
eat	10
los	10
shine	10
hide	10
putt	10
belong	10
encounter	10
despise	10
bury	10
face	10
exhibit	9
refuse	9
stare	9
offer	9
fly	9
possess	9
visit	9
vanish	9
surprise	9
linger	9
cut	9
push	9
bide	9
back	9
breathe	9
hasten	9
tie	9
determine	9
accompany	9
sigh	9
attract	8
screen	8
seat	8
attack	8
signify	8
produce	8
fetch	8
dance	8
bow	8
provide	8
support	8
thrust	8
explain	8
use	8
death	8
pack	8
plant	8
owe	8
heart	8
prefer	8
incident	8
disappoint	8
force	8
please	8
kill	8
handle	8
mark	8
occur	8
dispose	7
account	7
stir	7
deal	7
pour	7
trouble	7
neglect	7
fold	7
pick	7
emerge	7
transaction	7
deposit	7
relieve	7
gain	7
hinder	7
stick	7
refrain	7
contemplate	7
acquire	7
increase	7
wave	7
depend	7
roll	7
encourage	7
reply	7
conduct	7
alarm	7
await	7
lain	7
seal	7
climb	7
suppose	7
wrong	7
sank	7
discuss	7
teach	7
succeed	7
hate	7
arrival	7
alight	7
overlook	6
deem	6
add	6
touch	6
mount	6
shoulder	6
fair	6
conviction	6
pursue	6
edge	6
slip	6
involve	6
survey	6
endure	6
command	6
wander	6
ring	6
entry	6
indulge	6
venture	6
share	6
stroll	6
sink	6
dwell	6
characterize	6
cover	6
serve	6
conversation	6
respect	6
creep	6
admire	6
retire	6
check	6
overhear	6
blow	6
mistake	6
express	6
divine	6
impart	6
paid	6
curse	6
prevail	6
warm	6
experience	6
burst	6
advise	6
win	6
waste	6
erect	6
mention	6
converse	6
re-cover	6
deserve	6
master	6
animate	6
create	6
destroy	6
lessen	6
incline	5
bore	5
describe	5
sale	5
weigh	5
nourish	5
accustom	5
measure	5
lapse	5
sound	5
excite	5
require	5
kiss	5
spend	5
rattle	5
undergo	5
fashion	5
beg	5
greet	5
confide	5
develop	5
result	5
trust	5
summit	5
muse	5
frame	5
stammer	5
wind	5
discovery	5
shrank	5
scorn	5
assent	5
separate	5
trot	5
apply	5
fear	5
suit	5
steal	5
accomplish	5
grieve	5
twitch	5
introduce	5
shape	5
conceal	5
dream	5
ceremony	5
falter	5
wash	5
blink	5
purchase	5
drag	5
recover	5
welcome	5
release	5
alter	5
pity	5
witness	5
forsake	5
secure	5
ride	5
argue	5
preserve	4
action	4
maintain	4
brew	4
taste	4
favour	4
implore	4
unfold	4
rub	4
recline	4
awake	4
project	4
flit	4
pitch	4
roar	4
cast	4
prepare	4
kneel	4
devote	4
drown	4
gi'e	4
recede	4
enclose	4
remind	4
echo	4
advertise	4
discussion	4
broach	4
postpone	4
value	4
reckon	4
hum	4
sang	4
fit	4
retreat	4
confront	4
paint	4
renew	4
intrude	4
glow	4
affect	4
sow	4
re-trace	4
interview	4
precede	4
furnish	4
wince	4
burn	4
detain	4
interrupt	4
lock	4
disperse	4
pine	4
startle	4
sweep	4
miss	4
practise	4
attend	4
present	4
conjecture	4
spare	4
allude	4
land	4
till	4
blast	4
reduce	4
blame	4
occasion	4
dismiss	4
proposal	4
appear	4
“have	4
amaze	4
endeavour	4
cease	4
quicken	4
zee	4
commit	4
retain	4
injure	4
despatch	4
slam	4
loosen	4
escape	3
except	3
contain	3
compose	3
interpose	3
hesitate	3
rivet	3
shout	3
sob	3
behave	3
stream	3
inspire	3
nibble	3
lit	3
examine	3
inform	3
interfere	3
rejoin	3
adhere	3
repute	3
undertake	3
patch	3
speech	3
obey	3
boast	3
encumber	3
beget	3
overtake	3
temper	3
intensify	3
banish	3
side	3
revert	3
engender	3
quit	3
centre	3
fade	3
rustle	3
restore	3
decline	3
ruin	3
denote	3
remark	3
spin	3
dip	3
imagine	3
silence	3
hange	3
overhang	3
kindle	3
right	3
flush	3
educate	3
traverse	3
strain	3
construct	3
tone	3
confound	3
protect	3
beam	3
proclaim	3
overhaul	3
dig	3
obscure	3
attach	3
murder	3
doze	3
desert	3
court	3
writhe	3
cost	3
humble	3
tempt	3
divide	3
quarrel	3
hint	3
condemn	3
rain	3
whistle	3
bed	3
mortify	3
march	3
hoist	3
re-serve	3
charge	3
fire	3
consult	3
select	3
progress	3
judge	3
satisfy	3
enlighten	3
offend	3
announcement	3
pump	3
recollect	3
caution	3
exchange	3
born	3
tend	3
