OCCURRENCE
Evento_lema	Frecuencia
go	402
come	321
make	314
do	283
take	212
give	203
cry	137
turn	133
put	127
get	113
sit	103
speak	101
wish	98
leave	96
left	94
answer	93
bring	92
pass	91
find	88
meet	86
break	85
set	69
let	68
return	66
talk	65
walk	65
know	63
repeat	61
lie	60
fall	57
reach	56
throw	56
lift	56
laugh	55
change	54
stand	52
send	50
mean	50
rise	49
draw	48
marry	48
run	47
address	46
write	46
show	45
wait	43
strike	41
remember	41
forget	41
receive	41
read	40
hold	40
catch	39
drive	39
grow	38
layer	38
stay	38
inquire	37
shake	36
die	35
follow	34
mind	34
understand	32
lose	32
rejoin	32
smile	31
feel	31
play	31
bear	31
spend	30
move	30
hang	30
love	30
arrive	29
happen	29
search	28
used	28
lead	28
putt	27
fill	27
lean	27
carry	27
rush	26
watch	25
engage	25
stretch	24
rest	24
utter	23
speech	23
accompany	23
employ	23
care	23
join	23
cross	23
visit	23
hurt	22
buy	22
pause	22
recognise	22
roll	22
stare	22
present	22
drop	22
forgive	22
raise	21
look	20
fix	20
thank	20
cut	19
express	19
call	19
remove	18
oblige	18
count	18
produce	18
shut	18
interrupt	18
steal	18
enjoy	18
live	17
round	17
hesitate	17
pursue	17
listen	17
discover	17
admit	17
occupy	17
learn	16
recall	16
departure	16
force	16
jump	16
wander	16
glance	16
dress	16
occur	16
use	16
sink	16
stoop	16
convey	16
eat	16
shine	15
knock	15
climb	15
imply	15
wear	15
blow	15
stick	15
gather	15
pay	14
perceive	14
mistake	14
become	14
withdraw	14
lay	14
snatch	14
shoot	14
echo	14
offer	14
refuse	14
cover	14
beg	14
pull	14
conceal	13
render	13
open	13
spare	13
cease	13
spread	13
save	13
struggle	13
hinder	13
fly	13
close	13
bid	13
detect	13
suffer	13
request	13
hit	13
flash	12
judge	12
place	12
incline	12
comply	12
rouse	12
imagine	12
notice	12
allude	12
heart	12
hurry	12
hide	12
overhear	12
introduce	12
push	11
succeed	11
pace	11
account	11
fetch	11
escape	11
kiss	11
dictate	11
ring	11
pack	11
sleep	11
sound	11
correct	11
acquiesce	10
reveal	10
pick	10
greet	10
owe	10
determine	10
belong	10
swallow	10
stroll	10
realize	10
part	10
miss	10
sigh	10
drag	10
dry	10
assail	10
pour	10
prick	10
disappear	10
frame	10
add	10
tire	10
relieve	10
telegraph	10
rob	10
stir	10
deal	10
work	10
recover	10
quit	10
spring	10
arrival	10
pierce	10
possess	10
traverse	9
seat	9
cause	9
mark	9
choke	9
forbid	9
arrest	9
kill	9
sweep	9
linger	9
remind	9
hear	9
blame	9
evidence	9
bury	9
fancy	9
last	9
appeal	9
sing	8
step	8
face	8
direct	8
ascertain	8
lend	8
matter	8
sprung	8
tie	8
tread	8
paint	8
credit	8
decide	8
divine	8
settle	8
murmur	8
dine	8
touch	8
support	8
dare	8
announcement	8
interview	8
recur	8
reassure	8
proposal	8
frighten	8
expose	8
await	8
drink	8
exchange	7
pity	7
deceive	7
provoke	7
rescue	7
born	7
los	7
stray	7
deserve	7
feign	7
word	7
mention	7
back	7
prove	7
embrace	7
nurse	7
replace	7
cast	7
drift	7
conviction	7
assume	7
sob	7
renounce	7
chase	7
contain	7
conversation	7
redden	7
wave	7
bless	7
trust	7
wipe	7
alter	7
tremble	7
depart	7
retreat	7
smell	7
