OCCURRENCE
Evento_lema	Frecuencia
go	128
come	81
make	66
do	40
find	32
answer	32
play	31
pass	31
sit	30
talk	30
get	30
know	29
love	27
grow	26
look	25
give	25
write	23
turn	22
take	22
marry	21
remember	19
bring	18
watch	18
move	18
walk	18
return	18
stand	18
change	18
left	18
read	16
live	16
feel	15
rise	15
leave	14
notice	14
fall	13
gather	13
set	13
cry	12
put	11
lean	11
cover	11
lose	11
drive	10
carry	10
leap	10
wish	10
used	10
break	9
draw	9
throw	9
cast	9
recognize	8
die	8
stay	8
hurry	8
wait	8
arrive	8
lie	7
hang	7
gaze	7
layer	7
forget	7
knit	7
fill	7
blow	7
follow	7
show	7
hold	7
visit	7
catch	6
mind	6
close	6
listen	6
run	6
drop	6
happen	6
tire	6
float	6
meet	6
speak	6
act	6
save	6
rush	6
sleep	5
pick	5
buy	5
spread	5
repeat	5
drink	5
glance	5
pause	5
shine	5
dream	5
lift	5
send	5
learn	5
dress	5
round	5
fly	5
fling	5
strike	5
engage	5
lay	5
paint	5
reach	5
mark	5
pace	5
hide	5
pretend	4
care	4
deal	4
pack	4
absorb	4
imagine	4
bait	4
sway	4
mean	4
light	4
join	4
mutter	4
wear	4
cease	4
flirt	4
understand	4
decision	4
sing	4
nod	4
don’t	4
smile	4
teach	4
lock	4
burn	4
shake	4
cut	4
flow	4
cross	4
search	4
tremble	4
pull	4
count	4
arise	4
delight	4
place	4
let	4
fight	4
dance	3
drift	3
flicker	3
raise	3
burst	3
grind	3
interrupt	3
part	3
murmur	3
receive	3
work	3
plant	3
divide	3
travel	3
wander	3
crawl	3
creep	3
call	3
admire	3
accustom	3
become	3
trample	3
hate	3
crush	3
brush	3
vanish	3
laugh	3
hunt	3
ride	3
desert	3
spend	3
occur	3
improve	3
disturb	3
meditate	3
beat	3
roll	3
fix	3
possess	3
lead	3
cheat	3
forgive	3
contain	3
plunge	3
fulfill	3
cling	3
circle	3
increase	2
rob	2
suit	2
lounge	2
miss	2
putt	2
bade	2
temper	2
chatter	2
force	2
dig	2
shoot	2
rouse	2
enjoy	2
whisper	2
display	2
add	2
redden	2
flatter	2
rake	2
comprehend	2
commence	2
wake	2
long	2
form	2
belong	2
reveal	2
object	2
jilt	2
console	2
toil	2
submit	2
resolve	2
separate	2
tear	2
scatter	2
satisfy	2
touch	2
kill	2
weep	2
trouble	2
lend	2
surround	2
attack	2
educate	2
congratulate	2
fulfil	2
rest	2
bound	2
fit	2
rustle	2
rub	2
preach	2
puzzle	2
eat	2
exist	2
cluck	2
slant	2
win	2
excite	2
reset	2
slip	2
smoke	2
glimmer	2
kiss	2
climb	2
restore	2
ascend	2
darken	2
thrust	2
arrange	2
weed	2
slacken	2
brighten	2
wound	2
issue	2
seize	2
wave	2
lade	2
market	1
chat	1
use	1
irritate	1
rain	1
clear	1
perceive	1
rang	1
drip	1
squeeze	1
splash	1
deepen	1
plait	1
slide	1
dwell	1
spin	1
appear	1
stray	1
occupation	1
“till	1
account	1
vegetate	1
swear	1
reprove	1
fishes	1
repass	1
mount	1
clean	1
overlook	1
boil	1
“nor	1
unbutton	1
open	1
hoe	1
flower	1
dine	1
vary	1
remonstrate	1
resent	1
prey	1
sum	1
grant	1
attract	1
occupy	1
sort	1
preoccupy	1
chase	1
be	1
sniff	1
debate	1
spill	1
milk	1
ponder	1
tramp	1
flee	1
appoint	1
feature	1
mould	1
lack	1
consult	1
remark	1
warm	1
advise	1
content	1
starve	1
plough	1
didn’t	1
lecture	1
gain	1
christen	1
wash	1
peel	1
foresee	1
tuck	1
savage	1
rent	1
bore	1
abuse	1
exact	1
regard	1
represent	1
remind	1
sail	1
jostle	1
alter	1
correspond	1
conduct	1
involve	1
draghunt	1
flutter	1
knock	1
resolution	1
relent	1
have	1
“because	1
weave	1
dart	1
rejoice	1
assume	1
beckon	1
pierce	1
departure	1
gossip	1
discourage	1
woman	1
tempt	1
haunt	1
shrank	1
compel	1
enwrap	1
examine	1
peer	1
blaze	1
lap	1
pay	1
limp	1
mention	1
amuse	1
spy	1
condole	1
impress	1
gentlenes	1
root	1
shade	1
growth	1
number	1
devote	1
occasion	1
disperse	1
ail	1
matter	1
stare	1
centre	1
sentimentalize	1
supply	1
remove	1
acquire	1
criticize	1
pity	1
“have	1
tap	1
mend	1
fancy	1
sob	1
ruffle	1
oppress	1
blush	1
time	1
welcome	1
chirrup	1
connect	1
re-cover	1
droop	1
incident	1
weigh	1
drag	1
dissolve	1
neglect	1
frame	1
base	1
incline	1
nurture	1
born	1
photograph	1
poke	1
prove	1
prejudice	1
admit	1
sympathize	1
attain	1
spoil	1
nothe	1
browse	1
entertain	1
scold	1
crisi	1
last	1
allure	1
los	1
dislike	1
approval	1
settle	1
fold	1
saunter	1
describe	1
train	1
fence	1
cart	1
balance	1
build	1
row	1
slope	1
quiver	1
dazzle	1
deliver	1
ruin	1
combine	1
scheme	1
corner	1
escape	1
cultivate	1
practise	1
situate	1
collect	1
violence	1
reform	1
dizzy	1
clutch	1
ring	1
glow	1
dim	1
guess	1
praise	1
bow	1
founder	1
contrast	1
surprise	1
sang	1
exchange	1
favour	1
trip	1
somethe	1
land	1
heap	1
gleam	1
gladden	1
shape	1
greet	1
discuss	1
sell	1
fry	1
preserve	1
evaporate	1
friend	1
reascend	1
stick	1
introduce	1
prefer	1
“did	1
falter	1
squander	1
unspeak	1
bless	1
tie	1
motion	1
behave	1
replace	1
stifle	1
control	1
grope	1
shiver	1
roof	1
intensify	1
top	1
execute	1
sank	1
waste	1
wet	1
advance	1
creak	1
caress	1
shipwreck	1
unroll	1
descend	1
hurl	1
entice	1
island	1
rave	1
perch	1
fear	1
sigh	1
awake	1
offer	1
avenge	1
gore	1
twitter	1
stem	1
pile	1
reflect	1
drown	1
rage	1
sound	1
leane	1
stretch	1
wood	1
soothe	1
tree	1
near	1
bewilder	1
dye	1
pour	1
melt	1
bend	1
deck	1
seclude	1
outlive	1
fasten	1
tip	1
harden	1
parry	1
match	1
crouch	1
“and	1
“say	1
heave	1
ebb	1
“dhoya	1
name	1
shore	1
point	1
recross	1
fade	1
realize	1
roar	1
crumble	1
pursue	1
quicken	1
loosen	1
rumble	1
