I_ACTION
Evento_lema	Frecuencia
ask	307
look	137
try	134
speak	92
help	85
call	81
offer	51
fail	35
accept	34
assure	33
mean	30
allow	30
promise	29
suggest	28
propose	22
approach	21
declare	21
press	20
explain	20
establish	19
persuade	18
choose	18
urge	17
seek	17
doubt	17
appeal	16
invite	15
overcome	15
avoid	15
effort	15
agree	14
delay	14
prevent	13
face	12
threaten	12
attempt	12
warn	11
wonder	11
point	10
recommend	10
send	9
demand	8
decide	8
show	7
name	6
intend	6
assume	6
accuse	6
aim	6
convince	6
insist	6
state	5
permit	5
support	5
deal	5
complain	5
postpone	5
forbid	5
oppose	4
touch	4
resist	4
pursue	4
compel	4
assist	4
request	4
pray	4
manage	4
direct	4
catch	4
plead	4
influence	3
claim	3
serve	3
approve	3
order	3
listen	3
beat	3
decline	3
conclude	3
guard	3
indicate	2
attribute	2
determine	2
comment	2
deny	2
ignore	2
pronounce	2
extend	2
looking	1
avert	1
estimate	1
set	1
cope	1
reject	1
allege	1
burn	1
note	1
rule	1
expand	1
reason	1
acknowledge	1
distort	1
appear	1
describe	1
investigate	1
tolerate	1
question	1
handle	1
push	1
post	1
pledge	1
regain	1
force	1
record	1
encouragement	1
