I_STATE
Evento_lema	Frecuencia
think	687
know	383
seem	217
like	107
suppose	98
want	90
believe	84
hope	83
become	61
expect	58
appear	47
consider	35
understand	34
allow	28
need	23
please	23
help	23
wonder	22
able	18
aware	15
fear	14
suspect	14
prepare	14
mean	11
surprise	11
concern	11
obtain	10
stand	9
plan	8
commit	6
will	6
suggest	6
regret	6
yield	6
face	5
view	5
enable	5
aim	5
get	4
anticipate	4
approach	4
achieve	4
presume	3
worry	3
afraid	3
meet	3
fail	3
suffer	3
feel	3
involve	2
owe	2
assure	2
require	2
reluctant	2
unhappy	2
constrain	2
deviate	1
deprive	1
care	1
affect	1
agreement	1
eager	1
foresee	1
anxiou	1
walk	1
love	1
rely	1
stay	1
estimate	1
excite	1
run	1
obliterate	1
control	1
unwil	1
sufficient	1
bestir	1
prefer	1
wish	1
find	1
intend	1
happy	1
careful	1
offensive	1
value	1
sense	1
shock	1
advise	1
