OCCURRENCE
Evento_lema	Frecuencia
go	677
come	564
make	546
do	498
write	315
take	291
get	241
speak	231
talk	217
give	214
find	169
look	162
know	157
let	156
live	151
turn	149
wish	146
sit	134
feel	124
read	123
bring	119
put	119
work	118
understand	115
return	106
meet	106
marry	102
wait	101
pass	101
left	95
fall	89
love	89
walk	89
leave	86
laugh	79
change	77
happen	74
remember	73
stand	72
grow	66
care	66
draw	66
exclaim	65
hold	65
rise	60
mean	58
regard	58
lose	58
receive	57
answer	57
earn	56
suffer	55
use	54
show	54
smile	52
sell	52
throw	52
spend	51
forget	51
cry	51
remark	50
send	50
inquire	49
lay	49
move	49
refuse	48
pay	47
save	47
break	46
become	45
shake	45
set	44
reach	43
offer	43
bear	42
lead	42
imagine	41
visit	41
listen	40
succeed	39
used	39
behave	39
afford	38
support	38
occupy	37
utter	36
pursue	35
observe	34
repeat	33
enjoy	33
seat	33
close	33
address	32
glance	32
die	32
beg	32
wear	31
learn	31
dispose	31
publish	31
follow	30
run	30
oblige	29
present	29
suppose	29
prefer	28
admit	28
desire	27
cause	27
treat	26
strike	25
eat	25
deal	25
mind	25
recognise	25
layer	25
watch	25
raise	25
trouble	24
lie	24
paid	24
cease	23
sound	23
act	23
discover	23
mention	23
call	23
engage	23
fix	23
catch	22
notice	22
prove	22
drive	22
stay	21
possess	21
purchase	21
discuss	21
struggle	20
share	20
explain	20
converse	20
trust	20
play	20
reply	20
pause	20
carry	19
decide	19
remind	19
gaze	19
disturb	19
represent	19
reflect	18
justify	18
part	18
sleep	18
refer	18
arrive	18
confess	18
lend	17
provide	17
dine	17
offend	17
dress	16
foresee	16
muse	16
produce	16
encourage	16
force	16
matter	16
conversation	16
buy	16
forgive	16
join	16
judge	15
supply	15
smoke	15
form	15
impress	15
bend	15
grant	15
decision	15
suit	15
putt	14
cut	14
amuse	14
encounter	14
departure	14
withdraw	14
express	14
win	14
entertain	14
fear	14
accompany	14
affect	14
blame	14
check	14
gain	14
rush	14
count	13
face	13
acquaint	13
quarrel	13
devote	13
pretend	13
advise	13
deserve	13
descend	13
search	13
tremble	13
request	13
occur	13
sink	13
speech	13
spare	13
excite	13
invite	13
satisfy	13
murmur	12
death	12
mark	12
study	12
knock	12
endeavour	12
shed	12
cross	12
relieve	12
rest	12
enable	12
exhaust	12
recover	12
hate	12
attract	12
dream	12
fill	12
annoy	12
kill	12
consent	12
recall	12
whisper	12
thank	12
dismiss	11
sacrifice	11
starve	11
manage	11
attack	11
owe	11
review	11
condemn	11
hesitate	11
betray	11
convince	11
summons	11
strive	11
venture	11
apply	11
astonish	11
open	11
undertake	11
misunderstand	11
proposal	11
conceal	11
belong	11
miss	11
resist	11
slip	11
remove	11
burst	11
undergo	11
irritate	10
fling	10
develop	10
educate	10
exist	10
contain	10
place	10
introduce	10
wander	10
cast	10
round	10
exchange	10
appreciate	10
waste	10
bound	10
contemplate	10
delight	10
sigh	10
examine	10
interview	10
increase	10
