I_ACTION
Evento_lema	Frecuencia
ask	163
look	70
call	42
try	38
help	25
accept	22
agree	19
propose	17
wonder	16
speak	12
mean	12
promise	11
prevent	10
effort	10
send	10
demand	9
suggest	9
order	9
intend	8
avoid	7
fail	7
offer	6
declare	6
seek	5
warn	5
accuse	5
decline	5
appeal	5
press	5
assure	4
explain	4
touch	4
pray	4
attempt	4
recommend	4
choose	3
determine	3
hire	3
tear	3
decide	3
claim	3
design	2
ignore	2
indicate	2
doubt	2
resist	2
deal	2
name	2
deny	2
allow	2
convince	2
complain	2
insist	2
hail	2
plead	2
urge	2
face	2
blame	2
beat	2
state	1
block	1
direct	1
arrange	1
question	1
conclude	1
assume	1
overcome	1
push	1
approve	1
mount	1
ensure	1
request	1
announce	1
approach	1
attribute	1
clear	1
explore	1
pronounce	1
show	1
tolerate	1
pursue	1
regain	1
