I_STATE
Evento_lema	Frecuencia
think	392
know	223
want	143
like	90
seem	70
believe	61
suppose	52
expect	42
hope	29
wonder	27
consider	22
appear	16
please	14
become	14
surprise	11
shock	11
allow	7
understand	7
stand	6
help	6
need	6
require	5
aware	5
get	5
prepare	4
concern	4
worry	4
find	4
mean	4
commit	3
fail	2
face	2
sufficient	2
show	2
meet	2
love	2
bore	1
happy	1
obtain	1
afraid	1
smoke	1
dependent	1
cry	1
listen	1
adore	1
regret	1
fear	1
suspect	1
stay	1
presume	1
suggest	1
enjoy	1
owe	1
agree	1
able	1
bother	1
pretend	1
wait	1
involve	1
yield	1
