OCCURRENCE
Evento_lema	Frecuencia
go	404
come	353
do	255
make	237
get	232
feel	155
give	127
take	118
talk	108
sit	105
find	98
wish	83
know	79
remark	76
turn	73
play	70
look	65
marry	65
left	62
stand	57
laugh	55
bore	49
wait	48
care	47
put	45
let	44
write	42
love	42
meet	38
read	36
send	36
remember	34
leave	33
used	31
happen	30
walk	29
follow	29
answer	27
amuse	27
behave	27
mind	27
mean	27
speak	26
quarrel	25
bear	25
hold	24
show	24
break	23
bring	23
stay	23
grow	23
pass	22
call	22
smoke	22
strike	22
throw	22
die	22
return	21
forgive	21
forget	21
eat	21
drive	20
enjoy	20
draw	20
sing	20
smile	20
rise	20
lead	20
cry	20
catch	19
run	19
suppose	19
shoot	19
determine	18
move	18
regard	18
live	18
drop	17
lie	17
fall	17
lay	17
matter	16
settle	16
murmur	16
layer	15
act	15
shut	15
realise	15
notice	15
join	15
understand	15
form	15
wear	14
treat	14
use	13
lose	13
lunch	13
pause	13
become	13
set	13
dance	13
learn	13
ride	13
devote	12
round	12
engage	12
manage	12
receive	12
drink	12
watch	12
congratulate	11
dress	11
hit	11
change	11
kiss	11
produce	11
judge	11
spend	11
cut	11
steal	11
miss	10
blame	10
shake	10
putt	10
bow	10
pick	10
dislike	10
pull	10
sleep	10
argue	10
kill	10
raise	9
cross	9
born	9
admire	9
repeat	9
hate	9
occur	9
close	9
thank	9
cultivate	9
listen	9
confess	9
introduce	9
wake	9
buy	9
guess	9
kneel	9
cover	8
exclaim	8
suit	8
wander	8
satisfy	8
hand	8
frighten	8
deal	8
refuse	8
forbid	8
arrive	8
swear	8
stroll	8
consist	8
discuss	8
work	8
touch	8
inquire	7
decide	7
advance	7
pretend	7
bother	7
sob	7
sang	7
charm	7
carry	7
disappoint	7
re-cover	7
fetch	7
explain	7
beg	7
prefer	7
sound	7
spoil	7
gather	7
observe	7
arrange	7
visit	7
admit	7
fight	7
beat	6
kick	6
imply	6
deserve	6
distrust	6
vex	6
count	6
bury	6
rush	6
recognise	6
despise	6
attend	6
owe	6
decision	6
pour	6
long	6
reach	6
howl	6
glance	6
pity	6
compose	6
mention	6
fly	6
encourage	6
trust	6
address	6
exert	5
hurry	5
perform	5
frown	5
object	5
remind	5
teach	5
fit	5
command	5
refer	5
possess	5
experience	5
fill	5
reflect	5
conceive	5
sweep	5
cast	5
stretch	5
travel	5
hint	5
stifle	5
adore	5
scream	5
please	5
hang	5
push	5
lean	5
whisper	5
provide	5
breakfast	5
whistle	5
paint	5
open	5
build	5
win	5
consult	5
respect	5
offer	5
delight	5
neglect	5
contemplate	5
tear	5
imagine	5
conversation	5
decline	5
bound	5
describe	4
reconstruct	4
last	4
tire	4
line	4
dismiss	4
knock	4
warm	4
attract	4
lecture	4
force	4
grant	4
flatter	4
attach	4
blow	4
burn	4
part	4
dare	4
practise	4
appear	4
puzzle	4
interest	4
mistake	4
pat	4
belong	4
welcome	4
apply	4
bend	4
wheel	4
afford	4
spare	4
exercise	4
deceive	4
save	4
sacrifice	4
conduct	4
burst	4
tap	4
greet	4
stick	4
fold	4
cease	4
bed	4
induce	4
dine	4
plunge	4
pay	4
tempt	4
flash	4
cause	4
interview	4
discover	4
entertain	4
flutter	3
constitute	3
light	3
leane	3
action	3
excuse	3
spread	3
nod	3
retreat	3
proceed	3
secure	3
swallow	3
calculate	3
exist	3
renounce	3
employ	3
crack	3
soothe	3
lit	3
apologise	3
shrug	3
baffle	3
honour	3
inspire	3
fish	3
stare	3
founder	3
age	3
accompany	3
remonstrate	3
interfere	3
require	3
disgust	3
stroke	3
weep	3
recount	3
correct	3
flush	3
involve	3
incline	3
oblige	3
signify	3
relieve	3
remove	3
church	3
absorb	3
express	3
wash	3
hunt	3
roar	3
destroy	3
ring	3
account	3
display	3
climb	3
excite	3
console	3
speech	3
yawn	3
dissatisfy	3
dangle	3
score	3
oil	3
swim	3
comfort	3
suffer	3
seize	3
death	3
foresee	3
appreciate	3
drag	3
allude	3
clasp	3
bite	3
resist	3
dream	3
desecrate	3
crumple	3
develop	3
dictate	3
brush	3
extract	3
hide	3
check	3
startle	3
insult	3
duel	3
tie	2
disappear	2
hover	2
shed	2
evince	2
record	2
everythe	2
interrupt	2
prove	2
desire	2
rejoin	2
meddle	2
dissect	2
conceal	2
unlock	2
adopt	2
surprise	2
dispute	2
prompt	2
ignore	2
lament	2
desert	2
grin	2
beckon	2
face	2
grasp	2
fidget	2
be	2
air	2
lift	2
construct	2
row	2
trouble	2
define	2
accustom	2
disapprove	2
banish	2
arrival	2
step	2
justify	2
resent	2
breed	2
twinkle	2
reduce	2
ruin	2
unbend	2
dispense	2
fulfill	2
enter	2
plant	2
obey	2
stamp	2
wrapped	2
pine	2
strive	2
dupe	2
sympathise	2
sniff	2
disagree	2
departure	2
emphasise	2
snow	2
depress	2
