I_ACTION
Evento_lema	Frecuencia
look	79
ask	55
try	35
call	19
help	14
speak	10
touch	10
suggest	8
mean	8
wonder	8
press	7
accept	6
approve	6
appeal	6
face	6
insist	6
arrange	5
demand	5
offer	5
send	5
declare	4
choose	4
tear	4
urge	4
effort	4
order	4
fail	3
allow	3
permit	3
agree	3
show	3
attempt	3
intend	3
block	3
complain	3
plead	3
avoid	2
promise	2
manage	2
doubt	2
pronounce	2
overcome	2
explain	2
hail	2
approach	2
seek	2
calling	1
mount	1
elect	1
question	1
verify	1
regain	1
design	1
assume	1
claim	1
assist	1
ensure	1
decide	1
persuade	1
head	1
prevent	1
assure	1
conclude	1
catch	1
invite	1
describe	1
influence	1
investigate	1
request	1
accuse	1
support	1
burn	1
blame	1
