I_ACTION
Evento_lema	Frecuencia
ask	132
look	108
try	106
call	78
help	47
suggest	37
speak	33
attempt	32
allow	31
point	28
mean	27
avoid	26
agree	24
seek	23
offer	22
persuade	22
accept	22
assure	21
fail	20
claim	20
appeal	20
prevent	19
promise	19
overcome	16
deny	16
choose	16
warn	15
declare	14
touch	14
effort	14
intend	14
doubt	13
urge	13
wonder	13
face	13
explain	13
order	12
demand	12
recommend	11
plead	11
threaten	11
propose	10
permit	10
approve	10
pray	9
convince	9
insist	9
pronounce	9
decide	9
complain	9
resist	9
oppose	8
accuse	8
manage	8
establish	7
send	6
delay	6
explore	6
press	6
approach	5
clear	5
deal	5
pursue	4
assume	4
tear	4
state	4
question	4
attribute	4
ignore	4
announce	4
rule	4
design	4
beat	4
pledge	3
direct	3
avert	3
arrange	3
conclude	3
invite	3
mislead	3
burn	3
guard	3
brim	3
acknowledge	3
applaud	2
catch	2
record	2
indicate	2
distort	2
compel	2
note	2
speculate	2
force	2
request	2
cope	2
forbid	2
organize	2
serve	2
trying	1
elect	1
run	1
predict	1
set	1
mount	1
influence	1
determine	1
describe	1
investigate	1
expand	1
disclose	1
name	1
blame	1
regain	1
make	1
postpone	1
assist	1
show	1
support	1
