I_STATE
Evento_lema	Frecuencia
think	390
seem	279
know	177
believe	103
want	84
hope	75
become	66
expect	55
like	54
appear	53
suppose	49
fear	42
consider	40
wonder	32
allow	29
please	25
stand	20
need	18
regret	15
fail	14
require	12
surprise	11
able	11
understand	11
prepare	10
shock	9
suspect	9
achieve	8
find	7
mean	5
aware	5
worry	5
help	5
realize	4
concern	4
face	4
dismay	4
affect	4
suggest	3
intend	3
meet	3
yield	3
feel	3
listen	3
owe	2
approach	2
run	2
presume	2
force	2
enable	2
persuade	2
plan	2
careful	2
rely	2
suffer	2
afraid	2
seemed	1
design	1
aim	1
obtain	1
view	1
confident	1
sufficient	1
provide	1
will	1
win	1
happy	1
reflect	1
lay	1
turn	1
cease	1
display	1
seek	1
subject	1
recollect	1
press	1
sense	1
get	1
foresee	1
offensive	1
choose	1
overcome	1
wish	1
“assume	1
commit	1
shew	1
fulfil	1
