STATE
Evento_lema	Frecuencia
have	189
feel	42
hold	22
be	22
remain	20
glad	9
own	7
war	7
fair	6
good	5
result	3
live	3
represent	3
responsible	3
los	3
happy	3
capable	3
full	2
better	2
difficulty	2
mix	2
bad	2
lack	2
unknown	2
illogical	1
convenient	1
ignorant	1
intense	1
northern	1
interest	1
busy	1
on	1
thankful	1
morbid	1
equal	1
unpleasant	1
foolish	1
successful	1
intimate	1
justifiable	1
notable	1
inevitable	1
uneasy	1
affect	1
wearable	1
wrong	1
enjoy	1
trivial	1
content	1
low	1
miserable	1
gain	1
worthy	1
cold	1
outcome	1
necessary	1
cost	1
subservient	1
abandon	1
eccentric	1
mad	1
independent	1
relate	1
emotional	1
perfect	1
gay	1
pleasant	1
silent	1
stern	1
humble	1
