OCCURRENCE
Evento_lema	Frecuencia
come	94
look	70
go	66
turn	51
feel	50
answer	41
sit	40
stand	34
lean	33
make	32
do	31
pass	30
walk	28
get	27
meet	27
take	27
know	26
find	24
laugh	22
rise	21
fall	20
throw	19
let	19
draw	17
return	16
hold	16
talk	16
round	15
glance	15
give	14
change	14
watch	13
strike	12
wait	12
move	12
love	12
left	12
follow	11
break	11
leave	10
lose	10
put	10
lay	10
smile	10
speak	10
stir	10
reach	9
mean	9
push	9
grow	9
realise	9
pay	8
raise	8
stroll	8
forget	8
cross	8
bring	8
play	8
close	8
marry	8
listen	7
catch	7
smoke	7
wish	7
set	7
stare	7
quiver	7
part	7
face	7
die	7
remark	6
disappear	6
run	6
forgive	6
murmur	6
swell	6
layer	6
rest	6
tremble	6
admit	6
withdraw	6
mutter	5
lie	5
light	5
send	5
stretch	5
dress	5
wear	5
suffer	5
fix	5
gather	5
use	5
recognise	5
stay	5
refuse	4
swear	4
shoot	4
swing	4
irritate	4
settle	4
transfer	4
bend	4
beat	4
pause	4
cut	4
respect	4
treat	4
silence	4
form	4
conversation	4
sing	4
wind	4
gaze	4
utter	4
exclaim	4
rush	4
understand	4
imagine	4
possess	4
gleam	4
flee	4
rouse	4
fold	4
care	4
matter	4
act	4
condemn	4
stamp	4
remember	4
sway	3
paid	3
sink	3
produce	3
collect	3
justify	3
slide	3
exercise	3
divide	3
object	3
suppose	3
persist	3
waste	3
descend	3
eurydice	3
departure	3
fling	3
shine	3
read	3
annoy	3
vanish	3
stimulate	3
accustom	3
sustain	3
roll	3
hang	3
balance	3
leg	3
leap	3
escape	3
absorb	3
hate	3
admire	3
carry	3
gain	3
satisfy	3
pile	3
dilate	3
colour	3
kill	3
long	3
live	3
reproach	3
sting	3
render	3
blind	3
brush	3
fill	3
grip	3
eat	3
lift	3
arrange	3
resolution	3
nod	3
trust	3
drive	3
fasten	3
sprang	2
write	2
scrutinise	2
demand	2
exchange	2
engage	2
empty	2
notice	2
hand	2
sleep	2
maintain	2
drag	2
work	2
wander	2
conviction	2
scan	2
arrest	2
fire	2
shrivel	2
glow	2
bore	2
soothe	2
console	2
intimate	2
disturb	2
remind	2
support	2
define	2
resent	2
fetch	2
envy	2
depress	2
open	2
cease	2
flow	2
weight	2
blanch	2
swim	2
sank	2
resignation	2
grant	2
overstrain	2
join	2
ring	2
rejoin	2
determine	2
supply	2
lighten	2
transform	2
sweep	2
worship	2
suffocate	2
obliterate	2
dominate	2
confuse	2
pursue	2
startle	2
recall	2
lock	2
paralyse	2
destroy	2
deaden	2
action	2
encourage	2
used	2
slip	2
study	2
struggle	2
weigh	2
decision	2
become	2
sin	2
bound	2
hesitate	2
ratify	2
confess	2
wrestle	2
dine	2
flash	2
knock	2
crowd	2
sound	2
strangle	2
decide	2
agonise	2
drop	2
spend	2
prove	2
excuse	2
blunt	2
travel	2
line	2
jump	2
show	2
alter	2
weaken	2
resist	2
prompt	2
incline	2
tire	2
flush	2
obey	2
degenerate	2
weary	2
call	2
toss	2
reply	2
reform	2
scorch	2
cling	2
seat	2
exert	2
load	1
rock	1
loose	1
clamour	1
yell	1
shower	1
dare	1
interfere	1
stick	1
force	1
flare	1
muffle	1
convey	1
huddle	1
suggestion	1
advise	1
fumble	1
grumble	1
‘pay	1
thank	1
relapse	1
commiserate	1
oblige	1
scramble	1
request	1
disembark	1
jar	1
flight	1
elicit	1
mix	1
emerge	1
cast	1
contemplate	1
thud	1
enable	1
occupy	1
tramp	1
shout	1
reappear	1
whirl	1
jest	1
pin	1
hurry	1
occur	1
interest	1
pique	1
bother	1
bolt	1
afflict	1
attack	1
gild	1
serve	1
remove	1
attach	1
furl	1
unfurl	1
divine	1
glitter	1
summons	1
unsheathe	1
none	1
response	1
suffuse	1
smite	1
earn	1
deepen	1
potter	1
err	1
disposal	1
mar	1
exempt	1
accentuate	1
surprise	1
detect	1
display	1
characterise	1
rang	1
desert	1
pulsate	1
undulate	1
tinkle	1
cluster	1
hasten	1
stool	1
disdain	1
knot	1
disincline	1
plant	1
guide	1
twitch	1
topple	1
banjo	1
trouble	1
race	1
address	1
tune	1
sang	1
vibrate	1
surround	1
throb	1
commence	1
well	1
unite	1
clap	1
re-cover	1
circulate	1
dislike	1
comment	1
saunter	1
revive	1
enlighten	1
cause	1
box	1
fancy	1
outstretch	1
observe	1
prefer	1
kick	1
crave	1
recover	1
restore	1
grasp	1
palpitate	1
blush	1
sparkle	1
discourse	1
discuss	1
nothe	1
everythe	1
unfold	1
dedicate	1
judge	1
inclination	1
spin	1
pour	1
diffuse	1
quicken	1
dry	1
screen	1
denude	1
enclose	1
waver	1
blaze	1
mistrust	1
intoxicate	1
offend	1
stab	1
explain	1
stun	1
drift	1
‘come	1
shrug	1
sprung	1
cultivate	1
perish	1
annihilate	1
submerge	1
welcome	1
dread	1
repeat	1
falter	1
stumble	1
steady	1
scintillate	1
fly	1
image	1
replace	1
exist	1
teach	1
tragedy	1
escap	1
frame	1
‘to	1
term	1
reveal	1
‘suppose	1
spill	1
overturn	1
awe	1
check	1
desecrate	1
release	1
praise	1
regret	1
defend	1
blame	1
contain	1
cage	1
separate	1
voyage	1
eye	1
blacken	1
happen	1
prejudice	1
seduce	1
revolt	1
steal	1
forge	1
seethe	1
dwell	1
convince	1
desire	1
subjugate	1
unnerve	1
unstring	1
curve	1
mock	1
thread	1
shut	1
unpack	1
drink	1
lit	1
strain	1
kiss	1
death	1
flutter	1
rattle	1
groan	1
‘let	1
marshal	1
commit	1
conquer	1
better	1
drown	1
efface	1
steel	1
chance	1
dwindle	1
advance	1
march	1
purchase	1
sell	1
enjoy	1
digest	1
nourish	1
distort	1
invade	1
wound	1
seam	1
offer	1
stream	1
loosen	1
detach	1
recoginise	1
chase	1
unfasten	1
search	1
wheel	1
soften	1
supper	1
heed	1
glare	1
tread	1
embrace	1
unsatisfy	1
endure	1
straighten	1
hide	1
elevate	1
cry	1
summit	1
deceive	1
cheat	1
hammer	1
entangle	1
fool	1
veil	1
plunge	1
bowl	1
embed	1
yield	1
despise	1
shock	1
obscure	1
fit	1
alternate	1
expand	1
enfeeble	1
enervate	1
attenuate	1
virtue	1
soar	1
captivate	1
extend	1
imply	1
fashion	1
contradict	1
interview	1
examine	1
represent	1
furnish	1
equal	1
interrupt	1
‘and	1
drum	1
subside	1
dissipate	1
shake	1
‘while	1
lead	1
chill	1
enforce	1
induce	1
hint	1
trip	1
heart	1
proposal	1
conjure	1
suit	1
lounge	1
slant	1
caress	1
glint	1
resign	1
pair	1
agitate	1
finish	1
animate	1
visit	1
forbid	1
dismiss	1
dispute	1
swallow	1
pick	1
mind	1
flood	1
astonish	1
perfection	1
mark	1
born	1
subdue	1
view	1
stall	1
hover	1
file	1
‘turn	1
twist	1
touch	1
abuse	1
control	1
leane	1
fortify	1
grudge	1
sober	1
refer	1
buy	1
despatch	1
burst	1
putt	1
miss	1
hurt	1
shift	1
quench	1
nerve	1
operation	1
assign	1
rearrange	1
latch	1
print	1
extricate	1
detain	1
unlock	1
