OCCURRENCE
Evento_lema	Frecuencia
come	150
go	94
feel	65
find	62
make	54
get	51
take	49
look	36
grow	36
put	34
move	32
do	32
run	32
stand	30
travel	29
fall	28
turn	27
sit	24
follow	22
pass	21
strike	21
rise	20
left	20
know	18
give	18
set	17
lay	16
sleep	16
lit	16
watch	15
understand	15
round	15
vanish	14
remember	14
judge	14
happen	13
change	13
laugh	13
meet	13
hesitate	13
creep	13
break	13
shine	12
stare	12
leave	12
hold	12
speak	11
wait	11
show	11
determine	11
walk	11
push	11
carry	11
fancy	11
return	11
catch	10
draw	10
smile	10
notice	10
lose	10
imagine	10
cry	9
fling	9
hang	9
discover	8
disappear	8
lead	8
reach	8
wear	8
convey	8
drive	8
increase	8
clamber	8
recognize	7
save	7
light	7
puzzle	7
perceive	7
let	7
close	7
bring	7
shiver	7
slip	7
remind	7
shake	7
examine	7
realize	7
burn	6
mean	6
proceed	6
stay	6
rest	6
startle	6
lie	6
live	6
forget	6
learn	6
grasp	6
admit	5
incline	5
mind	5
peer	5
waste	5
blow	5
remark	5
cover	5
display	5
cut	5
cease	5
descend	5
sway	5
occur	5
resolve	5
dance	5
stagger	5
seat	5
wander	5
hide	5
suffer	5
kill	5
exist	4
overlook	4
talk	4
master	4
trace	4
jump	4
place	4
play	4
stoop	4
mistake	4
fade	4
flicker	4
recover	4
eat	4
nod	4
suppose	4
destroy	4
flow	4
drop	4
spread	4
sweep	4
build	4
receive	4
desert	4
fight	4
struggle	4
guess	4
become	4
die	4
stir	4
clutch	4
beat	4
match	4
blunder	4
grope	4
bathe	4
use	4
flare	4
confess	4
pursue	4
slide	4
pull	4
stretch	4
breathe	4
mark	3
call	3
represent	3
recall	3
attract	3
improve	3
scatter	3
illuminate	3
satisfy	3
swing	3
re-cover	3
fill	3
reassure	3
appreciate	3
layer	3
arrive	3
rang	3
open	3
dress	3
read	3
limp	3
roll	3
heap	3
devote	3
lean	3
argue	3
refrain	3
crack	3
grip	3
traverse	3
leap	3
dash	3
flash	3
account	3
describe	3
chance	3
recede	3
seize	3
used	3
face	3
anticipate	3
rush	3
observe	3
tire	3
fatigue	3
emerge	3
destine	3
engage	3
attain	3
effect	3
constitute	3
equip	3
answer	3
revive	3
touch	3
exhaust	3
work	3
spend	3
miss	3
throw	3
present	3
drift	3
kiss	3
dread	3
gather	3
dream	3
swim	3
halter	3
retreat	3
adapt	3
fear	3
cling	3
tremble	3
cast	3
shout	3
reverse	3
contrive	3
preserve	3
smash	3
wane	3
crawl	3
expound	2
twinkle	2
caress	2
teach	2
repeat	2
verify	2
collapse	2
imitate	2
send	2
glide	2
damn	2
fly	2
sound	2
behold	2
file	2
explain	2
furnish	2
discuss	2
attend	2
trick	2
smear	2
dazzle	2
wash	2
starve	2
eke	2
raise	2
stick	2
relieve	2
smoke	2
write	2
express	2
reel	2
flap	2
merge	2
dim	2
race	2
confuse	2
occupy	2
carve	2
advance	2
withdraw	2
readjust	2
smote	2
whirl	2
pick	2
direct	2
clad	2
distinguish	2
astonish	2
smother	2
speech	2
survey	2
dine	2
summit	2
sting	2
form	2
violence	2
muse	2
shape	2
affect	2
clothe	2
devise	2
succeed	2
diminish	2
remove	2
rave	2
bawl	2
stumble	2
los	2
scream	2
leak	2
wake	2
hop	2
scramble	2
desire	2
infer	2
drag	2
protect	2
flutter	2
associate	2
contain	2
lack	2
rescue	2
drown	2
wade	2
care	2
enter	2
trouble	2
triumph	2
awaken	2
scan	2
amuse	2
search	2
dart	2
regard	2
shudder	2
be	2
flight	2
utilize	2
refuse	2
burst	2
shirk	2
putt	2
cramp	2
survive	2
economize	2
patter	2
wave	2
secure	2
impress	2
thrust	2
pause	2
arrange	2
doze	2
