I_ACTION
Evento_lema	Frecuencia
ask	49
look	47
try	40
help	29
call	19
speak	15
pray	15
seek	13
touch	12
point	11
fail	11
permit	10
assure	10
press	10
explain	9
prevent	8
face	8
wonder	7
avoid	7
declare	6
offer	6
hail	6
approve	6
show	5
plead	5
accuse	5
intend	5
suggest	5
propose	5
delay	5
agree	5
attempt	5
accept	4
mean	4
promise	4
appeal	4
deny	4
note	4
state	4
claim	4
determine	3
allow	3
convince	3
approach	3
demand	3
doubt	3
extend	3
design	2
tear	2
clear	2
concede	2
decide	2
effort	2
conclude	2
regain	2
invite	2
compel	2
send	2
brim	2
insist	2
burn	2
named	1
pronounce	1
explore	1
describe	1
run	1
name	1
bar	1
manage	1
investigate	1
record	1
assume	1
guard	1
require	1
develop	1
establish	1
direct	1
persuade	1
forbid	1
indicate	1
push	1
question	1
choose	1
head	1
acknowledge	1
order	1
comment	1
applaud	1
promote	1
overcome	1
support	1
disclose	1
appear	1
tolerate	1
pursue	1
catch	1
decline	1
