I_STATE
Evento_lema	Frecuencia
think	111
know	105
seem	43
believe	41
want	38
appear	35
hope	23
suppose	21
become	19
like	15
please	13
understand	11
need	10
expect	9
consider	8
fear	8
stand	7
aware	7
regret	6
fail	6
owe	6
find	5
protest	5
obtain	4
suspect	4
suggest	4
yield	4
concern	3
listen	2
plan	2
worry	2
wonder	2
suffer	2
mean	2
allow	2
meet	2
require	2
able	2
help	2
seemed	1
distract	1
approach	1
agreement	1
surprise	1
perceive	1
clear	1
deprive	1
run	1
undervalue	1
recognise	1
prefer	1
constrain	1
close	1
control	1
involve	1
reflect	1
feel	1
speculate	1
prepare	1
seek	1
civilise	1
forget	1
