OCCURRENCE
Evento_lema	Frecuencia
go	115
come	109
take	104
give	91
make	86
do	81
turn	68
cry	65
speak	50
stand	48
look	48
find	47
get	45
pass	42
let	40
answer	38
move	37
know	36
talk	35
play	34
put	33
leave	31
sit	31
meet	29
marry	29
hold	29
feel	29
return	28
pause	28
wish	28
bring	27
left	27
break	27
draw	27
grow	26
smile	26
remember	26
understand	25
rise	24
raise	23
remark	22
fall	22
strike	21
shake	21
lay	21
possess	19
lose	19
set	19
murmur	19
love	19
save	18
gather	18
happen	18
care	18
exclaim	18
wear	17
bear	16
address	16
carry	16
throw	16
repeat	16
watch	15
beg	15
listen	15
wait	15
show	15
change	15
observe	14
reach	14
layer	14
trust	14
follow	14
catch	13
perceive	13
become	13
prove	12
drop	12
refuse	12
cease	12
round	12
gaze	12
lie	12
fancy	12
forget	12
run	11
recognise	11
cross	11
close	11
walk	10
cause	10
light	10
die	10
afford	10
leane	10
call	10
affect	10
stay	10
stare	10
behold	10
push	10
laugh	10
produce	9
mention	9
entertain	9
implore	9
spare	9
remind	9
bend	9
glance	9
pay	9
inquire	9
imagine	9
use	9
write	8
protest	8
fill	8
mean	8
mind	8
sank	8
thank	8
work	8
read	8
bore	8
admit	8
clasp	8
grant	8
rest	8
offer	8
hang	8
quiver	8
dispose	8
retain	7
add	7
stretch	7
touch	7
born	7
present	7
slip	7
place	7
mistake	7
putt	7
sigh	7
receive	7
arrive	7
judge	7
join	7
fear	7
develop	7
conceal	7
dance	7
secure	7
wave	7
flee	7
blow	7
jump	7
pick	7
regard	7
disappear	6
pull	6
count	6
smoke	6
frighten	6
cling	6
beat	6
knock	6
tie	6
suppose	6
advance	6
employ	6
suffer	6
comprehend	6
form	6
annoy	6
recall	6
gain	6
part	6
swim	6
settle	6
occur	6
deliver	6
sweep	6
dare	6
dream	6
realise	6
rush	6
kiss	6
dislike	6
indulge	6
occupy	6
encourage	6
yelp	6
howl	6
supply	5
act	5
spoil	5
engage	5
desire	5
provoke	5
contemplate	5
stick	5
swear	5
kill	5
hesitate	5
amuse	5
compel	5
describe	5
speech	5
shut	5
behave	5
practise	5
shine	5
re-cover	5
display	5
linger	5
straighten	5
treat	5
retire	5
lend	5
decide	5
dread	5
slap	5
vanish	5
reveal	5
offend	5
cover	5
obey	5
calculate	5
render	5
search	5
bound	5
sleep	5
drag	5
conviction	4
discuss	4
shade	4
travel	4
live	4
grasp	4
clean	4
notice	4
please	4
flush	4
spread	4
bless	4
increase	4
forbid	4
chase	4
adore	4
assert	4
represent	4
rub	4
head	4
venture	4
ceremony	4
cultivate	4
excuse	4
sail	4
clothe	4
humiliate	4
confess	4
agitate	4
bow	4
swallow	4
deal	4
spend	4
lift	4
whisper	4
proceed	4
support	4
explain	4
seat	4
sway	4
haunt	4
cluster	4
overtake	4
owe	4
leap	4
dwell	4
droop	4
discover	4
attend	4
rouse	4
stoop	4
convey	4
sacrifice	4
drive	4
forgive	4
admire	4
relieve	4
ruffle	4
endure	4
pardon	4
neglect	4
satisfy	4
appear	4
force	4
trouble	4
conversation	4
loiter	4
delight	4
used	4
mortify	4
sign	4
whimper	4
alter	3
exercise	3
wander	3
involve	3
dig	3
undertake	3
imply	3
array	3
abstain	3
arouse	3
attain	3
recede	3
match	3
praise	3
action	3
introduce	3
drink	3
bid	3
accompany	3
patronise	3
curl	3
sound	3
doubt	3
empty	3
wipe	3
chatter	3
stool	3
slide	3
yap	3
crawl	3
starve	3
cut	3
lean	3
sing	3
argue	3
congratulate	3
appeal	3
concentrate	3
communicate	3
detain	3
nod	3
exaggerate	3
stagger	3
tremble	3
recite	3
caress	3
reckon	3
mar	3
gratify	3
contain	3
saunter	3
heart	3
kick	3
shoot	3
remove	3
learn	3
rejoin	3
disguise	3
plant	3
command	3
invade	3
chill	3
harass	3
grip	3
fling	3
sink	3
arise	3
pile	3
fly	3
disturb	3
disappoint	3
interrupt	3
incline	3
amaze	3
line	3
stroll	3
risk	3
breed	3
enjoy	3
frame	3
stiffen	3
grunt	3
distress	3
attract	3
lack	3
misjudge	3
misread	3
strive	3
quench	3
extend	3
wring	3
reel	3
rally	3
lower	3
teach	3
flatter	3
hug	3
open	3
pervade	3
interfere	3
detect	3
curse	3
overflow	3
extinguish	3
sketch	3
win	3
surround	3
crack	3
escape	3
encounter	3
struggle	3
compose	3
smooth	3
slow	3
crush	3
arrange	3
weep	3
entreat	3
fetch	3
witness	3
cancel	3
pluck	3
worship	3
wane	3
wake	3
reflect	3
testify	3
double	3
honour	3
back	3
eat	3
object	3
outstretch	3
devote	3
battle	3
submit	2
rain	2
conjure	2
except	2
divide	2
question	2
dazzle	2
harry	2
assume	2
grill	2
amount	2
crowd	2
serve	2
strangle	2
bristle	2
ride	2
deserve	2
fever	2
strain	2
gallop	2
hand	2
bother	2
roll	2
focus	2
dress	2
tire	2
intrude	2
succeed	2
subside	2
sustain	2
endorse	2
upset	2
limit	2
appreciate	2
obscure	2
beam	2
convert	2
bewilder	2
emerge	2
lead	2
pack	2
detach	2
disembark	2
signal	2
salute	2
welcome	2
descend	2
school	2
misconceive	2
visit	2
trot	2
enclose	2
speed	2
last	2
bump	2
sin	2
hunt	2
torment	2
relegate	2
supersede	2
awaken	2
have	2
deepen	2
startle	2
hurt	2
heave	2
scratch	2
tempt	2
irritate	2
pursue	2
commend	2
disorder	2
scorn	2
woo	2
displease	2
puff	2
console	2
tap	2
disregard	2
border	2
intervene	2
swathe	2
fold	2
hide	2
blind	2
undervalue	2
impede	2
swing	2
perplex	2
dignify	2
repent	2
wrapped	2
glow	2
dominate	2
waste	2
clutch	2
heap	2
express	2
point	2
preach	2
misunderstand	2
enchant	2
pace	2
counsel	2
yield	2
shroud	2
seize	2
bewitch	2
detest	2
withdraw	2
concern	2
hint	2
send	2
interview	2
acquit	2
perform	2
triumph	2
fan	2
overhear	2
assent	2
discussion	2
despise	2
illuminate	2
discourse	2
relish	2
chuckle	2
hurry	2
mitigate	2
stab	2
promote	2
uplift	2
belong	2
surpass	2
vibrate	2
ensue	2
conceive	2
stir	2
meditate	2
exhibit	2
labour	2
infect	2
require	2
affirm	2
mingle	2
calm	2
multiply	2
blanch	2
banish	2
manage	2
unstring	2
convince	2
envy	2
rock	2
chance	2
commit	2
soften	2
advise	2
moan	2
disconcert	2
shelter	2
refer	2
destroy	2
shudder	2
envelop	2
create	2
wreck	2
scatter	2
cast	2
betray	2
justify	2
applaud	2
falter	2
vary	2
maintain	2
paid	2
apologise	2
ring	2
fathom	2
pretend	2
flatten	2
suit	2
transfer	2
induce	2
plenty	2
be	2
lace	2
absorb	2
sew	2
glitter	2
arrest	2
relax	2
flight	2
account	2
near	2
warm	2
upraise	2
skirmish	2
oblige	2
yearn	2
tear	2
bestow	2
foresee	2
fluster	2
crown	2
journey	2
weigh	2
rid	2
recover	2
distract	2
drift	2
scold	2
shift	2
harbour	2
desert	2
dine	2
reprint	2
lounge	2
sneer	2
loathe	2
singe	2
impel	2
emphasise	2
oppress	2
steady	2
wrench	2
master	2
undouble	2
drip	2
limp	2
bathe	2
stammer	2
“THE	1
appropriate	1
tramp	1
recount	1
differ	1
distinguish	1
furnish	1
consist	1
exploit	1
feather	1
trim	1
situate	1
localise	1
dip	1
brush	1
reverence	1
pulse	1
thrill	1
extoll	1
reverberate	1
advent	1
fashion	1
abolish	1
sprang	1
burst	1
repose	1
lunge	1
gulp	1
fish	1
twitch	1
generate	1
expend	1
diet	1
sentence	1
pan	1
muddle	1
squat	1
scare	1
parch	1
squander	1
feed	1
stumble	1
mend	1
lick	1
race	1
kneel	1
whistle	1
pat	1
‘to	1
demoralise	1
appearance	1
mix	1
reverse	1
procure	1
extenuate	1
thirst	1
“draw	1
‘the	1
untie	1
charge	1
swell	1
collect	1
misplace	1
coerce	1
annihilate	1
preserve	1
confession	1
depress	1
expectorate	1
sell	1
scuttle	1
scan	1
miss	1
climb	1
“come	1
prize	1
appease	1
enfold	1
toy	1
term	1
trifle	1
protect	1
utter	1
top	1
dry	1
haul	1
trumpet	1
side	1
colour	1
determine	1
extract	1
beach	1
creak	1
disaster	1
usurp	1
accost	1
muster	1
shove	1
chuck	1
smash	1
“bore	1
hange	1
evoke	1
materialise	1
blaspheme	1
smelt	1
‘be	1
wriggle	1
balance	1
snuggle	1
invite	1
drivel	1
ravish	1
build	1
erect	1
snap	1
payment	1
“trust	1
denote	1
wreak	1
covet	1
summon	1
overlie	1
effect	1
cloak	1
mature	1
“so	1
“here	1
brace	1
halter	1
bath	1
float	1
gainsay	1
shirk	1
dumfounder	1
eye	1
split	1
reign	1
preside	1
glue	1
shout	1
hiss	1
purr	1
mistres	1
upholster	1
lash	1
fringe	1
writer	1
addict	1
decline	1
drape	1
omit	1
“are	1
warrant	1
embarrass	1
harden	1
test	1
divine	1
repulse	1
share	1
shield	1
inspire	1
befall	1
comfort	1
poison	1
mislead	1
trade	1
conquer	1
reconnoitre	1
paralyse	1
accede	1
wet	1
mark	1
root	1
contract	1
sprung	1
crave	1
response	1
blood	1
buy	1
dote	1
elapse	1
acquire	1
scruple	1
solace	1
demand	1
crisi	1
eclipse	1
herd	1
throne	1
laud	1
enact	1
bungle	1
grieve	1
slumber	1
omen	1
emit	1
characterise	1
number	1
“persuade	1
bed	1
reinforce	1
revise	1
fool	1
construct	1
steep	1
darken	1
check	1
suffuse	1
sow	1
mistrust	1
reprove	1
impress	1
elaborate	1
dispel	1
twist	1
contort	1
departure	1
carve	1
construe	1
gauge	1
figure	1
shriek	1
whirl	1
trail	1
fidget	1
divergence	1
contrive	1
“would	1
