I_ACTION
Evento_lema	Frecuencia
look	90
call	71
ask	62
pray	55
try	42
declare	29
promise	28
speak	24
accept	23
approach	21
wonder	21
touch	18
fail	17
mean	15
help	15
face	14
seek	13
doubt	13
tear	11
explain	10
design	10
allow	10
delay	8
choose	8
serve	7
press	7
offer	7
point	7
order	7
speculate	7
name	7
deny	6
state	6
effort	6
send	6
appeal	5
propose	5
suggest	5
record	5
prevent	5
intend	5
attribute	5
attempt	4
show	4
demand	4
plead	4
warn	4
establish	4
extend	3
permit	3
clear	3
note	3
agree	3
catch	3
threaten	3
burn	3
avoid	3
accuse	2
decide	2
invite	2
assume	2
determine	2
claim	2
guard	2
estimate	2
urge	2
assure	2
looking	1
beat	1
approve	1
pursue	1
pledge	1
convince	1
run	1
listen	1
blame	1
conclude	1
distort	1
oppose	1
set	1
develop	1
rule	1
overcome	1
pronounce	1
force	1
describe	1
assist	1
direct	1
regain	1
bar	1
applaud	1
mount	1
block	1
