I_STATE
Evento_lema	Frecuencia
think	193
seem	87
want	70
know	61
appear	61
like	42
believe	39
hope	25
become	22
view	20
expect	17
fear	16
please	15
suppose	14
stand	12
need	12
concern	12
consider	9
prepare	8
allow	7
approach	6
help	6
mean	6
'e	5
suspect	5
estimate	5
listen	5
worry	4
wonder	4
owe	4
understand	4
knaw	4
fail	4
find	4
regret	3
surprise	3
achieve	3
favore	3
aware	3
shock	2
meet	2
careful	2
require	2
seed	2
commit	2
stands	1
yield	1
face	1
turn	1
favor	1
suggest	1
anticipate	1
thot	1
presume	1
obtain	1
rely	1
ax	1
wait	1
fret	1
b'lieve	1
label	1
control	1
aim	1
'tall	1
stay	1
plan	1
