OCCURRENCE
Evento_lema	Frecuencia
come	382
go	291
make	227
do	206
find	199
take	198
get	158
bring	140
speak	125
knaw	123
turn	115
stand	113
look	109
know	104
grow	104
put	103
rise	98
paint	97
feel	97
love	93
return	88
give	83
walk	83
sit	77
answer	76
fall	76
lay	74
let	74
hold	72
left	67
set	65
talk	65
pass	62
break	56
work	54
change	52
hide	51
die	51
read	50
fill	48
meet	48
run	47
save	47
listen	47
wait	47
reach	46
send	44
forget	44
eat	43
thank	42
shake	40
leave	39
laugh	39
live	39
draw	39
remember	39
write	39
lose	37
mind	37
depart	36
watch	35
mark	35
visit	34
s'pose	34
wish	34
lie	33
show	33
reckon	33
learn	33
lead	32
teach	32
follow	31
sweep	31
move	31
cry	30
forgive	29
kiss	28
strike	28
vanish	28
explain	28
hang	27
smile	27
catch	27
occupy	26
carry	25
born	25
kill	25
sleep	25
bide	25
seed	25
trust	25
fight	24
suffer	23
hasten	23
cut	22
understand	22
judge	22
raise	22
bid	22
burn	22
thot	22
wear	21
drag	21
brighten	21
stretch	20
spread	20
roll	20
drive	20
'e	20
reflect	20
happen	20
win	19
arrive	19
drink	19
shut	19
call	19
guess	19
shine	18
drop	18
drown	18
spend	17
join	17
pick	17
burst	16
dwell	16
count	16
build	16
used	16
realize	16
weep	16
dunnaw	16
fling	16
gaw	16
soften	15
light	15
bear	15
care	15
breed	15
frighten	15
stamp	15
fear	15
mention	15
cause	15
increase	15
close	15
fly	15
sigh	15
'fore	15
play	14
dance	14
enjoy	14
possess	14
dare	14
imagine	14
hurt	14
sound	14
ruin	13
share	13
waste	13
refuse	13
round	13
creep	13
gaze	13
tremble	13
fetch	13
grip	13
stick	13
cross	13
receive	13
utter	13
twinkle	13
glimmer	12
splash	12
address	12
bound	12
wash	12
prove	12
use	12
marry	12
wind	12
blow	12
proceed	12
damn	12
discover	12
graw	12
place	12
tie	12
leap	12
dry	11
roar	11
suck	11
thrust	11
fret	11
hesitate	11
will	11
destroy	11
gather	11
wake	11
tear	11
cover	10
flash	10
cast	10
hurry	10
echo	10
rest	10
fix	10
sail	10
bin	10
separate	10
eye	10
tramp	10
larn	10
climb	10
bury	10
babble	10
throw	10
mean	10
argue	10
belong	10
wander	10
beat	10
quicken	10
action	10
convince	10
battle	9
represent	9
produce	9
scatter	9
admit	9
frame	9
regard	9
act	9
putt	9
bore	9
lift	9
tumble	9
grasp	9
preach	9
thunder	9
deem	9
whisper	9
sing	9
pour	9
march	9
comfort	9
settle	9
soothe	9
blush	9
pay	9
swear	9
face	9
miss	9
present	9
fade	9
bless	9
arise	9
determine	9
picture	9
stay	9
toss	9
sink	9
struggle	8
fasten	8
greet	8
nod	8
sank	8
observe	8
blaze	8
departure	8
conceive	8
pull	8
sell	8
murmur	8
decide	8
sang	8
thraw	8
layer	8
pluck	8
fed	8
forbid	8
wan	8
form	8
los	8
best	8
search	8
hate	7
whine	7
attract	7
behold	7
desire	7
scan	7
hand	7
notice	7
speech	7
rub	7
token	7
await	7
confess	7
groan	7
heart	7
recollect	7
conviction	7
study	7
knock	7
long	7
slip	7
foretell	7
convey	7
float	7
accompany	7
escape	7
b'lieve	7
become	7
rob	7
suppose	7
whistle	7
dream	7
twist	7
smoke	7
ax	7
tawld	7
dim	7
death	7
shaw	7
cling	7
blast	7
support	7
strangle	7
slope	6
dot	6
open	6
swim	6
sacrifice	6
hit	6
amuse	6
matter	6
ripen	6
weigh	6
head	6
grumble	6
remove	6
rattle	6
touch	6
pursue	6
spare	6
escap	6
chime	6
praise	6
scream	6
alter	6
lack	6
lick	6
view	6
bend	6
shoot	6
satisfy	6
smell	6
warm	6
exist	6
stricken	6
shiver	6
inquire	6
brace	6
stare	6
wrapped	6
fire	6
prattle	6
'bout	6
buy	6
breathe	6
poke	6
labore	6
deal	6
grant	6
peep	6
tragedy	6
blot	6
extend	6
bed	6
mingle	6
waken	6
chaange	6
obey	6
punish	6
communicate	6
bleed	6
'pear	6
cluster	6
disappear	6
contain	6
chance	6
sneer	5
weary	5
illustrate	5
develop	5
resent	5
dig	5
blame	5
decision	5
stroll	5
hammer	5
rang	5
perish	5
flush	5
rejoice	5
exhibit	5
flame	5
occasion	5
awake	5
glory	5
lock	5
wither	5
worship	5
display	5
shatter	5
startle	5
suit	5
clad	5
welcome	5
hint	5
abide	5
store	5
lend	5
grate	5
examine	5
pack	5
treat	5
pose	5
cease	5
mistake	5
ache	5
cloud	5
endeavore	5
silence	5
perform	5
discuss	5
beg	5
steal	5
calculate	5
flicker	5
widen	5
squeak	5
abbun	5
reveal	5
solve	5
surprise	5
slow	5
sped	5
steady	5
wet	5
flee	5
modify	5
huddle	5
empty	5
withdraw	5
stud	5
print	5
plod	5
whirl	5
discovery	5
associate	5
direct	5
marvele	5
lighten	5
mount	5
heave	5
beget	5
rouse	5
embrace	5
wane	5
meeting	4
ascend	4
scent	4
fascinate	4
hop	4
excuse	4
inspire	4
actuate	4
interrupt	4
tinkle	4
brush	4
dawdle	4
revert	4
glorify	4
owe	4
pause	4
spoil	4
load	4
engage	4
bawl	4
kep	4
admire	4
number	4
achieve	4
conduct	4
affect	4
occur	4
flog	4
respect	4
please	4
blink	4
pat	4
sting	4
puff	4
trudge	4
lessen	4
snuffle	4
perch	4
sprout	4
improve	4
criticise	4
race	4
chill	4
moan	4
drift	4
deceive	4
appear	4
doubt	4
master	4
last	4
harp	4
conversation	4
paid	4
'maze	4
plant	4
contrast	4
demand	4
enable	4
tame	4
color	4
trip	4
interview	4
ascertain	4
tread	4
proclaim	4
flutter	4
bewilder	4
dwindle	4
prevail	4
wheer	4
discussion	4
force	4
recognize	4
tempt	4
fashion	4
step	4
darken	4
blossom	4
sprinkle	4
loom	4
bob	4
astound	4
mass	4
wisht	4
tap	4
attack	4
blight	4
fit	4
employ	4
travele	4
stir	4
pipe	4
fringe	4
shriek	4
question	4
push	4
clinch	4
reign	4
curse	4
rescue	4
hiss	4
till	4
faace	4
crowd	4
impress	4
trouble	4
choke	4
practice	4
render	4
ride	4
accomplish	4
swell	4
mouth	4
drownd	4
dispatch	4
lap	3
denote	3
straggle	3
wheel	3
scour	3
handle	3
center	3
annoy	3
crumble	3
saw	3
gnaw	3
mourn	3
swing	3
crush	3
disturb	3
liken	3
except	3
patch	3
schule	3
grizzle	3
faint	3
colore	3
exchange	3
incident	3
yawn	3
lace	3
busy	3
clean	3
smear	3
deliver	3
'long	3
dislike	3
frown	3
glance	3
shrank	3
crook	3
gratify	3
knawn	3
delight	3
house	3
stain	3
drain	3
rot	3
surmount	3
event	3
repay	3
congratulate	3
swallow	3
freeze	3
criticism	3
chronicle	3
attend	3
anchor	3
kick	3
pile	3
obscure	3
add	3
kneel	3
experience	3
smother	3
stone	3
dip	3
date	3
arter	3
puzzle	3
comprehend	3
dismiss	3
feesh	3
chain	3
fold	3
repeat	3
contemplate	3
comment	3
foresee	3
envy	3
shrink	3
mix	3
appreciate	3
suspect	3
express	3
offer	3
wipe	3
muse	3
pretend	3
justify	3
shrivele	3
name	3
'low	3
chatter	3
divine	3
melt	3
scorch	3
create	3
dress	3
exclaim	3
shadow	3
launch	3
cool	3
blacken	3
boil	3
yell	3
herald	3
axe	3
faither	3
heed	3
plunge	3
profess	3
gauge	3
resemble	3
sadden	3
brood	3
snatch	3
crumple	3
conceal	3
calm	3
result	3
flood	3
blind	3
range	3
define	3
arrival	3
shed	3
writ	3
resolve	3
purify	3
reduce	3
slay	3
gem	3
sweat	3
revive	3
fish	3
gain	3
translate	3
arrest	3
peer	3
prosper	3
retire	3
prompt	3
maintain	3
daze	3
rear	3
flourish	3
strain	3
hark	3
recur	3
purchase	3
wink	2
decrease	2
foot	2
tend	2
bud	2
behave	2
wrought	2
belie	2
modele	2
bathe	2
moor	2
derive	2
bellow	2
sling	2
wriggle	2
bet	2
bestow	2
confide	2
plow	2
snap	2
shave	2
magnify	2
challenge	2
