I_ACTION
Evento_lema	Frecuencia
ask	119
look	38
speak	25
call	23
touch	21
help	17
press	16
promise	16
persuade	15
fail	14
doubt	14
wonder	13
allow	11
try	11
warn	10
assure	10
delay	10
offer	9
choose	9
attempt	9
pray	9
serve	8
seek	8
point	8
order	7
mean	7
plead	7
accept	7
request	7
tear	7
face	6
avoid	6
claim	6
urge	5
approach	4
compel	4
propose	4
pledge	4
guard	4
block	4
explain	4
send	3
suggest	3
agree	3
insist	3
effort	3
hail	3
speculate	2
establish	2
acknowledge	2
note	2
prevent	2
conclude	2
manage	2
support	2
run	2
convince	2
avert	2
decide	2
demand	2
bar	2
set	2
attribute	2
intend	2
burning	1
cope	1
determine	1
force	1
regain	1
burn	1
leak	1
forbid	1
declare	1
overcome	1
approve	1
complain	1
mislead	1
hire	1
mount	1
blame	1
recommend	1
brim	1
permit	1
push	1
appeal	1
elect	1
pronounce	1
