I_ACTION
Evento_lema	Frecuencia
ask	69
look	62
call	34
try	34
help	23
wonder	10
send	8
mean	8
agree	7
clear	7
decide	7
allow	6
accept	6
seek	6
insist	5
explore	5
approach	5
speak	5
point	5
offer	5
catch	5
face	4
urge	4
promise	4
order	4
choose	4
decline	4
permit	4
intend	4
plead	4
assure	4
invite	4
tear	3
fail	3
beat	3
warn	3
explain	3
appeal	3
press	3
threaten	2
overcome	2
bar	2
persuade	2
touch	2
prevent	2
approve	2
name	2
design	2
suggest	2
estimate	2
record	2
organize	2
cope	2
called	1
guard	1
burn	1
aim	1
assist	1
compel	1
hail	1
set	1
propose	1
influence	1
recommend	1
conclude	1
avert	1
oppose	1
demand	1
resist	1
allege	1
hire	1
convince	1
state	1
forbid	1
deny	1
pledge	1
assume	1
establish	1
indicate	1
acknowledge	1
direct	1
delay	1
avoid	1
complain	1
declare	1
pray	1
