OCCURRENCE
Evento_lema	Frecuencia
go	343
get	220
come	216
do	148
take	148
make	121
find	106
cry	102
don’t	89
look	77
give	75
stand	73
wish	66
put	58
speak	56
hold	54
remember	51
turn	49
whisper	49
talk	47
know	46
sit	44
bring	41
grow	39
feel	37
show	36
set	35
happen	34
understand	34
can’t	33
let	33
draw	32
pass	29
buy	29
round	28
used	28
run	28
lead	28
play	27
left	26
wasn’t	25
wear	24
notice	22
fall	22
eat	21
break	20
leave	20
lay	20
read	20
won’t	19
isn’t	19
work	19
follow	19
meet	18
pull	18
lose	18
explain	18
carry	18
stay	18
didn’t	18
rise	18
hang	18
forget	17
wait	17
shine	17
shout	17
mean	16
sell	16
shut	16
answer	16
hurt	16
dress	16
dream	16
rush	15
catch	15
change	15
watch	15
use	15
live	14
tremble	14
shake	14
sleep	14
fight	14
spend	13
return	13
haven’t	13
hide	13
rub	13
send	13
laugh	13
teach	13
frighten	13
sing	13
bother	12
walk	12
wouldn’t	12
move	11
bear	11
care	11
doesn’t	11
call	11
wake	11
throw	11
pick	11
stick	11
smile	11
thank	11
die	10
cross	10
creep	10
interrupt	10
settle	10
repeat	10
join	10
kill	10
cut	10
sweep	10
write	9
wash	9
paint	9
pay	9
beg	9
mind	9
jump	9
sound	9
bit	9
disappear	9
bound	9
fill	9
bow	9
enjoy	9
strike	9
drive	8
pretend	8
sniff	8
rouse	8
lean	8
listen	8
build	8
be	8
push	8
love	8
expel	8
cover	7
grant	7
slip	7
kick	7
vote	7
bite	7
shoot	7
drop	7
stare	7
lift	7
drink	7
stretch	7
blow	7
somethe	7
open	7
shudder	7
glow	7
form	7
raise	7
hug	7
upset	6
“but	6
“don’t	6
drag	6
fetch	6
please	6
layer	6
nod	6
fix	6
remind	6
hesitate	6
crouch	6
reach	6
imagine	6
crowd	6
hasten	6
flee	6
breathe	6
remark	6
lend	6
embroider	6
steal	6
jolly	6
fly	5
curl	5
tie	5
rattle	5
leap	5
save	5
sigh	5
suppose	5
knock	5
learn	5
miss	5
destroy	5
utter	5
roof	5
sew	5
dance	5
sway	5
bless	5
fit	5
shouldn’t	5
decide	5
putt	5
visit	5
light	5
sprang	5
close	5
edge	5
finger	5
ride	5
land	4
consent	4
sob	4
feed	4
delight	4
kneel	4
hunch	4
count	4
stoop	4
scratch	4
slide	4
shrug	4
tear	4
rejoin	4
hate	4
tire	4
hadn’t	4
trust	4
inlay	4
swallow	4
flow	4
retort	4
sign	4
murmur	4
bore	4
dare	4
step	4
blink	4
brave	4
