I_ACTION
Evento_lema	Frecuencia
look	60
try	54
call	46
wonder	27
seek	19
ask	17
touch	16
attempt	14
promise	9
assure	9
allow	9
effort	8
help	8
press	7
offer	7
choose	7
suggest	7
burn	6
avoid	6
tear	5
propose	5
speak	5
pronounce	5
insist	5
show	4
mean	4
delay	4
send	4
conclude	4
approach	4
urge	4
recommend	3
name	3
intend	3
warn	3
point	3
fail	3
serve	3
mount	2
declare	2
agree	2
speculate	2
oppose	2
arrange	2
appeal	2
decline	2
order	2
hail	2
pray	2
allege	2
resist	2
invite	2
explore	2
threaten	2
promised	1
catch	1
describe	1
guard	1
bar	1
aim	1
announce	1
beat	1
complain	1
accuse	1
blame	1
note	1
assist	1
manage	1
overcome	1
analyze	1
assume	1
deny	1
claim	1
block	1
