OCCURRENCE
Evento_lema	Frecuencia
come	152
go	134
make	108
find	87
pass	75
know	73
look	72
write	71
grow	65
take	61
feel	57
get	56
do	56
fall	51
give	50
rise	49
read	47
shine	45
remember	42
walk	41
stand	41
sit	41
draw	40
turn	40
lay	38
put	37
return	33
imagine	33
show	29
set	28
left	24
drive	24
laugh	24
shut	23
speak	23
bring	23
cry	23
wish	23
break	22
lead	21
smile	21
let	21
run	21
listen	21
lose	20
stir	20
shake	20
glow	20
strike	19
talk	19
watch	18
change	18
work	18
used	18
beat	18
hold	18
swell	17
meet	17
sound	17
wander	17
gaze	17
understand	17
forget	17
suffer	17
fill	17
dream	16
drink	16
lit	16
live	16
send	15
hang	15
burn	15
close	15
blow	14
mingle	14
vanish	14
wait	14
die	14
resolve	13
love	13
pour	13
gather	12
advance	12
shudder	12
blast	12
throw	12
spend	12
produce	12
search	12
catch	12
stray	11
climb	11
layer	11
play	11
steal	11
sang	11
enjoy	11
linger	11
flee	11
trouble	11
leave	11
creep	11
call	11
discover	10
move	10
gain	10
hover	10
glance	10
awake	10
stretch	10
fade	10
eat	10
hide	10
long	10
lie	10
bear	10
succeed	10
cover	10
dwell	10
cross	9
lean	9
increase	9
stumble	9
quiver	9
tremble	9
sleep	9
stay	9
care	9
whisper	9
light	9
bend	9
cut	9
carry	9
rang	9
astonish	9
drop	9
recollect	8
open	8
glitter	8
wake	8
visit	8
writhe	8
sweep	8
toss	8
grin	8
force	8
float	8
refuse	8
flow	8
recognize	8
follow	8
desire	8
conceive	8
round	8
glimmer	8
stream	7
penetrate	7
swim	7
lift	7
grind	7
notice	7
mark	7
sank	7
stare	7
murmur	7
dread	7
experience	7
taste	7
thank	7
sink	7
win	7
weep	7
peer	7
fancy	7
brighten	7
rouse	7
mistake	7
smoke	7
appear	7
struggle	7
swing	7
overwhelm	7
dip	7
sway	7
mold	6
hurry	6
dance	6
annoy	6
summit	6
stain	6
study	6
buy	6
observe	6
wrapped	6
surge	6
fight	6
growth	6
tingle	6
become	6
beset	6
kiss	6
rush	6
mutter	6
miss	6
mention	6
dare	6
battle	6
shape	6
escape	6
confess	6
interrupt	6
reach	6
amuse	6
build	6
swarm	6
lock	6
mean	6
adore	6
pause	6
flush	6
cherish	6
sigh	6
summons	6
perform	6
bound	6
place	6
echo	6
darken	6
rain	5
wear	5
cease	5
thrill	5
descend	5
smite	5
answer	5
prefer	5
meditate	5
desert	5
blaze	5
rest	5
smelt	5
imitate	5
fix	5
possess	5
dash	5
kick	5
dress	5
kill	5
receive	5
roll	5
inquire	5
mind	5
labore	5
accomplish	5
strive	5
shiver	5
comfort	5
soothe	5
praise	5
pace	5
pity	5
delight	5
caress	5
los	5
blotch	5
engage	5
fashion	5
cause	5
raise	5
realize	5
conceal	5
cast	5
leap	5
jangle	5
charm	5
renew	5
gurgle	4
plunge	4
amaze	4
blacken	4
transmute	4
disappear	4
learn	4
chirp	4
smell	4
palpitate	4
drag	4
reduce	4
cheer	4
stroll	4
saunter	4
wind	4
burst	4
pant	4
touch	4
hedge	4
mount	4
twist	4
spoil	4
bow	4
swallow	4
oblige	4
grieve	4
shrank	4
pay	4
shoot	4
frighten	4
form	4
choke	4
arrive	4
compare	4
operation	4
borrow	4
rewrite	4
sell	4
escap	4
occur	4
waste	4
scribble	4
witness	4
contrast	4
fawn	4
oppress	4
quicken	4
drip	4
bewilder	4
prick	4
hiss	4
speech	4
alter	4
swear	4
whirl	4
judge	4
fly	4
satisfy	4
discuss	4
slink	4
use	4
issue	4
beckon	4
replace	4
pursue	4
rejoice	4
repeat	4
pull	4
pretend	4
sing	4
vex	4
preserve	4
distinguish	4
surround	4
remind	4
endeavore	4
devote	4
death	4
confront	4
engulf	4
wail	4
determine	4
molder	4
exhaust	3
flicker	3
rattle	3
broaden	3
invest	3
grope	3
rive	3
encourage	3
act	3
earn	3
discovery	3
wreathe	3
please	3
reproach	3
steam	3
moon	3
trickle	3
crawl	3
wither	3
bubble	3
spread	3
join	3
fascinate	3
hesitate	3
rustle	3
add	3
fasten	3
gleam	3
represent	3
remark	3
reverberate	3
shelter	3
curtsy	3
beg	3
hand	3
welcome	3
afford	3
entertain	3
settle	3
happen	3
fuse	3
profess	3
appall	3
translate	3
knock	3
express	3
relieve	3
head	3
furnish	3
handle	3
weigh	3
hurt	3
recall	3
argue	3
employ	3
kneel	3
trail	3
treasure	3
inhabit	3
push	3
dismiss	3
worship	3
embrace	3
share	3
construct	3
fondle	3
sneer	3
muse	3
spare	3
marry	3
execute	3
nail	3
dedicate	3
contrive	3
intoxicate	3
preach	3
wag	3
cower	3
tie	3
offend	3
bore	3
transform	3
endure	3
scent	3
enrapture	3
purge	3
exist	3
create	3
deepen	3
free	3
arrange	3
plash	3
flutter	3
ring	3
remove	3
entrance	3
tempt	3
crown	3
colore	3
mirror	3
allure	3
disfigure	3
absorb	3
destroy	3
doom	3
strip	3
grey	3
fling	3
illuminate	3
await	3
persevere	3
torture	3
jerk	3
celebrate	3
tread	3
circle	3
guard	3
patter	3
filter	3
diverge	2
gush	2
journey	2
patch	2
bark	2
brush	2
lighten	2
ting	2
dig	2
butter	2
charge	2
brood	2
owe	2
tolerate	2
impart	2
crack	2
jump	2
achieve	2
acquire	2
jog	2
loiter	2
shimmer	2
slide	2
wet	2
grasp	2
thrust	2
serve	2
untread	2
unvisite	2
sting	2
heave	2
huddle	2
crouch	2
seize	2
manage	2
trespass	2
command	2
deplore	2
convey	2
bag	2
garden	2
concentrate	2
extend	2
awaken	2
confuse	2
disturb	2
plant	2
graft	2
recite	2
dive	2
print	2
alarm	2
fear	2
deprecate	2
nurture	2
chuckle	2
roar	2
toil	2
yawn	2
tragedy	2
grumble	2
incline	2
hit	2
plot	2
attract	2
disappoint	2
advise	2
dispense	2
address	2
vindicate	2
jar	2
wound	2
fringe	2
clothe	2
practice	2
march	2
deceive	2
tear	2
slip	2
gasp	2
assail	2
offer	2
sob	2
expose	2
enter	2
matter	2
impress	2
publish	2
ease	2
tire	2
signify	2
shriek	2
poison	2
cheat	2
chuck	2
weary	2
boast	2
behave	2
convince	2
putt	2
shrill	2
despise	2
exult	2
exhibit	2
symbolize	2
copy	2
recopy	2
deck	2
lick	2
strain	2
invent	2
improve	2
enclose	2
vary	2
connect	2
rage	2
haunt	2
view	2
wash	2
totter	2
