I_ACTION
Evento_lema	Frecuencia
ask	181
look	94
try	61
call	60
mean	43
help	39
suggest	38
agree	37
prevent	37
wonder	29
explain	28
accept	20
speak	18
allow	17
clear	17
attempt	16
offer	15
assure	15
fail	14
persuade	11
demand	10
manage	10
order	10
point	9
name	9
deal	8
choose	8
intend	8
approach	7
face	7
send	7
conclude	6
approve	6
declare	6
avoid	6
beat	6
invite	5
press	5
effort	5
promise	5
describe	4
doubt	4
touch	4
decide	4
request	4
appeal	4
tear	3
decline	3
show	3
deny	3
permit	3
seek	3
propose	3
overcome	3
compel	3
catch	3
block	3
establish	2
warn	2
plead	2
burn	2
arrange	2
speculate	2
recommend	2
determine	2
convince	2
threaten	2
require	2
delay	2
state	2
pledge	2
invited	1
accuse	1
serve	1
pray	1
ignore	1
avert	1
explore	1
stem	1
indicate	1
question	1
verify	1
claim	1
aim	1
oppose	1
record	1
assist	1
announce	1
urge	1
blame	1
pursue	1
support	1
proposal	1
reason	1
postpone	1
bar	1
