I_STATE
Evento_lema	Frecuencia
think	454
know	194
want	135
seem	100
expect	70
like	67
believe	61
consider	35
please	31
suppose	28
become	22
hope	18
appear	15
surprise	14
wonder	14
fail	14
need	13
regret	12
fear	12
help	10
concern	9
understand	9
able	8
allow	7
plan	7
shock	6
careful	5
stand	5
require	4
aware	4
prepare	4
suspect	4
achieve	3
suggest	3
anxiou	3
commit	3
deprive	2
face	2
obtain	2
owe	2
sufficient	2
thought	1
difficult	1
aim	1
love	1
afraid	1
yield	1
prefer	1
prevent	1
find	1
stay	1
worry	1
meet	1
oppose	1
dependent	1
mean	1
get	1
ease	1
