OCCURRENCE
Evento_lema	Frecuencia
go	552
come	476
do	396
get	261
take	251
make	218
find	188
look	172
give	167
answer	149
know	146
put	108
feel	105
talk	91
set	91
sit	85
speak	84
bring	80
grow	75
turn	74
stand	71
left	65
wait	60
carry	58
write	58
walk	56
sell	55
remember	53
forget	52
pay	50
leave	48
meet	48
live	46
show	46
wish	46
paid	46
understand	45
work	44
return	43
read	42
move	41
let	41
lose	41
laugh	41
rise	40
send	40
used	38
lay	38
follow	35
marry	35
fall	34
watch	33
care	33
reach	33
buy	32
change	31
receive	31
recognise	31
imagine	30
listen	30
matter	29
spend	29
draw	29
wear	28
shut	28
arrange	27
mind	27
stay	27
offer	26
deal	26
pass	25
catch	25
admire	25
notice	24
oblige	24
refuse	23
use	23
realise	23
run	23
love	23
happen	23
observe	22
break	22
fetch	22
inquire	22
enjoy	22
lead	21
decide	21
hold	21
smile	20
play	19
eat	19
occur	19
glance	19
thank	19
afford	18
drive	18
pick	18
shake	18
satisfy	18
fasten	18
hurt	18
admit	18
search	18
regard	17
mean	17
repeat	17
nod	17
stare	17
strike	17
prove	17
explain	16
determine	16
steal	16
shine	16
drop	16
remark	15
exclaim	15
push	15
miss	15
arrive	15
prefer	15
cut	14
cry	14
call	14
guess	14
puzzle	14
remind	14
pull	14
join	14
learn	14
struggle	14
clear	14
slip	13
raise	13
pack	13
dismiss	13
convince	13
pretend	13
wash	13
exhibit	13
lift	13
hurry	13
deceive	13
share	12
become	12
trouble	12
treat	12
protest	12
close	12
overlook	12
annoy	12
succeed	12
pause	12
lie	12
suffer	12
round	12
dress	12
retire	12
engage	11
rouse	11
please	11
teach	11
connect	10
fill	10
light	10
save	10
place	10
smoke	10
stretch	10
fancy	10
act	10
visit	10
present	10
appear	10
hide	10
bloom	10
settle	10
discover	10
attend	10
clean	10
occupy	9
examine	9
waste	9
ride	9
throw	9
trust	9
mistake	9
hang	9
amuse	9
part	9
putt	9
spoil	9
mention	9
gather	9
stir	9
address	9
behave	9
suit	9
bore	8
interrupt	8
alter	8
open	8
tie	8
borrow	8
venture	8
sweep	8
provide	8
exist	8
object	8
deserve	8
layer	8
cover	8
bound	8
bear	8
wander	8
resent	8
grasp	8
creep	8
lock	8
discuss	7
reduce	7
manage	7
stick	7
drink	7
win	7
rub	7
spare	7
collect	7
dictate	7
contrive	7
appreciate	7
dream	7
introduce	7
sound	7
belong	7
hesitate	7
rain	7
possess	7
argue	7
climb	7
suppose	7
name	7
fulfil	6
fit	6
confess	6
owe	6
depend	6
seize	6
leane	6
shout	6
wave	6
born	6
sing	6
delight	6
beam	6
gratify	6
last	6
face	6
somethe	6
fight	6
fold	6
cease	6
interfere	6
doubt	6
blow	6
bother	6
dry	6
compromise	6
recall	6
die	6
dine	5
count	5
excuse	5
breed	5
express	5
earn	5
stoop	5
trim	5
insinuate	5
cast	5
incline	5
accompany	5
bend	5
bewilder	5
los	5
reckon	5
hand	5
tear	5
cheer	5
imitate	5
offend	5
tire	5
cross	5
remove	5
pour	5
master	5
sleep	5
increase	5
represent	5
weave	5
judge	5
separate	5
justify	5
attack	5
ignore	5
dance	5
fling	5
build	5
persist	5
apologise	5
upset	5
figure	5
bed	5
decision	5
flee	5
have	5
thrust	5
devote	5
proposal	5
knock	5
arouse	5
cling	5
weep	5
hate	5
abuse	5
retort	5
travel	5
crouch	5
purchase	5
lunch	4
create	4
discussion	4
secure	4
touch	4
improve	4
congratulate	4
defend	4
acquiesce	4
conversation	4
interview	4
overwhelm	4
lend	4
contradict	4
cancel	4
smooth	4
screw	4
appeal	4
interest	4
mark	4
brush	4
display	4
scramble	4
fashion	4
kiss	4
sip	4
wrapped	4
disturb	4
sort	4
contain	4
produce	4
blush	4
re-cover	4
reassure	4
conceal	4
impress	4
warm	4
honour	4
scratch	4
forgive	4
betray	4
drawl	4
surprise	4
misunderstand	4
arise	4
achieve	4
lain	4
pity	4
gain	4
fulfill	4
shoot	4
comfort	4
departure	4
refer	4
fair	4
flicker	4
select	4
weigh	4
rang	4
demand	4
support	4
induce	4
sign	4
comment	4
cheat	4
mend	4
boil	4
beget	4
review	3
sank	3
kneel	3
groan	3
resign	3
desire	3
spread	3
pace	3
retrench	3
remedy	3
protect	3
escap	3
repay	3
request	3
discharge	3
strain	3
pinch	3
shift	3
omit	3
invite	3
worship	3
inform	3
guide	3
question	3
prepare	3
cook	3
crochet	3
paint	3
superintend	3
profit	3
fidget	3
swallow	3
dispose	3
wind	3
rebel	3
near	3
rob	3
kill	3
intrude	3
event	3
maintain	3
fare	3
astonish	3
obey	3
mutter	3
dwell	3
wipe	3
recover	3
bury	3
bow	3
neglect	3
welcome	3
imply	3
absorb	3
vanish	3
distinguish	3
endure	3
journey	3
drag	3
caress	3
grudge	3
interpret	3
