I_ACTION
Evento_lema	Frecuencia
ask	100
look	55
call	34
try	20
point	15
speak	12
explain	11
help	10
promise	9
deny	8
attempt	7
elect	7
wonder	7
suggest	7
prevent	7
mean	6
permit	5
accept	5
urge	5
assure	4
approach	4
accuse	4
agree	4
show	4
seek	4
effort	4
order	4
touch	4
offer	4
tear	4
insist	3
block	3
face	3
choose	3
complain	3
name	2
send	2
allow	2
conclude	2
demand	2
assume	2
doubt	2
propose	2
decide	2
concede	2
appeal	2
predict	2
catch	2
guard	2
regain	2
called	1
describe	1
recommend	1
fail	1
approve	1
warn	1
threaten	1
state	1
note	1
forbid	1
listen	1
manage	1
clear	1
hire	1
establish	1
denounce	1
mount	1
burn	1
assist	1
avoid	1
aim	1
compel	1
oppose	1
influence	1
resist	1
persuade	1
hail	1
pursue	1
announce	1
run	1
beat	1
declare	1
design	1
