OCCURRENCE
Evento_lema	Frecuencia
go	150
come	144
make	103
take	89
look	76
stand	73
cry	72
do	70
get	67
find	64
turn	61
break	60
fall	49
give	49
sit	48
feel	45
talk	44
put	43
strike	42
rise	40
speak	40
know	36
run	35
remember	34
walk	32
stare	31
fight	31
understand	30
move	29
answer	28
grow	27
smile	27
left	26
don’t	25
throw	24
mean	24
pull	24
pass	22
meet	21
let	21
wear	21
destroy	20
sprang	20
carry	19
swear	19
catch	19
dress	17
leave	17
shake	16
can’t	16
fling	16
listen	15
laugh	15
follow	15
call	15
lead	15
bring	14
draw	14
play	14
round	14
die	14
leap	14
wait	13
lift	13
repeat	13
kill	13
lean	13
hold	13
wish	12
swing	12
forget	11
fancy	11
pause	11
eat	11
work	10
reach	10
read	10
stroll	10
realise	10
drink	10
cut	10
lit	10
fill	10
pursue	10
set	10
drive	10
happen	10
trust	9
forgive	9
hate	9
watch	9
act	9
tear	9
lay	8
regard	8
express	8
return	8
receive	8
fix	8
shine	8
jump	8
nod	8
roar	8
drop	8
join	8
arrest	8
show	8
discover	7
mind	7
knock	7
blow	7
send	7
change	7
speech	7
scream	7
lose	7
notice	7
force	7
cross	7
address	7
gather	7
fly	7
explain	7
disappear	7
step	6
layer	6
abolish	6
inquire	6
wake	6
imagine	6
open	6
appear	6
hide	6
stick	6
stride	6
pick	6
shout	6
expand	6
care	6
be	6
startle	6
sweep	6
attack	6
didn’t	6
hunt	6
march	6
used	6
plunge	6
capture	6
gaze	6
descend	6
ride	6
seize	6
protest	5
miss	5
pour	5
defend	5
bend	5
wipe	5
rattle	5
thrust	5
sway	5
fire	5
learn	5
love	5
pretend	5
blast	5
crawl	5
face	5
buy	5
waste	5
clad	5
decision	5
stir	5
become	5
remind	5
shudder	5
rush	5
burst	5
dance	5
insult	5
isn’t	5
cover	4
mark	4
introduce	4
revolt	4
blink	4
use	4
rang	4
succeed	4
reveal	4
live	4
empty	4
smoke	4
shoot	4
swallow	4
present	4
object	4
snap	4
snatch	4
betray	4
escap	4
guess	4
reflect	4
consist	4
incline	4
close	4
stray	4
save	4
study	4
occur	4
sink	4
stamp	4
fade	4
whip	4
twist	4
darken	4
climb	4
somethe	4
flee	4
exclaim	4
advise	4
conversation	4
bow	4
splash	4
roll	4
advance	4
bark	4
hurt	4
creation	4
produce	3
fit	3
disappoint	3
brush	3
prefer	3
win	3
battle	3
beg	3
prove	3
dream	3
seat	3
waver	3
line	3
apologise	3
hang	3
assent	3
admire	3
elect	3
glare	3
spring	3
slip	3
second	3
convey	3
conceal	3
alter	3
rend	3
greet	3
perceive	3
reply	3
observe	3
pant	3
entrap	3
crown	3
combine	3
bite	3
wrapped	3
bound	3
detect	3
despise	3
create	3
write	3
mount	3
emerge	3
belong	3
contain	3
lie	3
carve	3
grasp	3
strive	3
settle	3
decide	3
escape	3
overlook	3
inure	3
preserve	3
discuss	3
lock	3
spin	3
vote	3
overhear	3
putt	3
imitate	3
freeze	3
denounce	3
whirl	3
bewilder	3
confess	3
drape	3
outline	3
ignore	3
damn	3
adopt	3
toss	3
proceed	3
drain	3
sank	3
tragedy	3
silence	3
explosion	3
signal	3
kick	3
smash	3
charge	3
desire	3
mistake	3
interrupt	3
govern	3
convert	3
trail	3
clatter	3
raise	3
vanish	3
race	3
curse	3
assume	2
glow	2
profess	2
pay	2
part	2
terrify	2
connect	2
delight	2
commemorate	2
discontent	2
hange	2
heed	2
mix	2
proclaim	2
irritate	2
consent	2
offer	2
decline	2
disagree	2
dine	2
taste	2
behave	2
perform	2
revolve	2
pack	2
light	2
upset	2
surround	2
amuse	2
nab	2
wave	2
preach	2
mention	2
confide	2
congratulate	2
ceremony	2
stuff	2
clasp	2
trample	2
howl	2
detach	2
bustle	2
mutter	2
pace	2
inspire	2
free	2
praise	2
disfigure	2
confuse	2
assemble	2
misunderstand	2
founder	2
difficulty	2
drown	2
cleave	2
earn	2
cease	2
appoint	2
sprung	2
stagger	2
obey	2
detest	2
kneel	2
attain	2
war	2
sigh	2
form	2
trace	2
respect	2
dislike	2
remove	2
punishment	2
punish	2
daze	2
“are	2
provide	2
journey	2
attract	2
increase	2
overhang	2
hurry	2
sober	2
flush	2
bore	2
possess	2
rip	2
debate	2
torment	2
tie	2
deliver	2
broaden	2
drawl	2
cling	2
embrace	2
throb	2
slay	2
grumble	2
astonish	2
sell	2
matter	2
joke	2
oblige	2
glance	2
boil	2
gape	2
load	2
suppose	2
involve	2
collect	2
dash	2
drip	2
erect	2
recall	2
sped	2
chase	2
shriek	2
beam	2
haven’t	2
remark	2
paint	2
stoop	2
“have	2
dot	2
sleep	2
expose	2
prevail	2
consult	2
excuse	2
disguise	2
steal	2
bounce	2
soothe	2
ascend	2
madden	2
grin	2
tap	2
split	2
fear	2
won’t	2
flash	2
conceive	2
arrange	2
choke	2
time	2
jolly	2
profit	2
arch	2
place	2
refuse	2
calculate	2
disable	2
salute	2
parry	2
transfigure	2
symbolise	2
sang	2
peel	2
equip	2
tug	2
objection	2
hand	2
frown	2
swell	2
overtake	2
bet	2
burn	2
haggle	2
paid	2
distance	2
suffice	2
spread	2
sprawl	2
exaggerate	2
saddle	2
pooh	2
travel	2
smooth	2
slow	2
peer	2
bury	2
plough	2
wade	2
hop	2
rent	2
relieve	2
quarrel	2
sound	2
gasp	2
toil	2
bear	2
bless	2
frighten	2
separate	2
suffer	2
build	1
shape	1
illuminate	1
emancipate	1
curve	1
tickle	1
reign	1
signalise	1
differ	1
poet	1
endure	1
