I_ACTION
Evento_lema	Frecuencia
look	69
ask	59
try	39
help	26
call	21
speak	21
mean	18
point	17
touch	13
avoid	13
propose	12
accept	12
promise	10
attempt	10
allow	9
offer	8
appeal	8
press	8
wonder	7
send	7
approach	7
face	6
suggest	6
invite	6
complain	6
name	5
manage	5
fail	5
claim	5
persuade	5
effort	4
assure	4
prevent	4
doubt	4
threaten	4
plead	4
declare	4
show	3
choose	3
urge	3
explain	3
order	3
burn	3
agree	3
insist	3
deny	3
design	2
warn	2
mount	2
estimate	2
pronounce	2
forbid	2
beat	2
pursue	2
clear	2
tear	2
run	2
guard	2
accuse	2
set	2
rule	1
intend	1
influence	1
promote	1
describe	1
deal	1
extend	1
oppose	1
recommend	1
regain	1
apply	1
overcome	1
serve	1
pray	1
acknowledge	1
delay	1
announce	1
approve	1
denounce	1
block	1
convince	1
permit	1
demand	1
force	1
assist	1
seek	1
