OCCURRENCE
Evento_lema	Frecuencia
make	166
come	146
go	139
do	136
take	109
give	102
look	89
turn	86
find	82
get	73
talk	66
know	63
stand	62
put	53
feel	52
left	42
throw	42
sit	41
marry	41
let	40
pass	40
bring	39
speak	38
break	37
meet	37
wish	35
rise	35
draw	35
move	34
cry	34
show	33
hold	32
smile	31
remember	31
laugh	30
return	30
walk	29
shake	27
fall	26
mean	25
send	25
suppose	25
round	23
run	23
lose	22
raise	22
set	21
lead	21
understand	21
play	20
pause	20
carry	20
kiss	20
grow	20
pay	19
watch	19
lay	19
wait	18
change	18
write	18
close	18
hang	17
observe	17
discuss	17
visit	17
engage	17
leave	17
strike	17
reach	17
stay	17
suffer	17
admit	16
live	16
listen	16
bend	16
bear	16
arrive	16
putt	15
perceive	15
care	15
repeat	15
teach	14
matter	14
follow	14
treat	14
used	14
refuse	14
behave	13
rouse	13
drop	13
die	13
catch	13
gather	13
happen	13
imagine	13
emerge	12
settle	12
cross	12
hesitate	11
paid	11
possess	11
glance	11
belong	11
flush	11
argue	11
become	11
drive	11
disturb	10
hide	10
greet	10
spend	10
inquire	10
produce	10
read	10
stare	10
forget	9
join	9
sweep	9
bore	9
dress	9
notice	9
disappear	9
receive	9
address	9
lean	9
save	9
realise	9
rush	9
hurry	9
breathe	9
love	9
conversation	9
lift	9
determine	8
amuse	8
bow	8
discover	8
answer	8
remind	8
shut	8
shine	8
manage	8
attack	8
resent	8
sprang	8
brood	8
protect	7
reply	7
trouble	7
protest	7
introduce	7
force	7
pour	7
sparkle	7
ride	7
frown	7
use	7
contain	7
betray	7
employ	7
buy	7
sank	7
deal	7
re-cover	7
withdraw	7
search	7
interrupt	7
free	7
fling	7
forgive	7
cling	7
cease	7
bound	6
rest	6
excite	6
inherit	6
death	6
push	6
startle	6
nod	6
desert	6
wander	6
hand	6
chat	6
travel	6
wear	6
descend	6
beg	6
divorce	6
accustom	6
spoil	6
devote	6
wave	6
layer	6
represent	6
act	6
pace	6
steal	6
appear	6
fix	6
lie	6
weep	6
stick	6
soothe	6
satisfy	6
stoop	6
implore	6
occur	6
confess	6
pursue	6
recover	6
flow	5
learn	5
call	5
annoy	5
increase	5
redden	5
judge	5
dream	5
puzzle	5
charge	5
study	5
linger	5
miss	5
imply	5
suit	5
attract	5
interfere	5
consult	5
mind	5
provoke	5
owe	5
shrink	5
seize	5
stretch	5
fight	5
provide	5
assert	5
tire	5
mingle	5
ponder	5
pull	5
endeavour	5
deserve	5
sink	5
depart	5
murmur	5
confront	5
escap	5
kneel	5
profess	5
apply	5
lit	5
trust	5
slip	5
waste	5
interview	5
destroy	5
thrust	5
wrapped	5
action	5
work	4
cast	4
crowd	4
express	4
bury	4
attend	4
burst	4
quiver	4
relieve	4
occupy	4
stream	4
maintain	4
thank	4
departure	4
remark	4
air	4
flatter	4
fill	4
silence	4
wrench	4
hover	4
command	4
arrange	4
shrug	4
delight	4
separate	4
dare	4
hate	4
beat	4
prove	4
dislike	4
match	4
curl	4
absorb	4
blow	4
struggle	4
nothe	4
last	4
kill	4
shoot	4
accompany	4
