I_ACTION
Evento_lema	Frecuencia
ask	147
look	78
call	78
try	66
help	48
agree	40
promise	26
explain	19
accept	18
mean	18
wonder	16
send	15
touch	14
speak	14
intend	13
attempt	13
suggest	12
warn	12
point	12
offer	11
fail	11
press	10
choose	10
order	10
assure	9
complain	9
avoid	9
approach	7
deny	7
declare	6
doubt	6
serve	6
conclude	6
rule	5
clear	5
deal	5
approve	5
prevent	4
oppose	4
appeal	4
persuade	4
manage	4
catch	4
concede	4
assume	4
blame	4
listen	4
demand	4
insist	3
run	3
state	3
allow	3
name	3
request	3
face	3
threaten	3
pray	3
forbid	3
describe	2
extend	2
arrange	2
accuse	2
invite	2
claim	2
seek	2
note	2
negotiate	2
influence	2
plead	2
direct	2
recommend	2
question	2
decline	1
delay	1
organize	1
distort	1
pronounce	1
comment	1
reject	1
convince	1
speculate	1
tear	1
handle	1
pursue	1
explore	1
discuss	1
aim	1
reason	1
make	1
avert	1
effort	1
guard	1
establish	1
show	1
block	1
resist	1
determine	1
attribute	1
urge	1
indicate	1
permit	1
require	1
decide	1
bar	1
