I_STATE
Evento_lema	Frecuencia
think	295
want	197
know	192
seem	86
like	72
believe	47
hope	45
suppose	42
expect	37
become	30
consider	21
prepare	15
wonder	14
appear	14
worry	13
help	13
understand	12
please	12
stand	11
concern	10
need	9
surprise	8
suspect	7
intend	7
fear	6
run	5
plan	5
fail	5
suggest	4
careful	4
yield	4
agreement	4
approach	3
face	3
allow	3
qualify	3
afraid	3
feel	3
require	2
listen	2
aware	2
difficult	2
shock	2
mean	2
wait	2
regret	2
find	2
commit	2
expected	1
keen	1
owe	1
obtain	1
rely	1
care	1
presume	1
forget	1
get	1
count	1
realize	1
entitle	1
meet	1
distract	1
wish	1
subject	1
affect	1
view	1
anxiou	1
smell	1
reach	1
able	1
bother	1
provide	1
walk	1
stay	1
sin	1
involve	1
