I_ACTION
Evento_lema	Frecuencia
ask	65
look	61
try	34
call	30
mean	23
help	19
wonder	16
declare	15
prevent	14
agree	13
allow	12
promise	10
attempt	10
accept	9
suggest	9
press	9
explain	9
recommend	8
urge	8
point	8
demand	7
offer	6
speak	6
touch	6
conclude	6
assure	6
fail	6
send	5
show	5
describe	5
complain	4
appeal	4
pronounce	4
doubt	4
order	4
serve	4
threaten	4
clear	4
face	4
delay	4
seek	4
intend	4
propose	3
permit	3
choose	3
approach	2
catch	2
hail	2
blame	2
warn	2
tear	2
decide	2
effort	2
state	2
reason	2
establish	2
deny	2
avoid	2
oppose	2
convince	2
accuse	2
aim	2
called	1
record	1
approve	1
compel	1
support	1
burn	1
bar	1
handle	1
invite	1
direct	1
decline	1
investigate	1
forbid	1
claim	1
name	1
allege	1
resist	1
stem	1
tolerate	1
force	1
assume	1
brim	1
guard	1
request	1
question	1
elect	1
