I_ACTION
Evento_lema	Frecuencia
ask	135
try	102
look	84
help	44
call	41
mean	31
attempt	30
wonder	28
seek	28
fail	21
speak	21
press	20
face	19
explain	17
point	16
choose	16
assure	15
clear	14
pray	11
promise	11
accept	11
effort	11
avoid	10
propose	10
suggest	10
prevent	10
agree	9
threaten	9
permit	9
approach	8
organize	8
offer	8
urge	8
touch	8
order	8
tear	8
design	7
deal	7
arrange	7
establish	7
decide	7
name	6
decline	6
claim	6
invite	6
appeal	6
deny	6
assume	6
declare	5
demand	5
allow	5
show	5
doubt	5
state	4
indicate	4
intend	4
assist	4
approve	4
warn	4
serve	4
speculate	3
delay	3
manage	3
burn	3
explore	3
rule	3
overcome	3
persuade	3
insist	3
influence	2
aim	2
forbid	2
oppose	2
beat	2
pledge	2
brim	2
direct	2
accuse	2
resist	2
complain	2
concede	2
send	2
note	2
limit	2
reason	2
run	1
ignore	1
extend	1
authorize	1
compel	1
hire	1
proposal	1
question	1
elect	1
hail	1
plead	1
ensure	1
allege	1
handle	1
control	1
catch	1
blame	1
convince	1
reject	1
conclude	1
estimate	1
push	1
determine	1
