I_STATE
Evento_lema	Frecuencia
think	399
want	269
seem	228
know	141
become	116
like	54
believe	50
suppose	40
appear	34
hope	27
need	19
prepare	18
wonder	18
consider	17
expect	15
understand	13
help	12
plan	11
surprise	11
worry	11
please	10
stand	9
achieve	9
find	6
aim	5
able	5
aware	5
concern	5
afraid	5
fear	4
face	3
entitle	3
approach	3
regret	3
fail	2
jolly	2
rely	2
feel	2
mean	2
allow	2
reflect	2
agreement	2
meet	2
close	2
run	2
considered	1
sufficient	1
resemble	1
affect	1
estimate	1
anxiou	1
commit	1
listen	1
suggest	1
qualify	1
interest	1
realize	1
stay	1
owe	1
happy	1
suspect	1
careful	1
shock	1
view	1
involve	1
get	1
guess	1
reserve	1
yield	1
control	1
reach	1
desire	1
deprive	1
rain	1
teach	1
love	1
eager	1
obtain	1
