STATE
Evento_lema	Frecuencia
have	167
be	20
feel	15
hold	8
remain	7
mix	7
control	5
intensity	4
maintain	4
glad	4
live	4
result	4
due	3
war	3
good	3
interest	3
fair	3
curiou	2
outcome	2
possible	2
cost	2
better	2
happy	2
own	2
successful	2
saturate	2
affect	2
small	1
serve	1
sharp	1
offensive	1
beautiful	1
wary	1
astonish	1
lack	1
gay	1
owe	1
situation	1
long	1
capable	1
available	1
radiant	1
large	1
amuse	1
range	1
clever	1
conspicuou	1
full	1
churlish	1
alert	1
grip	1
boss	1
los	1
frantic	1
worth	1
unreal	1
jolly	1
open	1
