I_ACTION
Evento_lema	Frecuencia
ask	104
look	49
call	29
suggest	20
try	19
speak	18
accept	18
avoid	18
attempt	16
help	16
mean	16
agree	15
intend	15
press	14
seek	14
approach	13
wonder	13
offer	13
allow	12
claim	11
order	10
explain	9
face	9
appeal	8
tear	8
conclude	7
prevent	7
resist	7
establish	7
choose	7
compel	6
point	6
effort	5
insist	5
assure	5
complain	5
fail	5
deal	4
convince	4
serve	4
overcome	4
send	4
promise	4
regain	4
urge	4
doubt	4
warn	3
demand	3
accuse	3
beat	3
invite	3
threaten	3
show	3
cope	2
oppose	2
catch	2
touch	2
recommend	2
avert	2
permit	2
arrange	2
delay	2
pray	2
negotiate	2
deny	2
clear	2
question	2
require	2
agrees	1
acknowledge	1
influence	1
decide	1
describe	1
blame	1
manage	1
propose	1
name	1
engage	1
direct	1
allege	1
explore	1
evaluate	1
handle	1
pursue	1
assume	1
hail	1
develop	1
request	1
plead	1
ignore	1
pronounce	1
burn	1
ensure	1
attribute	1
support	1
assist	1
announce	1
mount	1
bar	1
push	1
resolve	1
pledge	1
