I_STATE
Evento_lema	Frecuencia
think	166
want	90
know	86
seem	74
appear	71
become	57
like	37
consider	34
expect	23
believe	22
suppose	19
allow	17
need	16
please	12
hope	11
worry	11
understand	10
wonder	10
require	9
mean	8
commit	8
face	7
stand	5
surprise	5
prepare	5
meet	4
suggest	4
able	3
enable	3
approach	3
afraid	3
achieve	3
seek	2
shock	2
owe	2
sufficient	2
listen	2
suspect	2
help	2
concern	1
aware	1
facilitate	1
experience	1
get	1
confident	1
reflect	1
intend	1
sat on	1
avail	1
shout	1
qualify	1
entitle	1
forgive	1
plan	1
anxiou	1
careful	1
regret	1
find	1
 because	1
realize	1
will	1
aim	1
fear	1
smoke	1
press	1
