OCCURRENCE
Evento_lema	Frecuencia
go	276
come	209
get	199
take	181
do	163
make	153
feel	128
find	113
turn	102
give	101
meet	88
look	87
sit	81
left	78
put	70
don’t	70
stand	68
talk	58
know	55
walk	50
wish	45
work	45
draw	43
leave	43
stare	42
let	38
laugh	38
happen	38
move	36
bring	36
wait	35
strike	35
rise	31
write	31
carry	31
speak	31
marry	30
notice	29
play	28
act	28
pass	28
change	28
lose	28
return	28
hold	27
fix	27
break	26
set	26
smile	26
understand	25
arrive	24
show	24
gaze	23
mean	23
possess	22
answer	22
proceed	21
watch	21
follow	21
catch	21
spend	21
fall	21
regard	21
disappear	21
live	20
used	20
remember	20
fight	20
use	19
fling	19
lead	19
become	18
forget	18
throw	18
fill	18
didn’t	18
visit	18
cross	18
kiss	18
send	18
run	18
raise	18
refuse	18
round	17
engage	17
lay	17
attack	17
shake	17
settle	17
listen	17
treat	17
grow	16
pull	16
realize	16
paid	15
succeed	15
can’t	15
recognize	15
hang	15
wake	15
die	14
annoy	14
seize	14
slip	14
rush	14
drop	14
present	14
shout	14
wear	13
display	13
receive	13
dress	13
buy	12
imply	12
satisfy	12
enjoy	12
stick	12
shoot	12
appear	11
read	11
observe	11
attract	11
roll	11
exist	11
examine	11
protest	11
wipe	11
refer	11
escape	11
explain	11
reach	11
discuss	11
cover	10
hesitate	10
drag	10
incline	10
drive	10
mention	10
lie	10
arrange	10
imagine	10
cause	10
hate	10
struggle	10
thrust	10
behave	10
smack	10
repeat	9
pay	9
cut	9
stir	9
jump	9
impress	9
determine	9
lunch	9
putt	9
cast	9
push	9
form	9
pretend	9
develop	9
increase	9
affect	9
brush	9
produce	8
force	8
pick	8
manage	8
dance	8
hustle	8
perform	8
bore	8
mind	8
eat	8
admire	8
fly	8
stretch	8
flow	8
mistake	8
suffer	8
search	8
lean	8
close	8
open	8
haven’t	8
grasp	8
reflect	8
decide	8
interfere	8
occupy	7
hurry	7
mutter	7
borrow	7
lift	7
vanish	7
accompany	7
belong	7
layer	7
accomplish	7
drink	7
blink	7
save	7
interrupt	7
bend	7
won’t	7
contain	7
represent	7
pour	7
hand	7
fit	7
await	7
cry	7
stay	7
remind	7
confront	7
address	7
kill	7
insult	7
convince	7
consent	7
release	6
was a	6
disturb	6
awake	6
bury	6
spit	6
flush	6
burst	6
hide	6
gush	6
join	6
care	6
knock	6
induce	6
sell	6
nod	6
flatter	6
create	6
offend	6
charge	6
love	6
thank	6
quarrel	6
owe	6
astonish	6
amuse	6
lend	6
offer	6
puff	6
require	6
plunge	6
dash	6
sleep	6
overwhelm	6
admit	6
question	5
win	5
provide	5
neglect	5
call	5
prefer	5
swallow	5
build	5
spread	5
reply	5
blow	5
deal	5
surge	5
beg	5
spare	5
argue	5
deserve	5
issue	5
resemble	5
sacrifice	5
paralyse	5
hit	5
rang	5
place	5
share	5
wound	5
depart	5
explosion	5
wander	5
pat	5
sweep	5
conjure	5
introduce	5
result	5
part	5
absorb	5
beat	5
occur	5
alarm	5
count	5
dine	5
grin	5
tire	5
separate	5
learn	5
discover	5
tickle	5
crack	5
dispose	5
step	5
blind	5
resist	4
collect	4
departure	4
wasn’t	4
cling	4
afford	4
impose	4
sigh	4
yawn	4
bound	4
swim	4
prove	4
precede	4
compare	4
have	4
repudiate	4
reduce	4
doesn’t	4
exchange	4
invent	4
modify	4
touch	4
hiccup	4
accumulate	4
jerk	4
render	4
gather	4
surprise	4
arrest	4
invite	4
embody	4
bask	4
blast	4
fatigue	4
prepare	4
stamp	4
launch	4
capture	4
moisten	4
ache	4
clamour	4
fetch	4
leap	4
frown	4
depress	4
explode	4
adjust	4
peer	4
experience	4
trick	4
mark	4
exasperate	4
was not	4
descend	4
re-cover	4
guide	4
rub	4
withdraw	4
sprang	4
survey	4
please	4
bow	4
isn’t	4
rest	4
tear	4
conduct	4
screw	4
beset	4
decision	4
retire	4
discussion	4
interest	4
condemn	4
dream	4
grant	4
account	4
shut	4
arouse	3
revive	3
benefit	3
discredit	3
castigate	3
exalt	3
hint	3
shuffle	3
mitigate	3
puzzle	3
exhaust	3
damage	3
frighten	3
emerge	3
wrench	3
race	3
obtrude	3
grumble	3
choke	3
paint	3
serve	3
apologize	3
confess	3
ape	3
hush	3
bear	3
 and	3
relapse	3
harm	3
betray	3
train	3
shine	3
creep	3
sink	3
born	3
