OCCURRENCE
Evento_lema	Frecuencia
go	93
come	87
do	77
make	73
love	58
take	52
find	52
give	39
write	39
know	36
talk	31
left	28
sit	28
get	28
die	27
walk	27
turn	24
play	24
leave	22
put	22
forget	21
realise	20
pass	20
live	20
remember	20
fall	19
let	18
watch	17
smile	17
meet	17
look	17
happen	17
stand	17
wish	16
feel	16
speak	15
bear	15
fade	15
read	14
lay	14
break	13
bring	13
laugh	12
run	12
grow	11
stay	11
lose	11
show	11
change	10
understand	10
spend	10
move	10
ride	10
round	9
send	9
forgive	9
drop	9
hurt	9
born	8
dine	8
answer	8
decide	8
cease	8
beg	8
sleep	8
imagine	7
lunch	7
enjoy	7
set	7
become	7
marry	7
mean	7
work	7
close	6
describe	6
hate	6
use	6
throw	6
exist	6
teach	6
kill	6
tragedy	6
admire	6
draw	6
used	6
wait	6
learn	6
win	6
call	5
fix	5
care	5
fill	5
lie	5
cut	5
stick	5
suit	5
arrange	5
treat	5
hold	5
stare	5
gain	5
produce	5
force	5
deserve	4
lend	4
offend	4
empty	4
bore	4
face	4
fling	4
layer	4
despise	4
murmur	4
reach	4
follow	4
arrive	4
fit	4
notice	4
grovel	4
adore	4
refuse	4
worship	4
cling	4
share	4
last	4
express	4
mind	4
cry	4
pull	4
murder	3
admit	3
cause	3
eat	3
sink	3
strive	3
bury	3
breathe	3
build	3
cover	3
death	3
mock	3
spoil	3
breed	3
hide	3
wake	3
pity	3
wipe	3
receive	3
incline	3
envy	3
dream	3
carry	3
shake	3
pick	3
dress	3
deal	3
visit	3
lead	3
strike	3
surprise	3
chase	3
resent	3
offer	3
tire	3
haunt	3
surmount	3
pay	3
irritate	3
dislike	3
guess	3
manage	3
swing	3
act	3
amuse	3
belong	3
indulge	2
mutter	2
hurry	2
seduce	2
rebuild	2
whirl	2
curse	2
exaggerate	2
dance	2
wander	2
drip	2
affect	2
brand	2
shine	2
penetrate	2
lack	2
strain	2
fly	2
slip	2
discover	2
mark	2
sign	2
steep	2
satisfy	2
hesitate	2
define	2
leer	2
oppress	2
tint	2
succeed	2
invent	2
lounge	2
repeat	2
shiver	2
swear	2
earn	2
climb	2
attach	2
startle	2
address	2
advise	2
fight	2
examine	2
tone	2
shame	2
sway	2
pretend	2
creation	2
polish	2
step	2
resign	2
illustrate	2
pace	2
settle	2
idealise	2
catch	2
strip	2
please	2
encourage	2
appear	2
fashion	2
conquer	2
serve	2
long	2
bound	2
miss	2
weigh	2
freeze	2
kiss	2
jump	2
count	2
demolish	2
shock	2
retain	2
listen	2
succumb	2
place	2
putt	2
represent	2
fire	2
hand	2
recognise	2
hit	2
cram	2
attack	2
endure	2
muster	2
increase	2
efface	2
challenge	2
forbid	2
charm	2
steal	2
scatter	2
thrash	2
ignore	2
form	2
subdue	2
behave	2
pat	2
defy	2
bend	2
tremble	2
assume	1
refer	1
perform	1
gather	1
rob	1
wind	1
deliver	1
attract	1
insult	1
divorce	1
surge	1
foresee	1
quarrel	1
lean	1
return	1
darken	1
hover	1
relay	1
rend	1
taste	1
rely	1
lengthen	1
discussion	1
pervert	1
flash	1
articulate	1
pile	1
impregnate	1
hurl	1
mass	1
swallow	1
chew	1
obsess	1
alloy	1
rise	1
pursue	1
depress	1
forty	1
discuss	1
bless	1
fulfil	1
stretch	1
flicker	1
rumour	1
outstrip	1
strand	1
vanish	1
wail	1
fear	1
drive	1
battle	1
gush	1
tear	1
loosen	1
inquire	1
load	1
venture	1
beautify	1
scream	1
frighten	1
lust	1
awake	1
spring	1
envelop	1
telephone	1
unveil	1
baffle	1
lurch	1
search	1
rake	1
acclaim	1
cap	1
jar	1
clothe	1
compromise	1
remind	1
limp	1
glue	1
birth	1
utter	1
bawl	1
stray	1
grumble	1
ring	1
rush	1
sprawl	1
raise	1
splash	1
readdress	1
moralise	1
hear	1
exercise	1
slay	1
slam	1
contemplate	1
resist	1
separate	1
enforce	1
lock	1
blink	1
conversation	1
pronounce	1
