Evento	Frecuencia
said	34076
know	9588
see	9470
think	9043
come	8205
say	8179
do	7586
go	7584
made	7216
came	6823
thought	6539
make	5876
seemed	5623
went	5614
tell	5389
take	5195
looked	5010
had	4733
found	4358
knew	4248
took	4243
felt	4170
saw	4131
put	4061
left	4011
heard	4004
told	3966
give	3956
get	3941
asked	3836
turned	3291
got	3254
cried	3195
let	3179
seen	3164
find	3099
looking	3064
look	3029
says	2940
want	2934
have	2845
gone	2797
stood	2784
believe	2744
hear	2709
replied	2694
gave	2675
speak	2658
began	2537
done	2521
brought	2517
returned	2507
answered	2506
passed	2504
exclaimed	2438
called	2371
leave	2325
like	2282
taken	2279
set	2248
wish	2240
keep	2220
ask	2099
spoke	2067
sat	2022
help	2011
added	1944
read	1907
talk	1856
coming	1829
understand	1768
given	1759
call	1758
became	1732
return	1705
going	1702
suppose	1698
did	1692
met	1692
continued	1690
entered	1678
become	1635
hope	1630
used	1606
lay	1593
fell	1582
appeared	1571
sent	1570
held	1549
kept	1520
saying	1494
opened	1485
remember	1479
mean	1451
feel	1447
wanted	1432
lost	1421
taking	1402
walked	1377
rose	1376
tried	1374
bring	1348
observed	1347
meet	1345
received	1335
bear	1324
seem	1285
thinking	1267
love	1255
doing	1237
followed	1212
loved	1199
wished	1196
seems	1193
change	1167
visit	1160
led	1146
write	1130
round	1103
live	1097
making	1078
turning	1073
struck	1071
try	1066
use	1065
drew	1053
talking	1031
show	1023
reached	1008
laid	1003
pay	998
stopped	992
laughed	989
speaking	982
turn	964
expected	960
seeing	956
comes	955
carried	949
work	949
remained	937
send	920
married	912
ran	909
meant	908
happened	906
care	901
caught	895
wonder	885
was	878
lived	874
known	874
waiting	865
grew	861
talked	853
stay	838
stand	835
moved	833
placed	831
wait	831
giving	827
marry	826
save	818
believed	815
sitting	813
getting	810
liked	808
trying	808
showed	807
pass	803
forget	800
please	797
arrived	795
walk	790
wrote	786
don’t	783
allowed	782
spoken	781
remembered	777
written	770
paid	769
standing	763
repeated	763
mind	758
died	745
pleased	744
answer	739
threw	737
makes	736
determined	735
cut	735
meeting	733
closed	732
expect	725
shook	724
leaving	722
hold	722
raised	722
sit	719
goes	719
obliged	718
changed	706
started	701
whispered	693
allow	691
shut	691
follow	690
smiling	688
run	679
telling	677
broke	674
engaged	671
fixed	669
thank	666
proceeded	660
seated	647
putting	647
understood	645
forgotten	642
smiled	641
filled	640
laughing	639
begin	636
listened	635
attempt	632
offered	629
play	627
offer	626
enter	625
mentioned	625
surprised	622
drawn	618
receive	617
appear	614
fallen	613
broken	609
carry	606
fall	606
promised	599
deal	599
demanded	597
touched	596
has	595
discovered	595
remain	591
caused	589
thrown	587
watched	587
uttered	586
walking	583
rising	577
considered	576
expressed	575
inquired	572
passing	571
cast	571
hoped	569
die	568
remarked	567
knowing	567
spent	567
declared	566
trust	565
learn	564
interrupted	562
occupied	562
stop	561
loss	561
consider	559
lose	559
prepared	557
dressed	557
listen	554
holding	553
addressed	550
born	550
looks	548
paused	543
break	542
explain	540
departure	532
move	532
open	529
forgive	529
waited	527
resolved	527
finding	522
fear	518
watching	518
lying	516
hung	515
close	510
imagine	508
failed	508
beginning	506
hurt	503
worked	500
seek	500
asking	497
wants	494
supposed	492
kissed	491
beg	490
settled	486
sleep	484
refused	481
formed	480
act	479
dropped	476
bound	476
conversation	473
shown	471
prevent	471
ceased	470
sought	467
drove	466
murmured	466
begun	465
wore	462
choose	460
intended	458
played	457
pressed	457
possessed	456
explained	455
accept	451
produced	451
thinks	448
pray	446
perceived	439
throw	439
bent	438
finished	437
gathered	436
Do	434
presented	434
saved	433
rushed	432
ejaculated	431
grown	431
mention	430
writing	430
suggested	429
forced	429
hurried	429
prove	429
desired	427
resumed	425
taught	424
compelled	423
speech	423
wondered	420
suffered	420
required	419
glad	418
doubt	417
glanced	415
assure	415
ended	413
satisfied	413
enjoy	412
helped	411
occurred	409
convinced	408
Come	406
start	405
becoming	401
spare	400
crossed	400
learnt	400
returning	400
cared	399
treated	399
playing	398
inclined	397
Did	396
ordered	395
noticed	394
aware	393
eat	392
acquainted	392
hearing	392
lifted	391
hastened	390
decided	390
feared	389
death	388
Let	387
seized	386
agreed	385
delighted	383
succeeded	383
lead	383
reading	380
face	380
accepted	379
accompanied	378
avoid	378
parted	378
feeling	378
moving	377
pointed	376
flung	375
shaking	374
lie	374
watch	374
interview	374
cries	373
draw	372
assured	372
bringing	371
catch	371
admit	370
regarded	368
drawing	367
running	366
falling	366
gazed	365
according	364
obtain	361
replies	361
fail	360
rendered	358
search	357
refuse	357
served	356
arranged	356
removed	354
obtained	354
admitted	354
enjoyed	353
keeping	352
leaning	352
join	352
afford	351
recovered	351
request	350
working	350
rise	349
laugh	349
forgot	348
bore	346
suffer	346
serve	346
attend	346
guess	345
drive	345
covered	345
calling	343
advanced	343
bowed	340
gained	339
announced	338
proved	338
disappeared	338
grow	337
learned	336
approached	335
happen	335
driven	333
pursued	332
listening	331
joined	331
startled	330
accustomed	329
rest	329
bought	328
reach	326
trembled	323
won	323
pulled	322
disposed	319
require	319
knows	319
conviction	318
spend	317
carrying	316
stepped	315
admired	315
escaped	314
excited	314
escape	312
conceal	311
burst	311
sees	311
handed	310
proposed	310
express	309
cry	309
promise	309
gives	309
chosen	308
perceive	307
dared	307
lighted	307
asks	307
Tell	306
chose	305
devoted	305
crying	304
breaking	304
observe	303
buried	303
imagined	302
need	301
beheld	300
tells	299
confess	299
stretched	299
opening	298
begged	297
frightened	297
throwing	296
teach	296
locked	296
entering	295
acted	295
attended	295
stared	294
slept	294
settle	293
sank	293
enabled	293
experienced	293
fancy	293
touch	290
introduced	290
pushed	290
informed	290
judge	290
longed	289
insisted	289
buy	289
effort	288
suspected	287
own	285
leading	285
connected	284
described	284
thrust	283
increased	283
sold	282
recognised	281
roused	279
beat	279
sighed	278
marked	278
retired	277
committed	277
render	276
been	276
wear	276
showing	275
astonished	275
growing	274
manage	273
fetch	272
raise	272
sprang	272
can’t	272
concealed	271
concluded	271
shone	270
relieved	269
swept	269
hate	268
spread	268
poured	267
discover	267
fancied	266
muttered	265
descended	264
affected	264
strike	264
fight	263
appeal	263
agree	263
endure	262
hide	262
visited	262
appears	262
suffering	262
mistaken	260
hesitated	260
dare	260
dine	259
trembling	258
add	258
killed	258
stayed	257
trusted	257
departed	256
invited	255
wondering	255
bless	255
notice	254
permitted	254
stands	254
sounded	253
declare	253
drop	253
assumed	253
rang	253
admire	252
knocked	252
urged	252
hearted	251
permit	251
prevented	251
continue	250
takes	250
concerned	250
persuaded	249
finds	249
worn	249
setting	248
provided	248
able	248
end	247
quitted	246
addressing	246
picked	245
reflected	244
suspect	244
succeed	244
employed	244
borne	243
place	243
desire	242
alarmed	242
rejoined	242
delivered	239
seeking	239
attached	239
revealed	238
accompany	238
drink	238
rested	237
disappointed	237
amused	236
directed	236
wept	236
shake	236
glancing	236
decision	235
induced	235
starting	235
repeat	234
vanished	234
conveyed	234
rolled	234
slipped	233
conducted	233
entertained	232
produce	232
sell	232
absorbed	231
treat	231
recover	231
guessed	230
blame	230
sing	230
satisfy	230
needed	230
fit	229
gain	228
commenced	227
nodded	227
turns	227
considering	227
risen	227
sending	225
proposal	225
missed	225
inquire	224
dragged	223
belonged	222
proceed	222
kill	222
ceremony	222
ventured	221
pause	221
approaching	220
recalled	219
speaks	218
bid	217
wanting	217
comprehend	216
suit	216
shocked	216
regard	215
support	215
established	215
owe	215
trial	215
reminded	214
attracted	213
contained	213
deny	213
cleared	213
wandered	212
flushed	212
built	212
restored	211
calculated	211
gets	211
miss	210
laying	210
leant	210
wishing	210
overcome	209
managed	208
describe	208
resist	208
hanging	207
staring	207
obeyed	206
interfere	206
rode	205
clasped	205
raising	204
flashed	204
excuse	204
named	204
stole	204
sunk	204
tied	204
delay	204
checked	203
secure	203
awoke	203
following	202
win	202
disturbed	201
possess	201
fill	201
acting	201
battle	201
dying	200
kiss	200
performed	199
arose	198
gazing	198
prefer	198
leaves	198
shot	197
supported	197
bearing	196
struggling	196
fly	196
form	196
represented	195
grieved	195
becomes	195
discovery	195
cost	195
faced	194
agitated	194
behaved	193
hated	192
secured	192
stirred	192
arrival	192
advancing	192
fled	192
deserve	191
betrayed	191
applied	190
altered	190
hidden	190
persuade	189
thanked	189
yielded	189
pointing	188
losing	188
exhausted	188
belong	188
sate	188
inform	187
were	187
answers	187
attempted	186
assist	186
cause	186
crept	186
ride	186
letting	186
tired	186
avoided	186
obey	186
pressing	186
puzzled	185
impressed	185
preferred	185
finish	184
deceived	184
paying	184
drank	184
lies	183
depart	183
dreaded	183
offended	183
driving	183
elapsed	183
receiving	182
enable	182
spared	182
conceive	182
separated	182
shrank	182
struggle	182
cross	181
flew	181
clung	181
war	180
bewildered	180
ruined	180
share	179
hid	179
wrapped	179
withdrew	179
attack	178
calls	178
pursue	178
swear	178
present	178
occasion	178
echoed	177
enjoying	175
venture	175
quit	175
annoyed	174
observing	174
brings	174
shaken	174
propose	174
inspired	174
trouble	173
bending	173
summoned	173
resolution	173
shouted	172
recollect	172
confirmed	172
dwelt	172
remove	171
preparing	171
introduce	171
object	171
disturb	171
apply	171
examined	170
comfort	170
lingered	170
reply	169
confessed	169
expecting	168
account	168
exist	168
lit	168
repeats	168
puts	167
hit	167
deserted	167
begins	167
pretend	167
announcement	167
welcome	166
breathed	166
convey	166
pronounced	166
communicated	166
changing	166
accomplished	165
sang	165
leaned	165
regret	164
recall	164
occupy	164
command	164
encouraged	163
hang	163
catching	163
arrested	163
encountered	163
owned	163
conceived	163
vexed	162
exchanged	162
contrived	162
smile	162
displayed	162
destroyed	162
Thank	162
alluded	162
hesitate	161
believing	161
order	161
dress	161
ascertain	161
fastened	160
cease	160
plunged	160
claim	159
means	159
dwell	159
shining	159
communicate	159
induce	159
sinking	158
granted	158
furnished	158
interposed	157
consent	157
convince	157
stated	157
wasted	157
betray	157
decide	157
prayed	156
wishes	156
deserved	156
knelt	156
extended	156
adopted	156
Go	155
depend	155
doubted	154
count	154
reduced	154
purchase	154
faded	153
gather	153
supplied	153
helping	153
dismissed	153
acknowledge	153
complain	153
painted	153
cares	152
struggled	151
folded	151
retained	151
stopping	151
wandering	151
clear	151
address	151
remind	151
composed	151
arrive	151
endeavoured	150
blushed	150
shows	150
