Event(lemma)	weight _TfIdf
strap	0.16318074813389763
reply	0.15569134059945633
apprentice	0.1539244077130628
reconnoitre	0.11554661459168013
exclaim	0.11206754664360319
cripple	0.10261627180870853
contrive	0.10150753546363044
suffice	0.09408110177992517
endeavour	0.08875985068580407
cram	0.08652602668117955
ejaculate	0.08652602668117955
render	0.08399563350936137
kidnap	0.08235249255866463
scruple	0.08221370463712027
atone	0.08159037406694881
ascertain	0.07996893651293639
bet	0.07866002425561777
utter	0.07767057688170517
meditate	0.07502730882094424
deform	0.07042109664210214
vociferate	0.07042109664210214
bamboozle	0.06971179668492922
com	0.06971179668492922
courtesy	0.06971179668492922
permit	0.06936656145986336
bide	0.06876286706891634
undertake	0.0682768438681168
doubtful	0.06769891713315696
enable	0.06540583217451407
perceive	0.06435562084484144
perform	0.06352948012845236
demand	0.06213646150536414
blubber	0.06176436941899847
reseat	0.06176436941899847
useful	0.06150941949014838
witness	0.059979808221783636
sustain	0.0597422383846022
plague	0.058435630409782544
trudge	0.058435630409782544
get	0.05810758660447835
list	0.057422204053516925
repas	0.057422204053516925
heart	0.05738595924079832
depend	0.05707627826339491
size	0.056915490875384125
profit	0.05638083137573339
venture	0.0562785309957382
jest	0.05539535134098572
except	0.055050540840176604
select	0.055050540840176604
obtain	0.05445384011010203
affront	0.05439358271129921
clamber	0.05424425702351201
bestow	0.05405250139559247
traverse	0.0537538831220916
lessen	0.05345790128305937
proceed	0.05294123344037696
jolt	0.0528158224815766
scour	0.05130813590435426
vie	0.05130813590435426
forsake	0.05074274823816005
comprehend	0.05032265586960658
'prentice	0.05023325321500171
cosset	0.05023325321500171
dramatize	0.05023325321500171
inclination	0.05023325321500171
insensible	0.05023325321500171
whirr	0.05023325321500171
deplore	0.04979118304952322
rear	0.049416720507119
enforce	0.049416720507119
thieve	0.049264528186038534
station	0.048696358674818786
honour	0.048547082178258046
dote	0.048469799983754176
deem	0.04784113376201922
operation	0.04784113376201922
vex	0.04784113376201922
befall	0.0477812294418592
crawl	0.0477812294418592
condescend	0.046775663622676954
content	0.04631643361687213
labour	0.04630948731433255
development	0.04616279278415476
denominate	0.04613206461761129
misdoubt	0.04613206461761129
petition	0.04613206461761129
jog	0.04584191137927756
necessary	0.04584191137927756
accelerate	0.04584191137927756
reclaim	0.04584191137927756
comfort	0.04522841804350227
indulge	0.04518538695852097
disclosure	0.04513261142210464
prate	0.04513261142210464
converse	0.04510466510058671
obey	0.044383186789545816
encounter	0.04434369577698052
hire	0.04424243555807397
determine	0.04390728889492107
ensconce	0.04339540561880961
peruse	0.04339540561880961
marshal	0.04339540561880961
allot	0.04339540561880961
articulate	0.04339540561880961
piece	0.04339540561880961
titter	0.043329980471880046
reek	0.043329980471880046
adopt	0.04322867137574732
indicate	0.04322867137574732
wring	0.04322867137574732
recognise	0.042673027417573
shrink	0.042673027417573
threaten	0.042673027417573
sufficient	0.04235718900610199
assign	0.04235718900610199
exert	0.04233649580096633
pledge	0.04233649580096633
assemble	0.04233649580096633
testify	0.041808575761626804
yelp	0.041176246279332314
prelude	0.041176246279332314
immortalize	0.041176246279332314
privilege	0.041176246279332314
burden	0.041106852318560136
combat	0.041106852318560136
mantle	0.04079518703347441
nobody	0.04079518703347441
pronounce	0.0406314829889502
expose	0.04014090913462251
proposal	0.04014090913462251
assistance	0.04009342596229453
behold	0.040049987492725016
doom	0.0400367569746739
exceed	0.0400367569746739
stride	0.0400367569746739
displease	0.0400367569746739
precede	0.03972033996402931
procure	0.03972033996402931
occasion	0.0391267903914534
ensure	0.03895708693985503
predict	0.03895708693985503
settlement	0.03895708693985503
sicken	0.03895708693985503
resume	0.038835288440852586
chance	0.038591239428610466
beautify	0.0384811019282657
intrust	0.0384811019282657
thankful	0.0384811019282657
rejoice	0.03805085217559661
assist	0.03795528834596297
staid	0.03794366058358942
deteriorate	0.03794366058358942
amble	0.03794366058358942
redress	0.03794366058358942
stew	0.03794366058358942
respect	0.037815166743126405
declare	0.03772570877111395
recount	0.037267996810593305
value	0.03720977070379273
endow	0.03720977070379273
hint	0.03671248853499793
loss	0.036352349987815634
interrogate	0.036352349987815634
bear	0.03600857009331055
exhibit	0.03594475419257613
redeem	0.035835922081394404
smell	0.035835922081394404
reiterate	0.035297657505085
tranquillize	0.03521054832105107
vest	0.03521054832105107
violate	0.03521054832105107
'feard	0.03485589834246461
'printice	0.03485589834246461
'tend	0.03485589834246461
all	0.03485589834246461
blesseth	0.03485589834246461
card	0.03485589834246461
cautch	0.03485589834246461
countermine	0.03485589834246461
dispise	0.03485589834246461
dissimilarity	0.03485589834246461
distrub	0.03485589834246461
egad	0.03485589834246461
estrangement	0.03485589834246461
filthy	0.03485589834246461
fla	0.03485589834246461
furbelow	0.03485589834246461
ge	0.03485589834246461
handkerchief	0.03485589834246461
heedles	0.03485589834246461
hefore	0.03485589834246461
imbed	0.03485589834246461
indenture	0.03485589834246461
insten	0.03485589834246461
mismatch	0.03485589834246461
outblush	0.03485589834246461
outspend	0.03485589834246461
overload	0.03485589834246461
peldge	0.03485589834246461
penknife	0.03485589834246461
preconsume	0.03485589834246461
rech	0.03485589834246461
relief	0.03485589834246461
rememeber	0.03485589834246461
repockete	0.03485589834246461
rewhisper	0.03485589834246461
tassel	0.03485589834246461
treacherou	0.03485589834246461
turnpike	0.03485589834246461
udnertake	0.03485589834246461
uneasines	0.03485589834246461
unrecognise	0.03485589834246461
usefulnes	0.03485589834246461
wheelbarrow	0.03485589834246461
workman	0.03485589834246461
await	0.03445974708076364
check	0.03445974708076364
receive	0.0344010479228867
bespeak	0.03438143353445817
eyee	0.03438143353445817
quarter	0.03438143353445817
study	0.0341384219340584
ceremony	0.03396538465237289
trace	0.03396538465237289
state	0.03390988500592628
rejoin	0.03390988500592628
abide	0.033828498825440034
nestle	0.033828498825440034
comply	0.0334111883019121
confound	0.0334111883019121
hange	0.0334111883019121
overtake	0.03337498957727084
clothe	0.03337498957727084
beguile	0.033194122033015486
retrace	0.033194122033015486
avail	0.03305533411147112
awaken	0.03289215289581683
petrify	0.032843018790692353
generate	0.032843018790692353
toe	0.032843018790692353
cushion	0.032843018790692353
seed	0.032843018790692353
bid	0.032702916087257033
withdraw	0.032702916087257033
deprecate	0.03254655421410721
insinuate	0.03254655421410721
relate	0.03235027877331852
contemplate	0.032306012888215906
depart	0.032306012888215906
extend	0.032306012888215906
puzzle	0.032306012888215906
lodge	0.03189408917467948
produce	0.031859574182191444
book	0.03146400970224711
grin	0.03146400970224711
quit	0.03130143231316272
fed	0.030893597749800574
mend	0.030893597749800574
