Event(lemma)	weight _TfIdf
conserve	0.2070112374048464
revolution	0.18505607318158285
govern	0.1517738280452017
quit	0.1504913293289561
election	0.12877122262315654
style	0.11949572831922477
sate	0.10455876227932166
canvass	0.1012502366501478
renovate	0.09573044389386488
vote	0.08853473302636766
organize	0.08706344207833625
imbibe	0.08706344207833625
elapse	0.08612274913696923
contribute	0.08118037626656431
plunder	0.08048201413947284
commence	0.07982188800185432
gratify	0.07858136522411985
celebrate	0.07786438071051324
figure	0.07786438071051324
terminate	0.07588691402260085
usher	0.07370294999196339
baffle	0.07370294999196339
agitate	0.0736230979146323
comprehend	0.07014277687020341
revoke	0.0696630810533522
consequence	0.06803349230027389
intimate	0.06793733216827175
contrive	0.06740041236806288
rank	0.06683922317116704
subsist	0.06443196877736679
disquiet	0.06438561131157827
favour	0.06369124890775477
rival	0.06168535772719429
slash	0.06127126459536832
excel	0.0610340054979753
perplex	0.060993719017568185
recoil	0.060809044637158104
violate	0.059747864159612384
chaunt	0.059146067829956114
deify	0.059146067829956114
disfranchise	0.059146067829956114
knib	0.059146067829956114
esteem	0.058630271748074225
digest	0.05834096083080334
suffuse	0.057842109632866644
stud	0.05768691034992971
repeal	0.057438266336318926
poll	0.057438266336318926
evince	0.056326242807769
recognise	0.05551490906462783
bequeath	0.054832710162395354
compensate	0.054832710162395354
circulate	0.054832710162395354
establish	0.05481923348605757
experience	0.054478829759888686
intrust	0.05441465129896015
limit	0.05390610972266301
occasion	0.05311458682198451
accession	0.05231486185540741
effect	0.05184466116493296
concede	0.0514044647726619
reside	0.05095299912620382
deem	0.049610229940678194
denounce	0.049578951113885696
patronise	0.04901701167629466
model	0.04901701167629466
repair	0.04879497521405455
distinguish	0.048767355824926625
concentre	0.04871912269375103
subvert	0.04871912269375103
achieve	0.048678075599156524
prompt	0.048678075599156524
vanquish	0.04861746735900278
habituate	0.04828920848368371
consummate	0.04828920848368371
exclaim	0.048011830909929616
appropriate	0.04791654197570046
muse	0.04789313280111259
register	0.046999465853481734
postpone	0.046716652646455026
encounter	0.046475263469236444
equalle	0.04614952827994377
characterize	0.04614952827994377
acquisition	0.04602283484097627
survey	0.04574528926317614
devise	0.04560678347786857
meditate	0.044933608245375255
chalk	0.044810898119709286
clog	0.044810898119709286
impute	0.044810898119709286
indispose	0.044810898119709286
intersect	0.044810898119709286
animate	0.04455948211411136
stimulate	0.04455948211411136
substitute	0.04455948211411136
develop	0.04453611959378839
aggravate	0.04426736651318383
aspire	0.04426736651318383
devote	0.043855386788846054
maintain	0.04381004858458823
nurture	0.0435957182128395
detail	0.0435957182128395
solicit	0.04353172103916812
usurp	0.04353172103916812
participate	0.04353172103916812
exterminate	0.04261975079199422
intrigue	0.04261975079199422
pal	0.04261975079199422
perambulate	0.04261975079199422
satiate	0.04261975079199422
behold	0.04247486418151863
invest	0.04246083260516985
blend	0.04224468210582675
criticise	0.04224468210582675
permit	0.04219660348367287
create	0.042049047900737734
ceremony	0.04191634785297731
settlement	0.04131579259490474
apprise	0.04112357181812952
operate	0.04112357181812952
obtain	0.041067247010464526
ride	0.041039587667972735
expand	0.04053936309143873
impel	0.04053936309143873
exercise	0.04035468871102865
extricate	0.040042845125532876
project	0.040042845125532876
observe	0.03993192512845317
ascertain	0.03991094400092716
combine	0.03991094400092716
divert	0.03991094400092716
dissolve	0.03968620384182644
adopt	0.03929657611216623
sympathize	0.03916622154456811
development	0.03916622154456811
fate	0.03916622154456811
diffuse	0.03916622154456811
chair	0.03914015063104848
dispirit	0.03914015063104848
reconstruct	0.03914015063104848
ball	0.03829217755754595
blazon	0.03829217755754595
coop	0.03829217755754595
harangue	0.03829217755754595
confer	0.037943457011300426
discourse	0.037132901761759464
lavish	0.037132901761759464
merge	0.037132901761759464
cluster	0.037132901761759464
menace	0.03681826787278102
persecute	0.03681826787278102
authorize	0.036762758757220994
emanate	0.036762758757220994
indicate	0.03667680437135515
trace	0.03667680437135515
fulfill	0.036596231410540914
introduce	0.036508373820490186
appreciate	0.03631921983992579
sustain	0.036205375476931194
recur	0.03608016722958414
sparkle	0.03608016722958414
despair	0.03608016722958414
endeavour	0.03601645906105493
surround	0.03601645906105493
require	0.035773521070143637
deplore	0.035203901754855625
originate	0.035203901754855625
avail	0.035056710744653614
inherit	0.035056710744653614
inform	0.035048038867670585
great	0.034935450974352404
quaff	0.034935450974352404
apportion	0.034935450974352404
brief	0.034935450974352404
confiscate	0.034935450974352404
promulgate	0.034935450974352404
sojourn	0.034935450974352404
vault	0.034935450974352404
demolish	0.034612146209957825
erase	0.034612146209957825
gift	0.034612146209957825
baulk	0.034612146209957825
cope	0.034612146209957825
emancipate	0.034612146209957825
guide	0.03430148540437435
assure	0.034148187869840786
revive	0.03405703263054406
contend	0.034016746150136945
arrive	0.03374289914543442
saunter	0.03370020618403144
crisi	0.0335465454596625
subside	0.0335465454596625
converse	0.033484908506246476
foster	0.033369037604610734
ascribe	0.0330526340759238
objection	0.0330526340759238
swerve	0.0330526340759238
abound	0.0330526340759238
sanction	0.0330526340759238
uphold	0.0330526340759238
vindicate	0.0330526340759238
render	0.032891540091634544
counter	0.032648790779376095
evaporate	0.032648790779376095
comprise	0.032648790779376095
precipitate	0.032648790779376095
transpire	0.032648790779376095
abdicate	0.032192805655789136
gorge	0.032192805655789136
graduate	0.032192805655789136
harrow	0.032192805655789136
organise	0.032192805655789136
adorn	0.031928755200741725
assemble	0.031928755200741725
adhere	0.03161954750941703
harass	0.03161954750941703
carve	0.031570146325886124
unite	0.03155103967018825
oppose	0.03143726088973298
summons	0.03143726088973298
arrival	0.031377992080007036
blunder	0.03133297723565449
mature	0.03133297723565449
embrace	0.03098350897949096
illumine	0.030842678863597144
verge	0.030842678863597144
dishearten	0.030842678863597144
ponder	0.030496859508784092
rally	0.030404522318579052
deprive	0.03026601653327149
resolve	0.030125070374857798
secure	0.030125070374857798
omit	0.029955738830250166
elect	0.029947838734812784
illustrate	0.029947838734812784
regulate	0.029947838734812784
forfeit	0.029947838734812784
coin	0.029873932079806192
discountenance	0.029873932079806192
phrase	0.029873932079806192
ameliorate	0.029873932079806192
levy	0.029873932079806192
perpetuate	0.029873932079806192
quiz	0.029873932079806192
modify	0.02970632140940757
abrogate	0.029573033914978057
acutenes	0.029573033914978057
adjudge	0.029573033914978057
adolescence	0.029573033914978057
anathematise	0.029573033914978057
apprize	0.029573033914978057
approximate	0.029573033914978057
aristocracy	0.029573033914978057
audit	0.029573033914978057
awry	0.029573033914978057
banquett	0.029573033914978057
bedevil	0.029573033914978057
benefice	0.029573033914978057
caparison	0.029573033914978057
chartism	0.029573033914978057
colonise	0.029573033914978057
comedy	0.029573033914978057
countervail	0.029573033914978057
current	0.029573033914978057
depicture	0.029573033914978057
disappint	0.029573033914978057
disforest	0.029573033914978057
disherite	0.029573033914978057
domiciliat	0.029573033914978057
embarrassment	0.029573033914978057
enfranchise	0.029573033914978057
floreat	0.029573033914978057
graciousnes	0.029573033914978057
hallo	0.029573033914978057
homage	0.029573033914978057
imaginary	0.029573033914978057
