Event(lemma)	weight _TfIdf
ejaculate	0.41110511111021386
sate	0.3008064681678298
 the	0.24734237661766575
 and	0.205557620405217
exclaim	0.1712633250875229
compel	0.0986823911499266
plunder	0.09533989999612605
endeavour	0.094196564773656
perpetrate	0.08917294520292889
behold	0.08913155832614487
proceed	0.0864383562817609
 "and	0.08507904733232759
commence	0.08172504831555735
emanate	0.07465641923966139
obtain	0.07232153930107131
observe	0.07131958752282185
repair	0.07070554949604338
animate	0.07038088553593067
characterise	0.06935048552800821
experience	0.06829231221448208
terminate	0.06742236950038857
hasten	0.06639550776013936
denote	0.0655057594626165
allude	0.06517163303497903
 but	0.06506044796001523
implore	0.06466592269508191
procure	0.06463504207433265
re-trace	0.06428747212304174
acquaint	0.062228425683143164
render	0.0618471248846531
ensure	0.061528535238777396
ascertain	0.06078722601983604
comprehend	0.06038357146742391
purchase	0.05780307696026904
 dure	0.057713221210788666
issue	0.05747609327082681
denominate	0.05740535427420261
elapse	0.05703091947735234
adopt	0.05674808862909738
peruse	0.05607685878814633
demand	0.05448563458598402
astound	0.054301782062159104
manifest	0.053721628178881854
 for	0.053590848267160915
 on	0.053590848267160915
converse	0.05342848106865591
menace	0.05296147774436043
enable	0.052145009502395395
proclaim	0.05132782752961711
retrieve	0.05076430425888483
violate	0.05055570893576971
augment	0.05025312748716238
consign	0.05016843633941019
 "then	0.05004649843078094
deem	0.04884682546482073
communicate	0.048338152093155846
remand	0.04688156254855826
recognise	0.046565520699467816
accost	0.046501656514811335
transpire	0.04604300608240319
embark	0.045612703170748746
commingle	0.045346102379905384
 "have	0.04504184858770285
partake	0.044523734223879924
require	0.043811548278203535
avenge	0.04279072511302634
hire	0.04265169171610986
retire	0.042226431713561434
state	0.041946758333424296
alarm	0.04082318444949329
solicit	0.040517845352514806
survey	0.04025571431161594
retrospect	0.040037198744624754
 "are	0.040037198744624754
 "thank	0.040037198744624754
 "the	0.040037198744624754
accompany	0.040026841108869456
aid	0.03915551282454501
precipitate	0.03867612510921868
depict	0.03844301891408947
glean	0.03827642196298173
overjoy	0.03791678170182728
espouse	0.03772510631563362
entrust	0.03750377816261563
immure	0.03710135649264986
 have	0.03710135649264986
 leave	0.03710135649264986
denounce	0.036357770822913915
booze	0.036062740421967894
persecute	0.03582688200353794
inveigle	0.03564105648595175
entertain	0.035587115489786436
inform	0.035587115489786436
comply	0.03549940372229449
ascend	0.03546223615008226
emaciate	0.035388996255038795
 all	0.03503254890154665
introduce	0.03484571725041588
enjoin	0.03479674723907429
utter	0.034571294459527876
