Event(lemma)	weight _TfIdf
don’t	0.4288321797834868
sate	0.4204853129517766
can’t	0.21111012794020673
won’t	0.2056970477366117
didn’t	0.17863164671863646
patronise	0.11498839768624439
wouldn’t	0.11018207073049534
prattle	0.09817691280283276
wasn’t	0.0849793125492526
brag	0.0719055721570599
ain’t	0.07186331423608684
thrum	0.0693750122316993
beseech	0.06620330522084249
purchase	0.06581882693978343
rally	0.06419303147702643
ride	0.0639261073002382
vow	0.06348001147101819
salute	0.06276414021705662
compliment	0.06271892073553499
bounce	0.061212261516941854
cajole	0.06041656172482016
grin	0.05949280763559534
whimper	0.05749419884312219
ornament	0.056141485665250485
diddle	0.05550000978535944
whop	0.05550000978535944
superintend	0.05512773102419525
blush	0.05315456648395931
partake	0.051619774100541
quit	0.050878679692756903
condescend	0.05053965892669682
mustn’t	0.049172783806360316
rout	0.049056619844373935
shan’t	0.049056619844373935
interpose	0.047621953744438436
coax	0.04696800602810159
march	0.04643044440429551
isn’t	0.045758091372674475
gazette	0.045715833451701424
shave	0.0452969983089975
frequent	0.04521969482914978
gobble	0.044914571397554275
lord	0.044914571397554275
console	0.0441655446772567
bully	0.04318575820403883
narrate	0.04264576962055121
wheedle	0.04204853129517766
hanker	0.04204853129517766
shouldn’t	0.04204853129517766
  dure	0.04162500733901958
  whilst	0.04162500733901958
  “thank	0.04162500733901958
charm	0.041494477853341726
scowl	0.04105840019203597
tyrannise	0.0409773198386336
induct	0.0409773198386336
needn’t	0.0409773198386336
thrash	0.040908261126818515
transact	0.040908261126818515
bethink	0.040908261126818515
twirl	0.04084820905750415
hange	0.03989973073160275
mimic	0.03922122117657813
swindle	0.03922122117657813
instruct	0.03865003721136994
leer	0.03789156142516531
canter	0.03789156142516531
emblazon	0.0377603510780126
sang	0.03687413954595544
swagger	0.03672735691016511
sport	0.03672735691016511
deplore	0.03633713380987488
ogle	0.03593165711804342
select	0.03585900196562341
befall	0.03566279526501468
clink	0.035040442745981386
warble	0.035040442745981386
dine	0.03489332617340263
“and	0.034891993325905535
relent	0.034579766634055716
preside	0.034579766634055716
job	0.03428687508877607
handcuff	0.03428687508877607
“isn’t	0.03428687508877607
perform	0.03371870029136838
agitate	0.03321375176457844
perfume	0.03278185587090688
kep	0.03278185587090688
dandle	0.03278185587090688
doesn’t	0.03278185587090688
humour	0.032707031358476565
loll	0.032684350980481766
simper	0.032684350980481766
augur	0.032684350980481766
mollify	0.032478481221570266
“the	0.03193431126047242
paid	0.03167899717872582
abuse	0.03162275771839359
spell	0.03131200401873439
figure	0.030911875365444395
ruin	0.030863941829395728
reconciliation	0.030606130758470927
closet	0.030606130758470927
eschew	0.03020828086241008
cheat	0.030191105869362987
scandalise	0.029994342897051073
twiddle	0.029994342897051073
“go	0.029994342897051073
cord	0.029994342897051073
demise	0.029994342897051073
vouch	0.029994342897051073
roar	0.0298659378451495
bloom	0.029670361201805436
joke	0.029670361201805436
administer	0.02962400535314182
entreat	0.029606076526812297
tend	0.02922810155282903
issue	0.02917639405682752
conspire	0.028941382606492882
domineer	0.028747099421561097
toll	0.028747099421561097
bawl	0.028635782788772962
exhibit	0.028616881278166705
bustle	0.028180803616860952
bet	0.028180803616860952
adore	0.028109117971905413
unbar	0.028032354196785104
levy	0.028032354196785104
behold	0.02789955148224589
attaché	0.02775000489267972
attentive	0.02775000489267972
deloight	0.02775000489267972
mark’d	0.02775000489267972
objectionable	0.02775000489267972
overeat	0.02775000489267972
spear	0.02775000489267972
watchful	0.02775000489267972
  on	0.02775000489267972
  put	0.02775000489267972
  seee	0.02775000489267972
  “and	0.02775000489267972
  “give	0.02775000489267972
  “hadn’t	0.02775000489267972
  “have	0.02775000489267972
  “present	0.02775000489267972
’ave	0.02775000489267972
“knuckle	0.02775000489267972
“wap	0.02775000489267972
ensue	0.027508004970774547
quarter	0.02737226679469065
prance	0.026948742838532564
cuddle	0.026948742838532564
puff	0.02693205605245617
accommodate	0.02670332508162489
befriend	0.026427006407181732
elate	0.026427006407181732
commence	0.026215444317851336
aver	0.026147480784385415
secrete	0.026147480784385415
couch	0.026147480784385415
consort	0.026147480784385415
defray	0.026147480784385415
announcement	0.02611526495662753
conclusion	0.025911454922423298
subsist	0.025911454922423298
estrange	0.025911454922423298
parry	0.025530130660940092
solace	0.025530130660940092
departure	0.025528609801536033
decorate	0.02529153438990905
embark	0.02529153438990905
pine	0.025049603214987514
transport	0.025049603214987514
occasion	0.024920169645431953
war	0.024920169645431953
dispose	0.024862619807013223
implore	0.02467173043901025
inform	0.024665627464521746
procure	0.024595478225417237
brief	0.024586391903180158
straiten	0.024586391903180158
subjugate	0.024586391903180158
banter	0.024586391903180158
demean	0.024586391903180158
“don’t	0.024586391903180158
consign	0.024544956676091113
dote	0.024117818838744066
pop	0.024117818838744066
operate	0.024117818838744066
introduce	0.023980471146062807
hint	0.023913901270496477
favour	0.02390600131041561
retire	0.023876015979607042
recognize	0.02377519684334312
rebuke	0.02373628896144435
busy	0.02373628896144435
declare	0.023409446673295437
own	0.023409446673295437
insult	0.023353621712438447
marry	0.023293817588694553
plague	0.023261328883937026
board	0.022997679537248877
lisp	0.022997679537248877
particularize	0.022857916725850712
prayer	0.022857916725850712
an’t	0.022857916725850712
barrack	0.022857916725850712
secede	0.022857916725850712
tattle	0.022857916725850712
cash	0.022857916725850712
hereditary	0.022857916725850712
twaddle	0.022857916725850712
famou	0.022857916725850712
temporise	0.022857916725850712
vend	0.022857916725850712
victimise	0.022857916725850712
honour	0.02283865835217315
befit	0.022810222328908874
church	0.022810222328908874
somebody	0.022656210646807562
people	0.022656210646807562
depose	0.022656210646807562
intercede	0.022656210646807562
arrival	0.022648997270388056
hire	0.02264332940202224
get	0.022641575446501895
howl	0.022481363902141376
assemble	0.022470380843872578
despatch	0.022443380043713476
sneer	0.022443380043713476
render	0.022290624654563582
reconcile	0.022124483727573262
ejaculate	0.021918402813114073
land	0.02191383453454764
commission	0.02165232081438018
discomfit	0.02165232081438018
thrive	0.02165232081438018
drum	0.02165232081438018
dispatch	0.02165232081438018
cock	0.02165232081438018
survey	0.02146266095862503
growl	0.021397677159008806
breed	0.021382166380475548
transaction	0.021279856390188135
gasp	0.0212568011293302
carve	0.021160003823672727
empower	0.02102426564758883
espy	0.02102426564758883
toast	0.02102426564758883
congregate	0.02102426564758883
demonstration	0.020906306911845
muster	0.020906306911845
entitle	0.020906306911845
array	0.020906306911845
fool	0.020769252841263804
decline	0.02057596121959715
welcome	0.02055468955376812
condole	0.020424104528752075
forego	0.020424104528752075
scour	0.020424104528752075
thump	0.020424104528752075
jingle	0.020424104528752075
whisk	0.020424104528752075
trip	0.020384097543349248
scold	0.02019904203934213
borrow	0.020031816894716694
pronounce	0.02002504566031558
pal	0.019996228598034047
bill	0.019996228598034047
shawle	0.019996228598034047
billet	0.019996228598034047
bivouac	0.019996228598034047
auction	0.019996228598034047
goose	0.019996228598034047
leaf	0.019996228598034047
carouse	0.019996228598034047
“hold	0.019996228598034047
aren’t	0.019996228598034047
mourn	0.0199704967315387
flee	0.019880188028945513
feast	0.0198202548053863
grudge	0.019671193414373705
celebrate	0.019671193414373705
sure	0.019671193414373705
pit	0.019610610588289064
cackle	0.019610610588289064
balk	0.019610610588289064
caricature	0.019610610588289064
strut	0.019610610588289064
sup	0.019384440736614186
captivate	0.019384440736614186
spy	0.019384440736614186
refresh	0.01932501860568497
loss	0.019294255070995255
pan	0.019294255070995255
gamble	0.019294255070995255
sell	0.01927670536034353
accustom	0.019267828737924788
frighten	0.019267828737924788
invite	0.019267828737924788
