Event(lemma)	weight _TfIdf
tel	0.5566799185584158
getten	0.4407049355254125
clem	0.2551449626726073
donnot	0.18555997285280526
wench	0.1623649762462046
fret	0.11116804273284292
hearken	0.10232922146564072
quieten	0.09277998642640263
seed	0.08742207151465607
waken	0.08601380093797666
axe	0.08220269206702077
dree	0.07508419080877446
trial	0.07447401327917508
hushaby	0.06958498981980198
loathe	0.06143842924141189
sail	0.060491210878697375
murder	0.059588147349830894
ta'en	0.05731775215253332
hoist	0.056445238089250706
rejection	0.05116461073282036
folk	0.0501418781297471
abide	0.04877450391509512
upbraid	0.048381632647929176
ascertain	0.04695498338093431
delegate	0.046389993213201315
disremember	0.046389993213201315
grime	0.046389993213201315
know'st	0.046389993213201315
uprise	0.046389993213201315
lodge	0.04598543924003291
compress	0.04536726061012805
sicken	0.04536726061012805
hange	0.04446721709313717
bully	0.04331646868691102
comfort	0.042996330317044446
copy	0.04127073408200357
will	0.041146773493884146
gie	0.041101346033510386
croon	0.041101346033510386
mourn	0.04108911077471729
deaden	0.040774191311139935
grieve	0.0397557108695536
stitch	0.03844547782165566
jilt	0.03844547782165566
wad	0.038211834768355546
vengeance	0.038211834768355546
inculpate	0.038211834768355546
spunge	0.038211834768355546
wi	0.037874640462478446
iron	0.03619642661375249
comb	0.03609705723909252
daunt	0.03609705723909252
loiter	0.035770735970087814
empower	0.03514649977454489
screech	0.03514649977454489
durst	0.03514649977454489
loom	0.03494930683811995
bethink	0.034193398584545634
apron	0.03342791875316473
conjecture	0.033133741397946184
await	0.03296385324306741
a-crown	0.03278327681799603
blanch	0.03225442176528612
dread	0.0320707372273994
bustle	0.03140677616898002
coax	0.03140677616898002
dim	0.03140677616898002
purchase	0.031095454098740333
gasp	0.031093327945182103
sank	0.030901008515202902
misdoubt	0.03069876643969222
adduce	0.03069876643969222
off	0.03050568280970166
sarve	0.03003367632350978
affright	0.03003367632350978
slacken	0.029124422365099954
still	0.028877645791274015
gladden	0.028834108366241742
bless	0.028609566381154243
recognise	0.02839693633539543
hush	0.02817299002856059
plan	0.027772884009553734
get	0.02745305876276246
chime	0.027354718867636508
propitiate	0.027354718867636508
avenge	0.027354718867636508
earn	0.02671192812233799
none	0.02631153808354951
scold	0.02626319441582045
lull	0.02617231347415002
undress	0.02617231347415002
creak	0.02617231347415002
row	0.025924148920073175
patter	0.025924148920073175
crow	0.025607402795209802
ax	0.025249760308318964
neighbour	0.025249760308318964
smirk	0.025249760308318964
depose	0.025249760308318964
ache	0.02476139036001772
rock	0.02476139036001772
vex	0.02476139036001772
strengthen	0.024746404450376198
insure	0.02457537169656476
bear	0.0243196891085767
starve	0.02430127350835952
sorrow	0.024190816323964588
obtain	0.024157683426785023
cook	0.02384715731339188
brace	0.023488967003726567
sew	0.023488967003726567
cuff	0.023430999849696595
faith	0.023430999849696595
deliberate	0.023430999849696595
hanker	0.023430999849696595
-d	0.023194996606600658
alone	0.023194996606600658
cotch	0.023194996606600658
disburden	0.023194996606600658
dolly	0.023194996606600658
errand	0.023194996606600658
fidge	0.023194996606600658
fra	0.023194996606600658
frab	0.023194996606600658
frabbit	0.023194996606600658
generalise	0.023194996606600658
geten	0.023194996606600658
gladnes	0.023194996606600658
huzza	0.023194996606600658
might'st	0.023194996606600658
mischosen	0.023194996606600658
moider	0.023194996606600658
n'old	0.023194996606600658
noddle	0.023194996606600658
nought	0.023194996606600658
o	0.023194996606600658
overact	0.023194996606600658
parsecute	0.023194996606600658
pertinaciou	0.023194996606600658
plop	0.023194996606600658
policeman	0.023194996606600658
posset	0.023194996606600658
ruck	0.023194996606600658
sha'not	0.023194996606600658
shanna	0.023194996606600658
silly	0.023194996606600658
snapt	0.023194996606600658
thou	0.023194996606600658
thou'lt	0.023194996606600658
toke	0.023194996606600658
unbury	0.023194996606600658
undisturb	0.023194996606600658
unfetter	0.023194996606600658
weakly	0.023194996606600658
whale	0.023194996606600658
whatten	0.023194996606600658
yo	0.023194996606600658
bide	0.022879262107276244
nurse	0.022602400718901374
violence	0.02256546825776241
cough	0.022233608546568584
evade	0.022233608546568584
realise	0.022233608546568584
strive	0.02215595495824531
exclaim	0.022151226534006314
doze	0.022089160931964124
implore	0.021996803955889953
shade	0.021996803955889953
career	0.021855517878664018
couch	0.021855517878664018
intimidate	0.021855517878664018
unburden	0.021855517878664018
exculpate	0.021855517878664018
check	0.021498165158522223
hire	0.02102950374536468
awe	0.020937850779320016
anticipate	0.020824419979289983
soothe	0.0206006723434686
bade	0.020547637017183068
reckon	0.020547637017183068
boil	0.020544555387358644
assault	0.020516039150727382
fast	0.020516039150727382
slight	0.020516039150727382
molest	0.020465844293128144
snarl	0.020465844293128144
stint	0.020465844293128144
dispirit	0.020465844293128144
outwit	0.020465844293128144
craze	0.020465844293128144
gulp	0.020465844293128144
misgive	0.020465844293128144
injure	0.019988567964759923
meddle	0.019872631094493234
gush	0.019840109724060966
mar	0.019840109724060966
redden	0.019840109724060966
wrought	0.019840109724060966
rankle	0.01944311169005488
spy	0.01944311169005488
convict	0.01944311169005488
uphold	0.01944311169005488
execrate	0.01922273891082783
smoulder	0.01922273891082783
spit	0.01922273891082783
beget	0.01922273891082783
elbow	0.01922273891082783
borrow	0.019135664060763283
ar	0.019105917384177773
loath	0.019105917384177773
obligate	0.019105917384177773
attaint	0.019105917384177773
marble	0.019105917384177773
swap	0.019105917384177773
secret	0.019105917384177773
untwist	0.019105917384177773
rampage	0.019105917384177773
shallow	0.019105917384177773
sleek	0.019105917384177773
cockle	0.019105917384177773
interlard	0.019105917384177773
nigh	0.019105917384177773
patient	0.019105917384177773
spike	0.019105917384177773
raven	0.019105917384177773
ignorant	0.019105917384177773
belove	0.019105917384177773
favourable	0.019105917384177773
hatre	0.019105917384177773
impale	0.019105917384177773
indent	0.019105917384177773
kind	0.019105917384177773
raze	0.019105917384177773
short	0.019105917384177773
quit	0.019093857756568192
quiver	0.018931290890263623
forfeit	0.018791173602981253
extract	0.018759424582728893
adjust	0.018759424582728893
bewilder	0.018631743137385925
toss	0.01849287331546476
yell	0.018431528772423572
undeceive	0.018431528772423572
chastise	0.018098213306876245
don	0.018098213306876245
equalle	0.018098213306876245
retract	0.018098213306876245
sidle	0.018098213306876245
affront	0.018098213306876245
gift	0.018098213306876245
baulk	0.018098213306876245
action	0.018025588300535026
moan	0.017976485963938815
surround	0.017976485963938815
consequence	0.017786886837254868
credit	0.017786886837254868
usher	0.017786886837254868
recur	0.017686707400012658
value	0.017686707400012658
despair	0.017686707400012658
fed	0.017621372459961482
grind	0.017621372459961482
imply	0.017621372459961482
wail	0.017474653419059974
cluster	0.017474653419059974
overflow	0.017474653419059974
arrest	0.0174082503243356
compel	0.0174082503243356
state	0.017358052505971087
cheer	0.017198532126817778
choke	0.017198532126817778
puzzle	0.017198532126817778
cap	0.017071601863473198
anchor	0.017071601863473198
jingle	0.017071601863473198
pawn	0.017071601863473198
apprentice	0.017071601863473198
obstruct	0.017071601863473198
brook	0.017071601863473198
waylay	0.017071601863473198
threaten	0.01703816180123726
require	0.01698260700940484
spare	0.01698260700940484
hinder	0.016823602996291744
smote	0.016823602996291744
grumble	0.016743706053167873
heed	0.016743706053167873
ponder	0.016743706053167873
summut	0.016713959376582366
uncomplain	0.016713959376582366
mother	0.016713959376582366
redemption	0.016713959376582366
innocent	0.016713959376582366
overbalance	0.016713959376582366
unnatural	0.016713959376582366
pish	0.016713959376582366
asleep	0.016713959376582366
shutter	0.016713959376582366
spel	0.016713959376582366
botanise	0.016713959376582366
wafer	0.016713959376582366
crook	0.016713959376582366
oppression	0.016713959376582366
'that	0.016713959376582366
collate	0.016713959376582366
crib	0.016713959376582366
criminate	0.016713959376582366
jerk	0.016566870698973092
throng	0.016566870698973092
clash	0.016566870698973092
arise	0.016548015963254815
tidy	0.01612721088264306
disentangle	0.01612721088264306
plough	0.01612721088264306
wedge	0.01612721088264306
alleviate	0.01612721088264306
woo	0.01612721088264306
testify	0.015898104875594586
name	0.0158265686363832
experience	0.015825682113032365
haunt	0.01576532111624963
cram	0.01570338808449001
rend	0.01570338808449001
relinquish	0.015651661126978102
stricken	0.015651661126978102
hasten	0.015450504257601451
labour	0.015408416540518983
ail	0.01525284140485083
befit	0.01525284140485083
rummage	0.01525284140485083
sling	0.01525284140485083
tarry	0.01525284140485083
overshadow	0.01525284140485083
limp	0.01525284140485083
weak	0.01525284140485083
astound	0.01525284140485083
emit	0.01525284140485083
pout	0.01525284140485083
word	0.01525284140485083
determine	0.01521785445806077
speech	0.01521785445806077
bed	0.015145032712210897
irritate	0.015145032712210897
oppress	0.015145032712210897
weep	0.01509855214174064
romance	0.01501683816175489
dirty	0.01501683816175489
disclosure	0.01501683816175489
resistance	0.01501683816175489
drudge	0.01501683816175489
unpin	0.01501683816175489
candle	0.01501683816175489
chisel	0.01501683816175489
scald	0.01501683816175489
blackguard	0.01501683816175489
forecast	0.01501683816175489
white	0.01501683816175489
frizzle	0.01501683816175489
squash	0.01501683816175489
belly	0.01501683816175489
blear	0.01501683816175489
gabble	0.01501683816175489
refit	0.01501683816175489
cull	0.01501683816175489
entrench	0.01501683816175489
typify	0.01501683816175489
wan	0.01501683816175489
bronze	0.01501683816175489
painful	0.01501683816175489
salve	0.01501683816175489
unlace	0.01501683816175489
harden	0.015007539666183114
lurk	0.015007539666183114
puff	0.015007539666183114
scorn	0.015007539666183114
totter	0.015007539666183114
dazzle	0.015007539666183114
reveal	0.014889985141292576
aggravate	0.014880082293045724
joke	0.014880082293045724
weaken	0.014880082293045724
reply	0.014868204315044056
love	0.014836333884556734
death	0.014806119546070098
utter	0.01476748435600421
peer	0.0146844770499679
picture	0.0146844770499679
procure	0.0146844770499679
prompt	0.0146844770499679
stun	0.0146844770499679
beg	0.014609140279738338
rest	0.014609140279738338
belie	0.014438822895637008
redouble	0.014438822895637008
single	0.014438822895637008
entrance	0.014438822895637008
implicate	0.014438822895637008
unravel	0.014438822895637008
tug	0.014438822895637008
penetrate	0.014383345912028146
render	0.014332110105681481
aware	0.014162962236134662
flit	0.014149365920010128
glide	0.014149365920010128
steady	0.014149365920010128
warrant	0.014093380202235939
yearn	0.014093380202235939
cause	0.013973439579011673
accompany	0.01393517133747774
occasion	0.013886442004776867
re-serve	0.013748002472431221
larn	0.013700448677836796
corrode	0.013700448677836796
spoon	0.013700448677836796
bruit	0.013700448677836796
fel	0.013700448677836796
over-burden	0.013700448677836796
rebut	0.013700448677836796
meander	0.013700448677836796
mercy	0.013700448677836796
tyrannise	0.013700448677836796
queer	0.013700448677836796
seethe	0.013700448677836796
bell	0.013700448677836796
dandle	0.013700448677836796
here	0.013700448677836796
broil	0.013700448677836796
'go	0.013700448677836796
savage	0.013700448677836796
chink	0.013700448677836796
dizzy	0.013700448677836796
perjure	0.013700448677836796
husband	0.013700448677836796
abstract	0.013677359433818254
pry	0.013677359433818254
resound	0.013677359433818254
low	0.013677359433818254
unpack	0.013677359433818254
combat	0.013677359433818254
characterise	0.013677359433818254
hop	0.013677359433818254
glimmer	0.013340165127941152
rake	0.013340165127941152
term	0.013340165127941152
block	0.013340165127941152
assistance	0.013340165127941152
hiss	0.013340165127941152
veil	0.013340165127941152
cherish	0.013325711976506616
overtake	0.013325711976506616
