Event(lemma)	weight _TfIdf
wot	0.3057370969118927
von’t	0.3019426446351061
don’t	0.2978325466107147
rejoin	0.2227317809772053
ven	0.21567331759650438
vant	0.17765195907800768
can’t	0.1514538499573303
ain’t	0.139630600559511
rekilect	0.1294039905579026
s’pose	0.1294039905579026
ve’ve	0.1294039905579026
vo	0.1294039905579026
‘co	0.1294039905579026
hood	0.10659117544680459
reply	0.10621000718566367
behold	0.10325504533201756
alvay	0.08626932703860175
confect	0.08626932703860175
decapitate	0.08626932703860175
particularise	0.08626932703860175
svear	0.08626932703860175
seed	0.08128739363281146
garnish	0.08128739363281146
quaff	0.07643427422797318
comply	0.07442426621289995
avouch	0.07106078363120306
immure	0.07106078363120306
vish	0.07106078363120306
gibber	0.07043371895982933
didn’t	0.06731282220325792
exclaim	0.06728290048236965
transmogrify	0.062164356047284895
methought	0.062164356047284895
“and	0.06026242747829213
cry	0.05800510803817214
eyee	0.05673000887823137
portend	0.05585224022380439
arter	0.05585224022380439
issue	0.05581765625860475
quit	0.054875946037862174
expiate	0.053621459116875186
plain	0.05095618281864878
begrime	0.05095618281864878
wrest	0.050484616652443436
proportion	0.050484616652443436
won’t	0.050484616652443436
inscribe	0.04867144213799376
expire	0.0482099419826337
festoon	0.04695581263988622
befall	0.0443474566541765
decorate	0.04368134668462856
deface	0.043573547846514356
shan’t	0.043573547846514356
adwise	0.04313466351930088
arterward	0.04313466351930088
avay	0.04313466351930088
buff	0.04313466351930088
comin’	0.04313466351930088
conductor	0.04313466351930088
crooken	0.04313466351930088
dhrive	0.04313466351930088
disobleege	0.04313466351930088
groin	0.04313466351930088
haant	0.04313466351930088
han’t	0.04313466351930088
ha’n’t	0.04313466351930088
larf	0.04313466351930088
mislest	0.04313466351930088
page	0.04313466351930088
parpetrate	0.04313466351930088
perduce	0.04313466351930088
perwail	0.04313466351930088
ransom	0.04313466351930088
reckilect	0.04313466351930088
unlight	0.04313466351930088
unoccupy	0.04313466351930088
untrim	0.04313466351930088
vait	0.04313466351930088
vat	0.04313466351930088
vonder	0.04313466351930088
