Event(lemma)	weight _TfIdf
don’t	0.15910953745076195
expire	0.15023719311609404
appall	0.14242067791154203
accomplish	0.140431052844149
analyze	0.133680932641
bereft	0.12703626785266853
moulder	0.12703626785266853
intensity	0.11497860181439776
hew	0.10443178467411761
travele	0.0952772008895014
beseech	0.09451882216925644
affirm	0.09346138626458637
render	0.0930253070366405
blast	0.09264055084969747
blest	0.08912062176066668
wanton	0.08857901282874601
freight	0.08857901282874601
exult	0.08839418747264553
minister	0.08545240674692522
devote	0.0830583098541433
chain	0.0810161332879341
terminate	0.08048502127007842
perish	0.0798207974141299
paralyze	0.07914750231905256
carol	0.07748939725152816
constrain	0.07622982070968687
profane	0.07599505010511623
sear	0.07599505010511623
pine	0.072804178235521
veil	0.07215574839733871
commune	0.07116293794246402
exclaim	0.07017676193788139
design	0.06957808002036212
embody	0.06751344440661175
consecrate	0.06694139060623093
entrance	0.06694139060623093
effect	0.06653769346330725
shrink	0.06582705602069484
labour	0.0654835763211392
manifest	0.06533984632258874
assemble	0.06530792515701538
reciprocate	0.06351813392633426
enact	0.06341108738148643
consign	0.06341108738148643
detail	0.06341108738148643
scoff	0.06341108738148643
stake	0.06293031511332071
ennoble	0.06293031511332071
engulf	0.06293031511332071
discern	0.06176036723313164
fulfill	0.0609928856746983
crave	0.06067014852960084
pervert	0.05936062673928942
movement	0.05853157420552721
glide	0.057399481800700466
rage	0.057399481800700466
despair	0.057399481800700466
chill	0.05736474290134025
remedy	0.056968271164616814
undeceive	0.056968271164616814
bewilder	0.05647965070081744
quit	0.05633288301650636
attest	0.056076831758751826
procure	0.0544642355491274
cower	0.054010755525289396
been.”	0.05376841793737348
blacknes	0.05376841793737348
christianize	0.05376841793737348
davvero	0.05376841793737348
effectcd	0.05376841793737348
en	0.05376841793737348
expedient	0.05376841793737348
forgiven.”	0.05376841793737348
good‐look	0.05376841793737348
grade	0.05376841793737348
havoc	0.05376841793737348
heart‐break	0.05376841793737348
height	0.05376841793737348
ill‐use	0.05376841793737348
incase	0.05376841793737348
labele	0.05376841793737348
