Event(lemma)	weight _TfIdf
don’t	0.7541979984067646
can’t	0.3120344933608653
won’t	0.1825107413997514
didn’t	0.1295237519611139
wouldn’t	0.09320704387500503
soliloquize	0.0821387884538181
ink	0.07816089359753464
retort	0.07685738789079226
ejaculate	0.07492311381668491
pummel	0.07130923965566305
wasn’t	0.07109714063276745
exclaim	0.06869633849759603
shan’t	0.06097781258641356
“lock	0.06036362789008803
respond	0.05545648250384376
clank	0.05437138240898449
deliberate	0.05335558601311187
flog	0.0529869894386375
foam	0.04998133088070052
asperse	0.04972203734442767
screen	0.04925525294508766
halter	0.04670717589366022
shouldn’t	0.045733359439810176
doesn’t	0.044568274784789405
haven’t	0.042658284379660474
interpose	0.04177031950586536
fellow	0.04106939422690905
propel	0.04106939422690905
cough	0.04050317001572293
grumble	0.040462054212060575
hobble	0.04004384784175494
flock	0.03969463149509288
liquidate	0.03908044679876732
ain’t	0.03908044679876732
shriek	0.037567294599378034
elbow	0.03751954392325677
cane	0.03729152800832075
chime	0.03559453141489328
“thank	0.035324659625758335
“have	0.034732802558206266
reiterate	0.033620767800957956
decamp	0.03328822995535894
peal	0.03328822995535894
suspect	0.03314718431002885
article	0.032622829445390696
key	0.032622829445390696
purport	0.032622829445390696
debate	0.03227045634544637
post	0.03220053822803831
suppress	0.031823919298068014
hoist	0.03147759535609761
“are	0.03147759535609761
revolve	0.031145214988031616
forfeit	0.030564334364507232
“when	0.03048890629320678
punish	0.03034446571248902
vouchsafe	0.030317845248752598
gallivant	0.030181813945044014
“mark	0.030181813945044014
“told	0.030181813945044014
implant	0.029437216354798613
service	0.029310335099075494
resume	0.02930403250596754
despatch	0.029292186004160153
remonstrate	0.029292186004160153
proceed	0.028814941960202442
disobey	0.02874287747302167
ascertain	0.02851277561744761
isn’t	0.028438856253106982
get	0.028197968147087398
stride	0.028167695599357633
worry	0.027800155852861316
scrutinize	0.027767406044833617
solicit	0.027767406044833617
deem	0.027617175605658278
vex	0.027617175605658278
accuse	0.026770520450903487
contrive	0.02675084745245389
personate	0.026740964870873643
reprimand	0.026740964870873643
“don’t	0.026740964870873643
snarl	0.026630583964287153
tilt	0.026630583964287153
clatter	0.02652811459265852
debar	0.026231329463414672
avow	0.025816365076357095
allude	0.025400163646590694
sanction	0.025299782944350653
depart	0.025176475288240806
infer	0.02515001778889396
croak	0.02501302928217118
relate	0.024899725668960353
“bee	0.024861018672213835
“gone	0.024861018672213835
equivocate	0.024861018672213835
reference	0.024861018672213835
“know	0.024861018672213835
off	0.024809144684433047
grunt	0.024809144684433047
arouse	0.02443952195781224
utter	0.02401969877538323
reply	0.023799656982615
rejoin	0.023715993413258758
atone	0.02354977308383889
conclusion	0.023485122331163864
blurt	0.023485122331163864
seal	0.0233913789232846
