Event(lemma)	weight _TfIdf
hinder	0.3236725403011733
defer	0.14056522796667453
imply	0.13744093814568487
vote	0.12379709013399856
presuppose	0.10931799481840647
waive	0.10503459561549942
nullify	0.09973508147593851
recognize	0.0992000119765919
concur	0.08513434000996287
revoke	0.07955074711726724
hev	0.07947728143974041
speechify	0.07877594671162458
preconceive	0.07808428201314749
bet	0.07621057902960016
renounce	0.07621057902960016
adjust	0.07413413527170593
dimple	0.07310165217495757
rumore	0.07236535295172214
twit	0.07236535295172214
warrant	0.06839700196657186
ride	0.06694937591059565
allege	0.06389328543939751
frill	0.06246742561051799
interpret	0.06185276942249932
construction	0.0609180434791313
preoccupy	0.060659963171979095
prearrange	0.05960796107980531
discern	0.05887771891314653
sale	0.0574294086766572
discriminate	0.056991475129107724
purse	0.05682196222661946
get	0.05673549843352427
disprove	0.056464056277333266
offensive	0.056464056277333266
exasperate	0.05374050154516361
due	0.05374050154516361
inevitable	0.05320896250622679
regard	0.05298351067342884
further	0.052555110119954784
deduce	0.05251729780774971
humore	0.05251729780774971
cheapen	0.05214536522772911
disobey	0.05168646780899148
vex	0.05150153093701069
wince	0.05086836191058838
exclude	0.050723355712219836
shape	0.050723355712219836
quit	0.050544528041544114
reopen	0.049977024124856634
brew	0.049977024124856634
oblige	0.049376822286777415
marry	0.04908661488236227
discontent	0.048992515090457246
vent	0.04885500140469419
impute	0.048734434783305046
abundance	0.048243568634481426
dissimulate	0.048243568634481426
upo	0.048243568634481426
recur	0.04782285015579563
swerve	0.047179971355983744
quell	0.04705338023111106
smart	0.04705338023111106
unsuit	0.04685056920788849
seat	0.04684049494317622
sketch	0.04682155911897216
wrought	0.046423908800249464
incur	0.04624396537326216
conjecture	0.04594352694132576
differ	0.045813646048561626
espouse	0.04545756978129557
shrink	0.04528174778070204
study	0.04528174778070204
foresee	0.04487415631931706
contradict	0.04477557511245728
decline	0.044714307310803406
perturb	0.04438430247315911
apprentice	0.04438430247315911
pelt	0.04438430247315911
plenty	0.043548902302628666
shrank	0.04332388117846639
observe	0.043094206793382016
free	0.042891967960690225
offend	0.04284760058278121
reseat	0.04274360634683079
worse	0.04256717000498143
narrow	0.04240337971152527
repress	0.042320315920657436
