Event(lemma)	weight _TfIdf
don’t	0.2708613609024976
revolution	0.13986414849120932
deem	0.12563287086242556
can’t	0.11958687884948191
quit	0.10896133903121473
recognize	0.10833209646872212
pardon	0.09460431145672392
commence	0.09307879977558534
necessitate	0.08944393441659655
suffice	0.08790775534360838
ascertain	0.0853222331276199
excel	0.08472690946021098
honour	0.08247555357765676
sale	0.08210121320817326
bequeath	0.08119287655432463
evince	0.07754003469660807
estrange	0.07751807649438368
affiance	0.07441964472549985
elect	0.0737234000273259
comprehend	0.07309928293633788
accost	0.07216662861714064
intrust	0.07050211080221988
repute	0.07050211080221988
war	0.07025138963854632
denounce	0.06958981952903051
vulgarize	0.0690251228522895
annul	0.06773555713018577
retract	0.06726761935283357
lodge	0.06719897743804157
concede	0.06660197547200443
divine	0.06549529254696272
conjecture	0.06385649916191254
fraternise	0.06312272346413839
foreclose	0.06312272346413839
merge	0.06254441146818857
converse	0.061977969781371774
renounce	0.060528231690646354
revere	0.059793439424740955
incur	0.05876486936166453
achieve	0.05821803781952242
beauty	0.05747426283345766
decentralise	0.05747426283345766
aspire	0.057354824561645305
reseat	0.056579960009005455
remit	0.056579960009005455
solicit	0.0564016886417759
comprise	0.0564016886417759
insure	0.05582010263109818
recoil	0.05580744363540229
court	0.05580744363540229
consolidate	0.0552200982818316
condescend	0.05509206502656049
select	0.05501419661107709
espouse	0.05415520425479212
woo	0.05328158037760355
edit	0.05213808912669971
dishonour	0.05213808912669971
render	0.05208595772367794
suppress	0.05141926069145646
reappear	0.05044232633448614
institute	0.05039281133069723
betroth	0.04961309648366656
imbibe	0.04935147756155392
vie	0.04935147756155392
resign	0.04921729314629266
underrate	0.04838254080727555
enrich	0.048177567366251894
sadden	0.04811108574476043
single	0.047703431688851494
unite	0.047692131596818316
conjoin	0.04734204259810379
“charm	0.04734204259810379
‘give	0.04734204259810379
compel	0.04705684223420839
retain	0.04705684223420839
recognise	0.04690934027099713
devote	0.046167098891441806
imply	0.046089279940455245
volunteer	0.04595907122915483
transfer	0.04595907122915483
augment	0.045263968007204364
append	0.045263968007204364
advocate	0.04512933687899343
inaugurate	0.04512933687899343
rebuke	0.045064505012721315
commission	0.04484507956855571
invest	0.04401135728886167
glide	0.04382542006828798
ascribe	0.04282450432555724
predict	0.04282450432555724
confide	0.042428700988183334
oppose	0.042428700988183334
dominate	0.04230126648133193
betoken	0.04230126648133193
mortgage	0.04225980764881622
declaim	0.04225980764881622
concur	0.04225980764881622
organise	0.04171047130135977
treble	0.04171047130135977
depose	0.04171047130135977
task	0.04171047130135977
charm	0.04148878220711069
domicile	0.0414150737113737
requite	0.0414150737113737
reside	0.04126064745830781
subject	0.04090372539706878
constitute	0.04028568035789165
establish	0.04024824005920568
presume	0.040143651222026476
adjourn	0.03996118528320266
discipline	0.03969292628341568
seat	0.03964128482676583
disdain	0.03953922441476512
consign	0.03953922441476512
redeem	0.039393489624989855
decline	0.039064468292758454
covet	0.038911006086844085
inscribe	0.038911006086844085
contrive	0.038812025213014946
instruct	0.038812025213014946
proclaim	0.038812025213014946
rear	0.038801789488066264
assign	0.038801789488066264
decorate	0.038801789488066264
style	0.03870603264582043
impose	0.0385226635941766
acquit	0.03848886859580835
efface	0.03848886859580835
acquaintance	0.038316175222305106
gallantise	0.038316175222305106
madame	0.038316175222305106
predetermine	0.038316175222305106
reanimate	0.038316175222305106
reenter	0.038316175222305106
resettle	0.038316175222305106
“permit	0.038316175222305106
“since	0.038316175222305106
esteem	0.03798203072584958
hazard	0.037471441284862586
sympathise	0.037471441284862586
transmit	0.037471441284862586
refine	0.037471441284862586
“and	0.037471441284862586
invoke	0.0373708996404631
rebuild	0.0373708996404631
forestall	0.0373708996404631
sap	0.0373708996404631
create	0.0372762475633103
“suppose	0.037209822362749924
forsake	0.037186781868823064
frequent	0.036728043351040324
halter	0.03648942809252145
meditate	0.03638627363720151
combine	0.03619731102383874
overrate	0.03610346950319475
restrict	0.03610346950319475
enlist	0.03577757376663862
menace	0.03577757376663862
favour	0.0357592277972001
launch	0.0357592277972001
obtain	0.03574953039651203
borrow	0.035561813320380595
deign	0.035521883492517024
withhold	0.035521883492517024
forego	0.03525105540110994
beautify	0.03525105540110994
corrupt	0.03525105540110994
encounter	0.03440884390459412
state	0.03440884390459412
extend	0.034329381226969546
exclude	0.03408788337975448
survive	0.034065808283441655
introduce	0.03405738152312997
“listen	0.03394797600540327
assassination	0.03394797600540327
reconcile	0.033942960790546664
molest	0.03380784611905298
recite	0.033677760021332305
muse	0.03361178880785026
relinquish	0.03361178880785026
conspire	0.033300987736002215
attest	0.033300987736002215
inspire	0.03311134314748747
detect	0.032836538189697985
undertake	0.032836538189697985
request	0.03216530477184497
contribute	0.03213864138341119
contract	0.03213864138341119
expire	0.03211837824416793
pocket	0.03211837824416793
sanction	0.03211837824416793
alienate	0.031754341026732545
adjoin	0.031754341026732545
gesticulate	0.031754341026732545
embellish	0.031754341026732545
embrown	0.03156136173206919
assess	0.03156136173206919
abnegate	0.03156136173206919
“accept	0.03156136173206919
“pardon	0.03156136173206919
‘may	0.03156136173206919
remarry	0.03156136173206919
“accord	0.03156136173206919
“call	0.03156136173206919
circumscribe	0.03156136173206919
process	0.03156136173206919
pain	0.03153477048557465
gall	0.03149550708168577
“have	0.03149550708168577
habituate	0.031282853476019834
intersperse	0.031282853476019834
dupe	0.031282853476019834
colour	0.031185013385762017
wed	0.03104143159045301
due	0.03104143159045301
humble	0.03104143159045301
pledge	0.031026266591861782
extract	0.030988984890685887
scold	0.030988984890685887
adopt	0.030548664711491997
dine	0.030493296020589103
circulate	0.030447328707871736
crown	0.030257808136092395
absolve	0.029896719712370477
characterize	0.029896719712370477
enamour	0.029896719712370477
ennoble	0.029896719712370477
intoxicate	0.029814644805532184
confine	0.029695636423571505
link	0.029545117218742388
merit	0.029545117218742388
banish	0.0295237005123161
regain	0.029350600833658366
fascinate	0.029216946712191987
adore	0.02910901890976121
invite	0.02909845497390514
deform	0.029029524484365327
beggar	0.029029524484365327
hallow	0.029029524484365327
fuse	0.029029524484365327
scheme	0.029029524484365327
prepossess	0.029029524484365327
compliment	0.02886665144685626
embody	0.02886665144685626
advertise	0.02886665144685626
insult	0.028851516671964665
permit	0.028774657514268377
furnish	0.0287132940027508
correspond	0.028677412280822653
confer	0.028677412280822653
designate	0.02820084432088795
sell	0.028055291076411665
chafe	0.02779117113959705
cheat	0.02779117113959705
dispel	0.02779117113959705
repair	0.027659188138073797
acknowledge	0.02764983866931558
obfuscate	0.0276100491409158
reassume	0.0276100491409158
remount	0.0276100491409158
signalize	0.0276100491409158
unfair	0.0276100491409158
exorcise	0.0276100491409158
cede	0.0276100491409158
cherish	0.027516188281554717
educate	0.027516188281554717
throng	0.027367071069391086
aid	0.027252646626753325
free	0.027252646626753325
dispose	0.02722675062828619
