Event(lemma)	weight _TfIdf
evidence	0.17001680833772556
comply	0.15597077543063534
telegraph	0.13887198052910169
realize	0.1229607810650034
barrel	0.10581295181366704
rejoin	0.10254173365378871
hinder	0.10093738563639157
word	0.09855268903502849
drape	0.09445378240984753
swaddle	0.0925657398474095
prick	0.08672485714736053
numb	0.08563947349927364
apostrophize	0.08316669337842363
imply	0.08132600132479958
recognise	0.07688694217987704
retrace	0.07136198923828813
outspread	0.07054196787577803
monopolize	0.07039477788216321
lug	0.06991948141216608
assail	0.0692626634813585
defer	0.06805202202133023
feign	0.06764252778042752
renounce	0.06764252778042752
traverse	0.06603551289781379
credit	0.06567190544447804
acquiesce	0.0653020276468484
redden	0.06409612845756027
minimize	0.06171049323160633
blench	0.06171049323160633
adjure	0.06052043494318023
disclaim	0.06052043494318023
rearrange	0.06052043494318023
dictate	0.059639067638186355
pleasure	0.059544128090464006
snub	0.059544128090464006
interrogate	0.059544128090464006
dim	0.05797930952608073
overhear	0.056890229490787335
flower	0.05667226944590852
dislodge	0.05667226944590852
bellow	0.05667226944590852
reply	0.055767043420681485
souse	0.05544446225228242
romp	0.05544446225228242
debouch	0.05544446225228242
dissever	0.05544446225228242
hackney	0.05544446225228242
cloud	0.0549395386779088
pierce	0.05421733421653305
fidget	0.053765909942143496
strangle	0.053765909942143496
cower	0.053765909942143496
tone	0.05331034152338387
cleave	0.05322996810879547
broaden	0.05322996810879547
wing	0.05322996810879547
exhilarate	0.05322996810879547
recur	0.05224162211747872
correct	0.05214937703322173
tease	0.05203491428841631
smell	0.0513609544760774
apologize	0.05097284945592009
stroll	0.05075972690897805
perfume	0.050584151029359245
fortunate	0.050584151029359245
twang	0.050584151029359245
preen	0.050584151029359245
underlie	0.050584151029359245
disproportion	0.050584151029359245
here	0.050584151029359245
hoot	0.050116027774197804
dissuade	0.050116027774197804
streak	0.050116027774197804
clad	0.04925392908335853
chase	0.04848386443695094
preoccupy	0.04785796053533463
bleach	0.04661298760811072
star	0.04661298760811072
interlace	0.04661298760811072
ascertain	0.04623066055278531
allude	0.04551901030168681
detect	0.04543319310629098
poise	0.04536801468088682
soar	0.04536801468088682
echo	0.04486200847353256
drench	0.044658096067848006
glorify	0.044658096067848006
prize	0.044658096067848006
ting	0.044658096067848006
climb	0.0438231283317352
divine	0.04337386737322644
hole	0.04325541677636089
phrase	0.04325541677636089
recapture	0.04325541677636089
wire	0.04325541677636089
intersect	0.04325541677636089
unfurl	0.04325541677636089
haggle	0.04325541677636089
lash	0.043012727953714795
'commit	0.04281973674963682
'red	0.04281973674963682
-o	0.04281973674963682
a-somethe	0.04281973674963682
bedazzle	0.04281973674963682
bench	0.04281973674963682
bung	0.04281973674963682
chaffer	0.04281973674963682
charter	0.04281973674963682
chivalrou	0.04281973674963682
colden	0.04281973674963682
covenant	0.04281973674963682
dew	0.04281973674963682
ding	0.04281973674963682
dome	0.04281973674963682
enthusiasm	0.04281973674963682
etherealize	0.04281973674963682
grove	0.04281973674963682
hyperbole	0.04281973674963682
imprecate	0.04281973674963682
interrogation	0.04281973674963682
lute	0.04281973674963682
malaria	0.04281973674963682
mammy	0.04281973674963682
measle	0.04281973674963682
moind	0.04281973674963682
murderer	0.04281973674963682
mystification	0.04281973674963682
outbalance	0.04281973674963682
paraît	0.04281973674963682
prank	0.04281973674963682
quir	0.04281973674963682
rehabilitate	0.04281973674963682
reshape	0.04281973674963682
s'il	0.04281973674963682
scant	0.04281973674963682
stampede	0.04281973674963682
tomfool	0.04281973674963682
tooth	0.04281973674963682
unconquer	0.04281973674963682
unexact	0.04281973674963682
unlucky	0.04281973674963682
unmollify	0.04281973674963682
vividnes	0.04281973674963682
whiten	0.042236866729297926
indicate	0.04172575944321291
issue	0.041557598088815095
writhe	0.04104494090279877
snatch	0.04090158644295285
attribute	0.04060778152718244
stray	0.04045182798368714
mimic	0.04034695662878682
overrate	0.04034695662878682
click	0.04034695662878682
companion	0.04034695662878682
hunger	0.04034695662878682
crane	0.04034695662878682
emphasize	0.04034695662878682
peruse	0.0399827561425379
top	0.0399827561425379
fondle	0.0399827561425379
allot	0.0399827561425379
administer	0.03918121658810904
conjure	0.03918121658810904
chafe	0.03882207139861214
heart	0.03845315012017077
stoop	0.03803041585105572
provoke	0.03795213395157314
spring	0.03793250858473901
announcement	0.03792681966052489
avert	0.03792681966052489
sprung	0.03792681966052489
reassure	0.03792681966052489
allay	0.03787417650793683
successful	0.03787417650793683
chide	0.037781512963939015
chair	0.037781512963939015
infringe	0.037781512963939015
sun	0.037781512963939015
burrow	0.037781512963939015
accompany	0.036980250261784274
intensity	0.036626359118605865
lapse	0.036626359118605865
delay	0.03594591252418276
transmit	0.035893470401500975
scribble	0.035893470401500975
narrate	0.035893470401500975
breed	0.03553180883628464
hark	0.035486645405863645
breast	0.035486645405863645
descry	0.035486645405863645
waddle	0.035486645405863645
stitch	0.035486645405863645
jilt	0.035486645405863645
reawake	0.035270983937889015
reabsorb	0.035270983937889015
mist	0.035270983937889015
amputate	0.035270983937889015
apprehension	0.035270983937889015
bracket	0.035270983937889015
