Event(lemma)	weight _TfIdf
bait	0.21384667798440235
cluck	0.20936668493282326
reset	0.20936668493282326
recognize	0.1991469190227387
don’t	0.19106405423086
weed	0.1581450119625122
flirt	0.1459303238395496
gentlenes	0.14527555790748434
gore	0.14527555790748434
resonant	0.14527555790748434
“dhoya	0.14527555790748434
“nor	0.14527555790748434
“till	0.14527555790748434
difficult	0.12818225405067782
circle	0.12177664632321814
jilt	0.12039640130775983
vegetate	0.1196647214223288
hoe	0.1196647214223288
island	0.1196647214223288
lade	0.10692333899220118
knit	0.10486965269142037
woman	0.10468334246641163
“because	0.10468334246641163
reascend	0.10468334246641163
slant	0.1010084027259957
flicker	0.09835390380539341
browse	0.09405388493717329
“say	0.09405388493717329
larger	0.09405388493717329
chirrup	0.09405388493717329
sentimentalize	0.09405388493717329
jealou	0.09405388493717329
friend	0.08580903713903543
market	0.08580903713903543
corner	0.08580903713903543
wood	0.08580903713903543
savage	0.08580903713903543
dizzy	0.08580903713903543
milk	0.0790725059812561
roof	0.0790725059812561
ready	0.0790725059812561
plait	0.0790725059812561
twitter	0.0790725059812561
draghunt	0.0790725059812561
cheat	0.07902754911175962
crawl	0.07468009463352701
cart	0.07337685004287052
enwrap	0.07337685004287052
tree	0.07337685004287052
unbutton	0.07337685004287052
unspeak	0.07337685004287052
scheme	0.07337685004287052
slacken	0.0729651619197748
flower	0.06409112702533891
useful	0.06409112702533891
fishes	0.06409112702533891
redden	0.06213156781166425
gladden	0.060198200653879916
criticize	0.060198200653879916
photograph	0.060198200653879916
recross	0.060198200653879916
fry	0.060198200653879916
outlive	0.056676620390987635
repass	0.056676620390987635
seclude	0.056676620390987635
rumble	0.056676620390987635
base	0.056676620390987635
shore	0.056676620390987635
didn’t	0.056676620390987635
glimmer	0.055701666021890146
rake	0.055701666021890146
grind	0.05518333886041594
meditate	0.05518333886041594
condole	0.05346166949610059
evaporate	0.05346166949610059
parry	0.05346166949610059
unroll	0.05346166949610059
plough	0.05050420136299785
allure	0.05050420136299785
saturate	0.05050420136299785
trample	0.04825321484974477
ail	0.047766013557715
entice	0.047766013557715
spill	0.047766013557715
limp	0.047766013557715
peel	0.047766013557715
“have	0.047766013557715
fulfil	0.04699782316853239
issue	0.04699782316853239
christen	0.04521682169796272
motion	0.04521682169796272
top	0.04521682169796272
ebb	0.04521682169796272
fence	0.04521682169796272
shipwreck	0.04521682169796272
“did	0.04521682169796272
fulfill	0.04494413686775159
hunt	0.04494413686775159
pace	0.04488263841784442
nurture	0.042832211966862266
avenge	0.042832211966862266
jostle	0.042832211966862266
intensify	0.042832211966862266
drift	0.04173098782326487
lap	0.040592215441072714
mould	0.040592215441072714
prey	0.040592215441072714
preoccupy	0.040592215441072714
spy	0.040592215441072714
row	0.040592215441072714
squander	0.040592215441072714
slope	0.040592215441072714
“and	0.040592215441072714
sway	0.03964794368770058
commence	0.03921197042561441
lounge	0.03921197042561441
centre	0.0384802905401834
reprove	0.0384802905401834
sympathize	0.0384802905401834
sort	0.0384802905401834
stem	0.0384802905401834
reform	0.0384802905401834
tire	0.037826271297878404
prejudice	0.0364825809598874
crumble	0.0364825809598874
gossip	0.0364825809598874
sniff	0.0364825809598874
pack	0.035906110734275534
feature	0.0345873641687244
number	0.0345873641687244
sum	0.0345873641687244
tip	0.0345873641687244
time	0.0345873641687244
temper	0.0344427509634135
deck	0.032784634601797806
dim	0.032784634601797806
nothe	0.032784634601797806
dye	0.032784634601797806
creak	0.032784634601797806
plant	0.032615233424195665
ascend	0.03216880989982985
rustle	0.03216880989982985
surround	0.03216880989982985
paint	0.03152189274823201
notice	0.031359951361053795
correspond	0.031065783905832124
debate	0.031065783905832124
marry	0.031040985743391144
leap	0.030178910849006146
comprehend	0.02996275791183439
dig	0.02996275791183439
compel	0.029735957765775433
exact	0.029423352320437933
rent	0.029423352320437933
splash	0.029423352320437933
sufficient	0.029423352320437933
perch	0.029423352320437933
approval	0.029423352320437933
dissolve	0.027850833010945073
drip	0.027850833010945073
relent	0.027850833010945073
tramp	0.027850833010945073
situate	0.027850833010945073
congratulate	0.02782065854884325
educate	0.02782065854884325
gaze	0.026687610846976947
tuck	0.026342516370586537
poke	0.026342516370586537
bade	0.025738908110055757
preach	0.025738908110055757
decision	0.025217514198585603
mutter	0.025217514198585603
lecture	0.024893364877842338
wet	0.024893364877842338
root	0.024893364877842338
spin	0.024893364877842338
improve	0.024192508669480327
ride	0.024192508669480327
chatter	0.02371419916663645
console	0.02371419916663645
happy	0.02371419916663645
rob	0.02371419916663645
chase	0.023498911584266195
harden	0.023498911584266195
ruffle	0.023498911584266195
scold	0.023498911584266195
shape	0.023498911584266195
dazzle	0.023498911584266195
remonstrate	0.023498911584266195
discourage	0.023498911584266195
grope	0.02215517707255949
loosen	0.02215517707255949
rage	0.02215517707255949
endow	0.02215517707255949
get	0.021950396562930644
absorb	0.021819789682706436
arise	0.021819789682706436
plan	0.021743488949463773
war	0.021743488949463773
scatter	0.021743488949463773
desert	0.021521394349926885
divide	0.021521394349926885
blow	0.0211252375943043
chat	0.020858600993279006
favour	0.020858600993279006
incident	0.020858600993279006
land	0.020858600993279006
rave	0.020858600993279006
realize	0.020858600993279006
falter	0.020858600993279006
weave	0.020858600993279006
climb	0.01982397184385029
toil	0.01982397184385029
wound	0.01982397184385029
submit	0.01982397184385029
love	0.01975535690663758
balance	0.019605985212807205
careful	0.019605985212807205
combine	0.019605985212807205
crouch	0.019605985212807205
hurl	0.019605985212807205
squeeze	0.019605985212807205
stray	0.019605985212807205
droop	0.019605985212807205
accustom	0.018913135648939202
crush	0.018913135648939202
nod	0.018498425027560036
pretend	0.018498425027560036
abuse	0.01839444628680531
caress	0.01839444628680531
lack	0.01839444628680531
mend	0.01839444628680531
peer	0.01839444628680531
pierce	0.01839444628680531
roar	0.01839444628680531
saunter	0.01839444628680531
slide	0.01839444628680531
flatter	0.017953055367137767
mix	0.017953055367137767
puzzle	0.017953055367137767
arrive	0.017919972206316456
hurry	0.017919972206316456
near	0.01722137548170675
post	0.01722137548170675
sail	0.01722137548170675
shade	0.01722137548170675
plunge	0.016364842262029826
travel	0.016364842262029826
brighten	0.016128339112986882
darken	0.016128339112986882
boil	0.016084404949914925
clutch	0.016084404949914925
cultivate	0.016084404949914925
heap	0.016084404949914925
pile	0.016084404949914925
rain	0.016084404949914925
tap	0.016084404949914925
flow	0.015250063341129685
engage	0.015089455424503073
spread	0.015089455424503073
crisi	0.014981378955917194
founder	0.014981378955917194
growth	0.014981378955917194
leane	0.014981378955917194
ponder	0.014981378955917194
stifle	0.014981378955917194
train	0.014981378955917194
quicken	0.014981378955917194
rely	0.014981378955917194
somethe	0.014981378955917194
delay	0.01434759623328459
reveal	0.01434759623328459
rub	0.01434759623328459
clean	0.013910329274421625
execute	0.013910329274421625
overlook	0.013910329274421625
resolution	0.013910329274421625
vary	0.013910329274421625
beckon	0.013910329274421625
blaze	0.013910329274421625
contrast	0.013910329274421625
disperse	0.013910329274421625
dance	0.013873818770670026
pray	0.013873818770670026
float	0.01343997915473734
cast	0.01330327960431049
content	0.012869454055027879
dart	0.012869454055027879
foresee	0.012869454055027879
match	0.012869454055027879
practise	0.012869454055027879
rule	0.012869454055027879
sang	0.012869454055027879
excite	0.012608757099292801
smoke	0.012608757099292801
thrust	0.012608757099292801
weep	0.012608757099292801
count	0.012071564339602457
fight	0.012071564339602457
sing	0.012071564339602457
acquire	0.011857099583318225
frame	0.011857099583318225
gleam	0.011857099583318225
heave	0.011857099583318225
irritate	0.011857099583318225
occupation	0.011857099583318225
quiver	0.011857099583318225
trip	0.011857099583318225
warm	0.011857099583318225
oppress	0.011857099583318225
burn	0.01182513742605377
reply	0.01182513742605377
need	0.011437547505847263
mark	0.011199982628947785
like	0.010975198281465322
display	0.010909894841353218
restore	0.010909894841353218
wave	0.010909894841353218
better	0.010871744474731887
control	0.010871744474731887
involve	0.010871744474731887
occasion	0.010871744474731887
renew	0.010871744474731887
resent	0.010871744474731887
shrank	0.010871744474731887
starve	0.010871744474731887
state	0.010871744474731887
violence	0.010871744474731887
deepen	0.010871744474731887
finish	0.010346995247797048
hang	0.010346995247797048
appoint	0.009911985921925145
approve	0.009911985921925145
attain	0.009911985921925145
flee	0.009911985921925145
glow	0.009911985921925145
rejoice	0.009911985921925145
gather	0.009511838510603278
complain	0.009249212513780018
lend	0.009249212513780018
own	0.009249212513780018
resolve	0.009249212513780018
separate	0.009249212513780018
brush	0.009053673254701843
contain	0.009053673254701843
murmur	0.009053673254701843
occur	0.009053673254701843
bewilder	0.008976527683568884
blush	0.008976527683568884
drown	0.008976527683568884
flutter	0.008976527683568884
haunt	0.008976527683568884
matter	0.008976527683568884
pity	0.008976527683568884
praise	0.008976527683568884
replace	0.008976527683568884
ruin	0.008976527683568884
devote	0.008976527683568884
delight	0.008959986103158228
light	0.008959986103158228
lock	0.008959986103158228
act	0.008868853069540328
mind	0.008868853069540328
save	0.008868853069540328
cry	0.008780158625172257
awake	0.008064169556493441
impress	0.008064169556493441
melt	0.008064169556493441
recommend	0.008064169556493441
sank	0.008064169556493441
soothe	0.008064169556493441
tempt	0.008064169556493441
wash	0.008064169556493441
cover	0.008048478739741237
lean	0.008048478739741237
attack	0.007625031670564842
name	0.007625031670564842
rest	0.007625031670564842
wake	0.007625031670564842
buy	0.007390710891283607
dream	0.007390710891283607
glance	0.007390710891283607
pause	0.007390710891283607
pick	0.007390710891283607
wish	0.007316798854310215
account	0.007173798116642295
dislike	0.007173798116642295
entertain	0.007173798116642295
exchange	0.007173798116642295
greet	0.007173798116642295
inform	0.007173798116642295
introduce	0.007173798116642295
shiver	0.007173798116642295
supply	0.007173798116642295
tie	0.007173798116642295
welcome	0.007173798116642295
admire	0.00671998957736867
interrupt	0.00671998957736867
long	0.00671998957736867
los	0.00671998957736867
press	0.00671998957736867
roll	0.00671998957736867
vanish	0.00671998957736867
amuse	0.006304378549646401
connect	0.006304378549646401
fade	0.006304378549646401
invite	0.006304378549646401
represent	0.006304378549646401
deny	0.006035782169801229
increase	0.006035782169801229
mount	0.006035782169801229
propose	0.006035782169801229
suit	0.006035782169801229
cross	0.005912568713026885
deal	0.005912568713026885
pull	0.005912568713026885
teach	0.005912568713026885
tremble	0.005912568713026885
stay	0.005853439083448171
collect	0.005454947420676609
conduct	0.005454947420676609
departure	0.005454947420676609
escape	0.005454947420676609
preserve	0.005454947420676609
rang	0.005454947420676609
recall	0.005454947420676609
sell	0.005454947420676609
spoil	0.005454947420676609
weigh	0.005454947420676609
visit	0.0051217591980171505
advise	0.004624606256890009
consult	0.004624606256890009
deliver	0.004624606256890009
dine	0.004624606256890009
discuss	0.004624606256890009
fold	0.004624606256890009
neglect	0.004624606256890009
perceive	0.004624606256890009
persuade	0.004624606256890009
regard	0.004624606256890009
force	0.004479993051579114
object	0.004479993051579114
rouse	0.004479993051579114
seize	0.004479993051579114
trouble	0.004479993051579114
whisper	0.004479993051579114
beat	0.004434426534770164
cling	0.004434426534770164
creep	0.004434426534770164
face	0.004434426534770164
fix	0.004434426534770164
part	0.004434426534770164
point	0.004434426534770164
receive	0.004434426534770164
add	0.004390079312586129
drop	0.004390079312586129
happen	0.004390079312586129
learn	0.004390079312586129
listen	0.004390079312586129
rush	0.004390079312586129
alter	0.003812515835282421
announce	0.003812515835282421
behave	0.003812515835282421
bless	0.003812515835282421
bow	0.003812515835282421
descend	0.003812515835282421
examine	0.003812515835282421
fasten	0.003812515835282421
grant	0.003812515835282421
prefer	0.003812515835282421
re-cover	0.003812515835282421
reflect	0.003812515835282421
sob	0.003812515835282421
stick	0.003812515835282421
dress	0.0036583994271551074
drink	0.0036583994271551074
enjoy	0.0036583994271551074
fling	0.0036583994271551074
fly	0.0036583994271551074
shine	0.0036583994271551074
sleep	0.0036583994271551074
assume	0.0030178910849006143
build	0.0030178910849006143
clear	0.0030178910849006143
concern	0.0030178910849006143
describe	0.0030178910849006143
dwell	0.0030178910849006143
guess	0.0030178910849006143
occupy	0.0030178910849006143
remark	0.0030178910849006143
sigh	0.0030178910849006143
swear	0.0030178910849006143
waste	0.0030178910849006143
eat	0.0029562843565134425
exist	0.0029562843565134425
shoot	0.0029562843565134425
win	0.0029562843565134425
join	0.0029267195417240857
place	0.0029267195417240857
accord	0.002239996525789557
attract	0.002239996525789557
avoid	0.002239996525789557
bore	0.002239996525789557
drag	0.002239996525789557
incline	0.002239996525789557
last	0.002239996525789557
order	0.002239996525789557
ring	0.002239996525789557
sound	0.002239996525789557
stare	0.002239996525789557
burst	0.0021950396562930644
expect	0.0021950396562930644
forgive	0.0021950396562930644
offer	0.0021950396562930644
please	0.0021950396562930644
possess	0.0021950396562930644
spend	0.0021950396562930644
tear	0.0021950396562930644
touch	0.0021950396562930644
wander	0.0021950396562930644
advance	0.0014781421782567212
born	0.0014781421782567212
express	0.0014781421782567212
fancy	0.0014781421782567212
gain	0.0014781421782567212
mention	0.0014781421782567212
pursue	0.0014781421782567212
remind	0.0014781421782567212
serve	0.0014781421782567212
accept	0.0014633597708620428
allow	0.0014633597708620428
approach	0.0014633597708620428
belong	0.0014633597708620428
bound	0.0014633597708620428
decide	0.0014633597708620428
end	0.0014633597708620428
fit	0.0014633597708620428
form	0.0014633597708620428
kill	0.0014633597708620428
kiss	0.0014633597708620428
miss	0.0014633597708620428
satisfy	0.0014633597708620428
slip	0.0014633597708620428
suggest	0.0014633597708620428
admit	0.0007316798854310214
bend	0.0007316798854310214
fail	0.0007316798854310214
fear	0.0007316798854310214
knock	0.0007316798854310214
pour	0.0007316798854310214
prepare	0.0007316798854310214
remove	0.0007316798854310214
surprise	0.0007316798854310214
use	0.0007316798854310214
