Event(lemma)	weight _TfIdf
shew	0.4733402176500919
enquire	0.3309313337219972
realize	0.11919125387153753
exclaim	0.11688491538966461
agonize	0.09860111195406604
forego	0.08224820351734824
aggrieve	0.08224820351734824
dower	0.07889931866131562
fluff	0.07889931866131562
crave	0.07205368750000916
assert	0.0677544273976362
remonstrate	0.0671393238992292
warble	0.06450671403772913
modify	0.06414479269586518
“think	0.06385698531031576
repudiate	0.06298775244827767
sympathize	0.059200073577697375
hamper	0.05874871679810588
ignore	0.05789527519779139
taunt	0.056577030262405514
wot	0.056577030262405514
brandish	0.056577030262405514
jeer	0.05549877231584932
“are	0.05549877231584932
tragedy	0.05356162870659638
comment	0.053210993859542186
veer	0.05292116127766336
'ad	0.05259954577421041
foredoom	0.05259954577421041
impersonate	0.05259954577421041
wend	0.052135389383021535
pamper	0.052135389383021535
“then	0.052135389383021535
deride	0.052135389383021535
shrug	0.04938884987068043
recognize	0.04923931225605477
evade	0.04896818873254806
imply	0.04851251937683614
underrate	0.048380035528296846
commend	0.04779321224338509
perturb	0.046998973438484706
“use	0.04601436579145303
fuss	0.04601436579145303
regard	0.04573757558726007
enslave	0.04512700005299961
emphasize	0.04512700005299961
“and	0.04460654879715682
achieve	0.04446980942876646
differ	0.04446980942876646
horrify	0.04439901785267946
frustrate	0.04439901785267946
dismay	0.04439901785267946
spin	0.043768277560937575
deck	0.043232212500005494
adopt	0.042426504002847185
development	0.04228576684121241
benumb	0.04225761940888545
coerce	0.04225761940888545
safeguard	0.041342106238105074
“nothe	0.041342106238105074
enlighten	0.04131650701491028
lurk	0.04131650701491028
scorn	0.04131650701491028
sin	0.04131650701491028
discourage	0.04131650701491028
chafe	0.04052669263845397
sadden	0.04009049543491574
observe	0.03979611493889913
entrap	0.03975080131214857
allot	0.03975080131214857
exact	0.038799780306532625
caw	0.037718020174937014
kep	0.037718020174937014
submerge	0.037718020174937014
simulate	0.037718020174937014
enthrall	0.037718020174937014
betide	0.037718020174937014
progress	0.03765445433178881
burden	0.03765445433178881
hop	0.03765445433178881
snort	0.03736896455132304
drill	0.03736896455132304
enthrone	0.03736896455132304
tour	0.03736896455132304
exonerate	0.03736896455132304
failure	0.03736896455132304
probe	0.03736896455132304
submit	0.037033559963554535
resign	0.03676963680246756
develop	0.03676963680246756
stuff	0.03672614154941104
suppress	0.03672614154941104
cherish	0.03668635130091494
profess	0.03668635130091494
lack	0.0363843895326271
renounce	0.03602684375000458
prey	0.03568523903772546
endeavour	0.035350117576763165
gratify	0.035350117576763165
lade	0.03524923007886353
usurp	0.03524923007886353
cripple	0.03524923007886353
overturn	0.03524923007886353
twirl	0.03524923007886353
meeting	0.034737165118674834
inspire	0.03468627760286146
compare	0.0344718444798758
cloud	0.03413800874527507
harass	0.03413800874527507
define	0.034084672813288606
explore	0.034084672813288606
subject	0.034084672813288606
brim	0.03382861347296993
centre	0.03382861347296993
yell	0.03382861347296993
soar	0.03382861347296993
assent	0.03362915535917203
drift	0.03362915535917203
dispose	0.033538463316278515
create	0.03345131046502671
conspire	0.033299263389509594
resort	0.033299263389509594
pose	0.033299263389509594
unfit	0.033299263389509594
reproduce	0.033299263389509594
bubble	0.033299263389509594
cry	0.03312639685565278
charm	0.03292589991378695
train	0.03292589991378695
amount	0.03282620817070318
test	0.03282620817070318
appeal	0.032524498195384936
howl	0.03233315025544386
gurgle	0.032253357018864566
recapture	0.032253357018864566
scandalize	0.032253357018864566
tether	0.032253357018864566
misrepresent	0.032253357018864566
curry	0.032253357018864566
coo	0.032253357018864566
goad	0.03207239634793259
wail	0.03207239634793259
loom	0.03207239634793259
acidulate	0.03192849265515788
asphyxiate	0.03192849265515788
breath	0.03192849265515788
buttress	0.03192849265515788
canopy	0.03192849265515788
cavort	0.03192849265515788
depopulate	0.03192849265515788
dock	0.03192849265515788
eccentric	0.03192849265515788
embroidery	0.03192849265515788
emotional	0.03192849265515788
faithlessnes	0.03192849265515788
franknes	0.03192849265515788
harassment	0.03192849265515788
i.	0.03192849265515788
illogical	0.03192849265515788
impound	0.03192849265515788
incubate	0.03192849265515788
inviit	0.03192849265515788
jubilate	0.03192849265515788
mesmerise	0.03192849265515788
messenger	0.03192849265515788
morbid	0.03192849265515788
northern	0.03192849265515788
notable	0.03192849265515788
ossify	0.03192849265515788
rancour	0.03192849265515788
scroll	0.03192849265515788
slum	0.03192849265515788
spark	0.03192849265515788
stern	0.03192849265515788
subservient	0.03192849265515788
testimony	0.03192849265515788
trivial	0.03192849265515788
unpleasant	0.03192849265515788
wearable	0.03192849265515788
‘a	0.03192849265515788
‘melt	0.03192849265515788
‘resign	0.03192849265515788
‘talk’	0.03192849265515788
“assume	0.03192849265515788
“avenge	0.03192849265515788
“extenuat	0.03192849265515788
“include	0.03192849265515788
“preach	0.03192849265515788
“sprout	0.03192849265515788
“tame	0.03192849265515788
“wear	0.03192849265515788
wield	0.031493876224138836
analyse	0.031493876224138836
grieve	0.03127127418352439
threaten	0.03127127418352439
ceremony	0.03111276960208793
design	0.03098738026118271
issue	0.03098738026118271
constitute	0.03098738026118271
depend	0.030498225852339026
wrangle	0.030084666701999743
supplement	0.030084666701999743
dissect	0.030084666701999743
blossom	0.02981310098411143
harbour	0.02981310098411143
swarm	0.02981310098411143
alternate	0.02981310098411143
terrify	0.029633309922408257
beware	0.028821475000003666
ejaculate	0.028821475000003666
plenty	0.028821475000003666
acquire	0.028665334668230694
surrender	0.02824084074884161
flame	0.02824084074884161
recommence	0.0281717462725903
bad	0.0281717462725903
mirror	0.0281717462725903
misinterpret	0.0281717462725903
misuse	0.0281717462725903
plume	0.0281717462725903
coquet	0.0281717462725903
desecrate	0.0281717462725903
pucker	0.0281717462725903
sport	0.0281717462725903
tarnish	0.0281717462725903
uproot	0.0281717462725903
conduce	0.0281717462725903
peal	0.0281717462725903
overcome	0.027574285563053906
doom	0.027505673970354815
weave	0.027505673970354815
wrench	0.027355173475585984
correspond	0.027310406996220053
aspire	0.027310406996220053
challenge	0.027310406996220053
govern	0.027310406996220053
arch	0.026763929278294095
lure	0.026763929278294095
acknowledge	0.02658500667590799
offend	0.02658500667590799
tempt	0.02658500667590799
stroll	0.026494256704261736
survive	0.026494256704261736
strengthen	0.026494256704261736
exhort	0.02646058063883168
irradiate	0.02646058063883168
toll	0.02646058063883168
unknown	0.02646058063883168
outline	0.02646058063883168
flick	0.02646058063883168
cure	0.02634071993102956
misunderstand	0.02634071993102956
stifle	0.02634071993102956
unbalance	0.026299772887105204
exodu	0.026299772887105204
fraud	0.026299772887105204
“offer	0.026299772887105204
“old	0.026299772887105204
'pear	0.026299772887105204
ah	0.026299772887105204
'im	0.026299772887105204
convenient	0.026299772887105204
embroil	0.026299772887105204
forgo	0.026299772887105204
hypnotise	0.026299772887105204
ignorant	0.026299772887105204
intense	0.026299772887105204
jig	0.026299772887105204
justifiable	0.026299772887105204
limb	0.026299772887105204
mixture	0.026299772887105204
reassemble	0.026299772887105204
rollick	0.026299772887105204
talkin	0.026299772887105204
unhamper	0.026299772887105204
“serve	0.026299772887105204
starve	0.026283172508235274
counsel	0.025866520204355085
grudge	0.025866520204355085
perch	0.025866520204355085
distrust	0.025866520204355085
bewilder	0.025647060183036512
persuade	0.025409764215144487
defer	0.025371460104727447
revenge	0.025371460104727447
disagree	0.025371460104727447
ordain	0.025371460104727447
erase	0.02491264303421536
bandy	0.02491264303421536
cope	0.02491264303421536
sap	0.02491264303421536
cramp	0.02491264303421536
spout	0.02491264303421536
“thank	0.02491264303421536
cultivate	0.024745082303734216
fret	0.02448409436627403
contend	0.02448409436627403
situate	0.02448409436627403
realise	0.02448409436627403
risk	0.024457567533943295
conjure	0.02434619486663472
prompt	0.02425625968841807
responsible	0.02405429726094944
narrow	0.02405429726094944
abandon	0.023893793189304794
reduce	0.023893793189304794
ruin	0.02367420939972601
sacrifice	0.02364973472922372
decision	0.02355467238253813
linger	0.02355467238253813
respect	0.02355467238253813
organize	0.023499486719242353
initiate	0.023499486719242353
dull	0.023499486719242353
brook	0.023499486719242353
recognise	0.023453455637643297
shrink	0.023453455637643297
undertake	0.023453455637643297
endure	0.02337698307793292
insist	0.02337698307793292
feud	0.023007182895726515
