Event(lemma)	weight _TfIdf
eurydice	0.3789550768565603
realise	0.21794887005499877
leg	0.15702857441404774
scrutinise	0.13750846099176695
banjo	0.12631835895218677
recoginise	0.12631835895218677
thud	0.12631835895218677
virtue	0.12631835895218677
‘pay	0.12631835895218677
‘while	0.12631835895218677
stroll	0.11979308404426652
ratify	0.11902364976838939
overstrain	0.11902364976838939
agonise	0.11902364976838939
weight	0.1114555828364831
perfection	0.10404951426285607
unsheathe	0.10404951426285607
‘and	0.10404951426285607
‘come	0.10404951426285607
‘suppose	0.10404951426285607
disembark	0.10404951426285607
furl	0.10404951426285607
pulsate	0.10404951426285607
‘let	0.10404951426285607
‘to	0.10404951426285607
‘turn	0.10404951426285607
stimulate	0.09516576271133055
dominate	0.09297077161310556
inclination	0.09102307518521417
unsatisfy	0.09102307518521417
attenuate	0.09102307518521417
grip	0.09022204034605565
blanch	0.0878276831733443
shrivel	0.0878276831733443
transfer	0.08657998758936583
degenerate	0.08306592703145445
denude	0.08178066957352538
scintillate	0.08178066957352538
blunt	0.07863283812074798
glint	0.0746117028273466
submerge	0.0746117028273466
seethe	0.0746117028273466
subjugate	0.0746117028273466
embed	0.0746117028273466
stool	0.0746117028273466
exempt	0.0746117028273466
quiver	0.07216895725679243
scorch	0.07059056753394523
note	0.06894846255759632
accentuate	0.06875423049588347
paralyse	0.06691789345782172
reform	0.06691789345782172
latch	0.06380180820505792
stall	0.06380180820505792
topple	0.06380180820505792
tune	0.06380180820505792
voyage	0.06380180820505792
unfurl	0.06380180820505792
potter	0.06380180820505792
seam	0.06380180820505792
strangle	0.06344384180755369
deaden	0.06344384180755369
dilate	0.06129752295380682
enfeeble	0.059511824884194695
enervate	0.059511824884194695
knot	0.059511824884194695
unstring	0.059511824884194695
cage	0.059511824884194695
rearrange	0.059511824884194695
commiserate	0.059511824884194695
obliterate	0.057013048876170605
suffocate	0.057013048876170605
forge	0.05572779141824155
image	0.05572779141824155
undulate	0.05572779141824155
unnerve	0.05572779141824155
tinkle	0.05572779141824155
desecrate	0.05572779141824155
pair	0.05572779141824155
