Event(lemma)	weight _TfIdf
yer	0.6626176723354108
wor	0.39694825631125735
'ave	0.34732972427235015
'elp	0.1488555961167215
fer	0.12047594042462015
lasst	0.12047594042462015
suverin	0.12047594042462015
'ud	0.09923706407781434
'ear	0.08681311785747943
cord	0.08681311785747943
'arf	0.060237970212310074
'it	0.060237970212310074
alive	0.060237970212310074
ast	0.060237970212310074
borrer	0.060237970212310074
brȧȧt	0.060237970212310074
colleck	0.060237970212310074
correck	0.060237970212310074
edication	0.060237970212310074
expeck	0.060237970212310074
gardener	0.060237970212310074
inspeck	0.060237970212310074
liven	0.060237970212310074
priviledge	0.060237970212310074
sayin	0.060237970212310074
soa	0.060237970212310074
“laid	0.060237970212310074
“marry	0.060237970212310074
“sparkle	0.060237970212310074
“took	0.060237970212310074
flame	0.05328065255609548
egg	0.04961853203890717
'ad	0.04961853203890717
'eard	0.04961853203890717
'old	0.04961853203890717
'spect	0.04961853203890717
mesh	0.04961853203890717
niver	0.04961853203890717
sich	0.04961853203890717
thinkin	0.04961853203890717
ruminate	0.044335365163867844
worrit	0.043406558928739715
incapable	0.043406558928739715
huddle	0.04302456605628229
madden	0.04078208070945204
dribble	0.03899909386550428
blackguard	0.03899909386550428
ingratiate	0.03899909386550428
thirst	0.03749797416399239
gie	0.035580398365566555
blood	0.035580398365566555
kep	0.035580398365566555
maul	0.035580398365566555
bottom	0.035580398365566555
lurch	0.035580398365566555
“oh	0.035580398365566555
plague	0.03366282256714072
trudge	0.03366282256714072
shovel	0.03278712075533682
hard	0.03278712075533682
treble	0.03278712075533682
mop	0.03278712075533682
recognize	0.030965823713110237
bemoan	0.03042543818672104
cart	0.03042543818672104
coin	0.03042543818672104
goad	0.030254733236397637
stoop	0.030094001446298306
scold	0.02923120908479698
climb	0.02876977689275164
mimic	0.028379655692101387
thieve	0.028379655692101387
brag	0.028379655692101387
brain	0.028379655692101387
s'pose	0.028379655692101387
unburden	0.028379655692101387
misjudge	0.028379655692101387
grin	0.02718805380630136
revile	0.026575147645169352
hawk	0.026575147645169352
crown	0.025946824160959645
redden	0.025762623699346596
slap	0.025762623699346596
cringe	0.02496096019216366
encompass	0.02496096019216366
chatter	0.024582511393939063
silence	0.024582511393939063
scrawl	0.02350075002307619
shew	0.02350075002307619
bandy	0.02350075002307619
dissuade	0.02350075002307619
engulf	0.02350075002307619
tramp	0.023096488817062055
pierce	0.02288156638576774
thump	0.022167682581933922
blur	0.022167682581933922
outrage	0.022167682581933922
solace	0.022167682581933922
paste	0.022167682581933922
robe	0.022167682581933922
twirl	0.022167682581933922
prop	0.021845653037646084
implore	0.02142233803588679
blanch	0.02094137941110631
swathe	0.02094137941110631
jeer	0.02094137941110631
shear	0.02094137941110631
consciou	0.02094137941110631
hook	0.02094137941110631
bolt	0.020643882475406824
cook	0.020643882475406824
wrench	0.020643882475406824
clutch	0.020008016218517492
chuck	0.019806000013318146
stab	0.019806000013318146
rap	0.019806000013318146
shower	0.019806000013318146
“the	0.019806000013318146
pant	0.019666009115151248
get	0.019113465761469217
acquisition	0.018748987081996196
christen	0.018748987081996196
cow	0.018748987081996196
gape	0.018748987081996196
ebb	0.018748987081996196
voice	0.018748987081996196
piece	0.018748987081996196
tone	0.018748987081996196
gauge	0.018748987081996196
unravel	0.018748987081996196
button	0.018373123679830503
emerge	0.018031713779183695
groan	0.018031713779183695
flinch	0.017760217518698492
stow	0.017760217518698492
evoke	0.017760217518698492
hobble	0.017760217518698492
slink	0.017760217518698492
pounce	0.017760217518698492
blast	0.017297882773973094
unlock	0.017297882773973094
front	0.01683141128357036
enrich	0.01683141128357036
sicken	0.01683141128357036
hammer	0.01683141128357036
will	0.016439872510143796
flood	0.015955709471766458
jest	0.015955709471766458
minister	0.015955709471766458
slide	0.015254377590511825
relish	0.015127366618198818
steep	0.015127366618198818
fumble	0.015127366618198818
slacken	0.015127366618198818
efface	0.015127366618198818
sniff	0.015127366618198818
moisten	0.015127366618198818
tie	0.014872943648738927
dry	0.014749506836363436
threaten	0.014749506836363436
oppress	0.014749506836363436
anger	0.014341522018760766
feature	0.014341522018760766
jerk	0.014341522018760766
sober	0.014341522018760766
stiffen	0.014341522018760766
grip	0.014341522018760766
lit	0.014281558690591192
push	0.01376493055571058
coax	0.01359402690315068
difficulty	0.01359402690315068
plenty	0.01359402690315068
tingle	0.01359402690315068
creak	0.01359402690315068
sank	0.01337511175391036
undo	0.013338677479011662
fetch	0.013070435686179589
harass	0.012881311849673298
bath	0.012881311849673298
reel	0.012881311849673298
muffle	0.012881311849673298
ponder	0.012423946220334929
quicken	0.012423946220334929
flee	0.012329904382607846
polish	0.01220028369640516
prick	0.01220028369640516
reappear	0.01220028369640516
ripen	0.01220028369640516
vent	0.01220028369640516
assign	0.01220028369640516
sure	0.01220028369640516
greet	0.011898354918991142
dissolve	0.011548244408531028
fret	0.011548244408531028
quiet	0.011548244408531028
clad	0.011548244408531028
shroud	0.011548244408531028
beset	0.011548244408531028
wrestle	0.011548244408531028
clean	0.01153573267995505
beckon	0.01153573267995505
clothe	0.01153573267995505
split	0.010922826518823042
nurse	0.010672542596727126
reckon	0.010672542596727126
spring	0.010672542596727126
excite	0.01045634854894367
thrust	0.01045634854894367
expand	0.010321941237703412
pronounce	0.01003133381543277
sprang	0.01003133381543277
confuse	0.009833004557575624
hover	0.009833004557575624
march	0.009833004557575624
pluck	0.009833004557575624
relax	0.009833004557575624
rob	0.009833004557575624
shrink	0.009833004557575624
despatch	0.009743736361598993
kindle	0.009743736361598993
mock	0.009743736361598993
scorn	0.009743736361598993
totter	0.009743736361598993
twitch	0.009743736361598993
whip	0.009743736361598993
nod	0.009587878992129184
lock	0.009288062351281316
acquiesce	0.009186561839915251
contribute	0.009186561839915251
grope	0.009186561839915251
loosen	0.009186561839915251
rock	0.009186561839915251
vow	0.009186561839915251
identify	0.009186561839915251
steady	0.009186561839915251
strip	0.009186561839915251
tragedy	0.009186561839915251
foot	0.009186561839915251
travel	0.009047494705081607
protect	0.008923766189243357
withdraw	0.008923766189243357
chat	0.008648941386986547
chuckle	0.008648941386986547
consume	0.008648941386986547
double	0.008648941386986547
except	0.008648941386986547
rave	0.008648941386986547
scratch	0.008648941386986547
stride	0.008648941386986547
thwart	0.008648941386986547
displease	0.008648941386986547
realize	0.008648941386986547
shield	0.008648941386986547
age	0.008648941386986547
accuse	0.008219936255071898
exhaust	0.008219936255071898
dip	0.008129548908593302
pitch	0.008129548908593302
stricken	0.008129548908593302
descend	0.007904227615011326
rest	0.007904227615011326
smoke	0.007842261411707753
weep	0.007842261411707753
lend	0.007670303193703347
abuse	0.007627188795255912
bleed	0.007627188795255912
caress	0.007627188795255912
disgrace	0.007627188795255912
edge	0.007627188795255912
fed	0.007627188795255912
mend	0.007627188795255912
peer	0.007627188795255912
precede	0.007627188795255912
provoke	0.007627188795255912
stun	0.007627188795255912
proclaim	0.007627188795255912
haunt	0.0074441676907157405
stare	0.007430449881025053
point	0.007354873933584142
avail	0.007140779345295596
near	0.007140779345295596
prevail	0.007140779345295596
re-serve	0.007140779345295596
respond	0.007140779345295596
suspend	0.007140779345295596
weary	0.007140779345295596
strengthen	0.007140779345295596
melt	0.00668755587695518
wash	0.00668755587695518
derive	0.006669338739505831
enclose	0.006669338739505831
endeavour	0.006669338739505831
mourn	0.006669338739505831
overhear	0.006669338739505831
pile	0.006669338739505831
refrain	0.006669338739505831
snap	0.006669338739505831
whirl	0.006669338739505831
examine	0.006323382092009061
borrow	0.0062119731101674645
contradict	0.0062119731101674645
cool	0.0062119731101674645
dig	0.0062119731101674645
erect	0.0062119731101674645
measure	0.0062119731101674645
perplex	0.0062119731101674645
repair	0.0062119731101674645
subdue	0.0062119731101674645
survey	0.0062119731101674645
terrify	0.0062119731101674645
train	0.0062119731101674645
applaud	0.0062119731101674645
command	0.005949177459495571
despise	0.005949177459495571
dislike	0.005949177459495571
shiver	0.005949177459495571
dispute	0.005767866339977525
gasp	0.005767866339977525
overlook	0.005767866339977525
overtake	0.005767866339977525
repent	0.005767866339977525
tend	0.005767866339977525
wrong	0.005767866339977525
blaze	0.005767866339977525
drift	0.005767866339977525
perceive	0.00575272739527751
shout	0.00575272739527751
support	0.00575272739527751
bear	0.005572837410768789
drag	0.005572837410768789
sweep	0.005572837410768789
trouble	0.005572837410768789
bade	0.005336271298363563
content	0.005336271298363563
envy	0.005336271298363563
expose	0.005336271298363563
match	0.005336271298363563
proposal	0.005336271298363563
revive	0.005336271298363563
trace	0.005336271298363563
wring	0.005336271298363563
develop	0.005336271298363563
frighten	0.005228174274471835
plead	0.005228174274471835
quarrel	0.005228174274471835
blow	0.005005429292985665
clear	0.005005429292985665
count	0.005005429292985665
arrival	0.004916502278787812
frame	0.004916502278787812
master	0.004916502278787812
quiver	0.004916502278787812
recollect	0.004916502278787812
trip	0.004916502278787812
beat	0.004903249289056094
spend	0.004854213526722341
complete	0.004742536569006796
manage	0.004742536569006796
paid	0.004742536569006796
provide	0.004742536569006796
sob	0.004742536569006796
stick	0.004742536569006796
hurry	0.004644031175640658
step	0.004644031175640658
treat	0.004644031175640658
astonish	0.004523747352540804
wave	0.004523747352540804
plan	0.004507928444795924
rattle	0.004507928444795924
shrank	0.004507928444795924
smooth	0.004507928444795924
soften	0.004507928444795924
starve	0.004507928444795924
stumble	0.004507928444795924
upset	0.004507928444795924
violence	0.004507928444795924
war	0.004507928444795924
cross	0.004290343127924082
trust	0.004290343127924082
guide	0.004109968127535949
handle	0.004109968127535949
note	0.004109968127535949
scream	0.004109968127535949
swing	0.004109968127535949
toil	0.004109968127535949
wipe	0.004109968127535949
worry	0.004109968127535949
wound	0.004109968127535949
exercise	0.004109968127535949
