Event(lemma)	weight _TfIdf
don’t	0.48558902249360036
can’t	0.3687514886042113
isn’t	0.13915832835469857
didn’t	0.13828180822657923
elect	0.11964705302026253
distance	0.11814963971614699
symbolise	0.11814963971614699
realise	0.11325256407320979
abolish	0.10450368565137075
inure	0.08951383688636581
pooh	0.08513682118890951
drape	0.07818600399250805
creation	0.07769424359897606
outline	0.07343694790708305
lit	0.0700289621285053
stroll	0.0700289621285053
nab	0.06978673472947787
denounce	0.06602563705447495
sprang	0.06558424152233357
signal	0.06521892340909671
concede	0.06161105090014447
expand	0.0607357934260214
roar	0.05983930766793086
haggle	0.05967589125757721
beer‑swil	0.059074819858073495
careen	0.059074819858073495
children	0.059074819858073495
criminal	0.059074819858073495
dehumanise	0.059074819858073495
dis­tinguish	0.059074819858073495
elm‑top	0.059074819858073495
fresco	0.059074819858073495
galvanise	0.059074819858073495
half‑rise	0.059074819858073495
inhere	0.059074819858073495
interlock	0.059074819858073495
in­fect	0.059074819858073495
laughter	0.059074819858073495
madder	0.059074819858073495
middle‑age	0.059074819858073495
mug	0.059074819858073495
now.”	0.059074819858073495
over‑reach	0.059074819858073495
over‑rule	0.059074819858073495
poet	0.059074819858073495
public	0.059074819858073495
religion	0.059074819858073495
sane	0.059074819858073495
syme	0.059074819858073495
to‑morrow	0.059074819858073495
“clash	0.059074819858073495
“contribute	0.059074819858073495
“entrap	0.059074819858073495
“insult	0.059074819858073495
“whether	0.059074819858073495
capture	0.05733355240330368
clad	0.05662628203660489
haven’t	0.05566333134187943
entrap	0.05516087430336061
damn	0.052251842825685374
bounce	0.05212400266167204
useful	0.05212400266167204
commemorate	0.05212400266167204
disable	0.05212400266167204
stride	0.05089162061056832
crawl	0.05061316118835117
mad	0.04951922779085621
cleave	0.0489579652713887
wade	0.0489579652713887
broaden	0.0489579652713887
jolly	0.0489579652713887
rip	0.0489579652713887
unsling	0.048660435129028894
applause	0.048660435129028894
foreshorten	0.048660435129028894
rapidity	0.048660435129028894
embower	0.048660435129028894
exaggeration	0.048660435129028894
impersonate	0.048660435129028894
riposte	0.048660435129028894
‘suppose	0.048660435129028894
“not	0.048660435129028894
swing	0.04836729243715308
splash	0.04785882120810501
won’t	0.046093936075526414
clatter	0.04450580529593474
parry	0.04347928227273114
daze	0.04347928227273114
seriou	0.04347928227273114
sprawl	0.04347928227273114
acclaim	0.04256841059445476
bay	0.04256841059445476
“everythe	0.04256841059445476
masquerade	0.04256841059445476
revolutionise	0.04256841059445476
“because	0.04256841059445476
“stop	0.04256841059445476
saint	0.04256841059445476
coward	0.04256841059445476
disorganise	0.04256841059445476
function	0.04256841059445476
transpose	0.04256841059445476
blast	0.042409683842140264
second	0.04219379371994927
apologise	0.04219379371994927
drawl	0.04107403393342965
saddle	0.04107403393342965
plough	0.04107403393342965
